Frame,Time,F0
0,0.0,227.0
1,0.01,227.0
2,0.02,227.0
3,0.03,227.0
4,0.04,234.0
5,0.05,234.0
6,0.06,245.0
7,0.07,286.0
8,0.08,286.0
9,0.09,286.0
10,0.1,324.0
11,0.11,324.0
12,0.12,354.0
13,0.13,354.0
14,0.14,358.0
15,0.15,358.0
16,0.16,351.0
17,0.17,351.0
18,0.18,330.0
19,0.19,330.0
20,0.2,308.0
21,0.21,308.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,220.0
32,0.32,220.0
33,0.33,220.0
34,0.34,215.0
35,0.35000000000000003,215.0
36,0.36,219.0
37,0.37,219.0
38,0.38,220.0
39,0.39,212.0
40,0.4,212.0
41,0.41000000000000003,212.0
42,0.42,204.0
43,0.43,0.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47000000000000003,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,248.0
54,0.54,248.0
55,0.55,225.0
56,0.56,225.0
57,0.5700000000000001,206.0
58,0.58,206.0
59,0.59,204.33333333333334
60,0.6,202.66666666666669
61,0.61,201.0
62,0.62,198.5
63,0.63,196.0
64,0.64,204.0
65,0.65,212.0
66,0.66,220.0
67,0.67,226.0
68,0.68,226.0
69,0.6900000000000001,233.0
70,0.7000000000000001,233.0
71,0.71,234.0
72,0.72,234.0
73,0.73,242.0
74,0.74,242.0
75,0.75,252.0
76,0.76,252.0
77,0.77,252.0
78,0.78,253.0
79,0.79,253.0
80,0.8,242.0
81,0.81,242.0
82,0.8200000000000001,235.0
83,0.8300000000000001,0.0
84,0.84,0.0
85,0.85,0.0
86,0.86,0.0
87,0.87,0.0
88,0.88,0.0
89,0.89,0.0
90,0.9,0.0
91,0.91,0.0
92,0.92,0.0
93,0.93,198.0
94,0.9400000000000001,198.0
95,0.9500000000000001,198.0
96,0.96,189.0
97,0.97,189.0
98,0.98,179.0
99,0.99,179.0
100,1.0,176.0
101,1.01,174.5
102,1.02,173.0
103,1.03,171.5
104,1.04,170.0
105,1.05,169.0
106,1.06,168.0
107,1.07,166.5
108,1.08,165.0
109,1.09,165.0
110,1.1,163.0
111,1.11,0.0
112,1.12,0.0
113,1.1300000000000001,0.0
114,1.1400000000000001,0.0
115,1.1500000000000001,0.0
116,1.16,0.0
117,1.17,0.0
118,1.18,0.0
119,1.19,0.0
120,1.2,0.0
121,1.21,0.0
122,1.22,0.0
123,1.23,0.0
124,1.24,0.0
125,1.25,332.0
126,1.26,323.0
127,1.27,323.0
128,1.28,311.0
129,1.29,311.0
130,1.3,304.0
131,1.31,290.0
132,1.32,290.0
133,1.33,290.0
134,1.34,270.0
135,1.35,270.0
136,1.36,267.0
137,1.37,267.0
138,1.3800000000000001,255.0
139,1.3900000000000001,255.0
140,1.4000000000000001,240.0
141,1.41,240.0
142,1.42,0.0
143,1.43,0.0
144,1.44,0.0
145,1.45,0.0
146,1.46,0.0
147,1.47,0.0
148,1.48,0.0
149,1.49,0.0
150,1.5,0.0
151,1.51,0.0
152,1.52,253.0
153,1.53,253.0
154,1.54,254.0
155,1.55,254.0
156,1.56,233.0
157,1.57,233.0
158,1.58,196.0
159,1.59,196.0
160,1.6,167.0
161,1.61,167.0
162,1.62,158.0
163,1.6300000000000001,158.0
164,1.6400000000000001,152.0
165,1.6500000000000001,152.0
166,1.6600000000000001,148.0
167,1.67,148.0
168,1.68,146.0
169,1.69,146.0
170,1.7,144.0
171,1.71,144.0
172,1.72,147.0
173,1.73,147.0
174,1.74,150.0
175,1.75,150.0
176,1.76,151.0
177,1.77,151.0
178,1.78,151.0
179,1.79,151.0
180,1.8,151.0
181,1.81,0.0
182,1.82,0.0
183,1.83,0.0
