frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,7.436568e-001,7.207207e+001,6.907362e-012,2.757827e-002,7.411248e-003,-1.008074e+001
1,0.010000,6.961434e-001,1.473238e+002,7.252408e-012,2.791785e-002,1.199815e-002,-9.151245e+000
2,0.020000,6.804004e-001,2.230692e+002,1.951248e-011,3.434692e-002,1.814924e-002,-8.069561e+000
3,0.030000,7.264321e-001,2.235628e+002,3.029857e-010,6.719270e-002,2.391280e-002,-7.510178e+000
4,0.040000,7.952609e-001,2.213842e+002,3.293780e-008,2.226566e-001,3.216195e-002,-6.939896e+000
5,0.050000,8.030472e-001,2.218915e+002,1.345052e-007,4.394001e-001,4.696685e-002,-6.222827e+000
6,0.060000,7.739121e-001,2.308695e+002,1.663469e-007,5.646117e-001,6.533005e-002,-5.534194e+000
7,0.070000,7.774838e-001,2.486093e+002,1.388385e-007,4.938916e-001,8.411527e-002,-4.976266e+000
8,0.080000,8.241224e-001,2.721235e+002,7.400732e-007,6.774476e-001,9.779170e-002,-4.659322e+000
9,0.090000,8.759930e-001,2.951952e+002,4.475328e-006,1.202189e+000,1.077342e-001,-4.459890e+000
10,0.100000,9.076484e-001,3.132711e+002,8.213534e-006,1.795540e+000,1.111685e-001,-4.394144e+000
11,0.110000,9.303362e-001,3.257974e+002,7.920028e-006,1.733118e+000,1.092537e-001,-4.430429e+000
12,0.120000,9.445338e-001,3.371789e+002,5.585220e-006,1.559391e+000,1.025072e-001,-4.559032e+000
13,0.130000,9.566562e-001,3.468085e+002,2.129154e-006,1.189538e+000,9.539991e-002,-4.703108e+000
14,0.140000,9.627017e-001,3.543807e+002,2.049141e-006,1.167144e+000,8.743144e-002,-4.879770e+000
15,0.150000,9.673824e-001,3.595959e+002,3.957502e-006,1.316448e+000,7.986917e-002,-5.061409e+000
16,0.160000,9.679014e-001,3.622896e+002,3.697780e-006,1.155435e+000,7.192976e-002,-5.270749e+000
17,0.170000,9.606919e-001,3.636363e+002,4.252456e-006,1.269947e+000,6.454474e-002,-5.490868e+000
18,0.180000,8.725936e-001,3.636363e+002,2.548992e-006,1.141767e+000,5.652002e-002,-5.760187e+000
19,0.190000,7.499114e-001,3.622896e+002,2.544524e-006,1.133609e+000,4.816774e-002,-6.087631e+000
20,0.200000,7.020748e-001,3.599526e+002,1.955210e-006,1.008207e+000,3.978240e-002,-6.479204e+000
21,0.210000,7.400081e-001,3.545029e+002,3.370198e-007,6.126012e-001,3.210142e-002,-6.910619e+000
22,0.220000,7.901887e-001,3.437184e+002,3.331335e-007,6.045495e-001,2.509886e-002,-7.416427e+000
23,0.230000,7.377911e-001,3.277576e+002,9.981623e-008,4.839296e-001,1.896798e-002,-8.001706e+000
24,0.240000,6.832347e-001,3.092761e+002,9.336285e-008,4.676150e-001,1.304194e-002,-8.809063e+000
25,0.250000,6.200023e-001,2.923461e+002,8.662099e-008,4.503800e-001,8.277532e-003,-9.796395e+000
26,0.260000,5.031326e-001,2.770932e+002,2.539731e-008,2.806556e-001,4.221000e-003,-1.157127e+001
27,0.270000,3.368908e-001,1.798123e+002,1.259619e-008,1.744888e-001,2.415568e-003,-1.241534e+001
28,0.280000,2.271677e-001,8.766146e+001,1.453314e-010,5.597840e-002,3.747099e-003,-1.197030e+001
29,0.290000,2.004061e-001,0,2.774421e-011,3.459949e-002,8.713658e-003,-1.006908e+001
30,0.300000,2.243072e-001,0,3.395983e-012,2.154785e-002,1.348251e-002,-8.705872e+000
31,0.310000,2.221217e-001,0,9.439598e-012,2.860877e-002,1.640926e-002,-8.220669e+000
32,0.320000,2.388536e-001,0,7.480568e-008,2.320089e-001,1.685861e-002,-8.166127e+000
33,0.330000,2.675003e-001,0,1.424479e-007,4.323621e-001,1.703162e-002,-8.145396e+000
34,0.340000,3.734873e-001,0,1.839546e-007,5.979118e-001,1.504027e-002,-8.434421e+000
35,0.350000,5.365968e-001,0,1.098028e-007,4.362059e-001,1.269636e-002,-8.785901e+000
36,0.360000,6.793146e-001,8.205128e+001,4.820642e-008,3.297358e-001,1.020800e-002,-9.172878e+000
37,0.370000,6.334160e-001,1.647436e+002,2.080484e-008,2.803932e-001,1.536862e-002,-8.587451e+000
38,0.380000,6.637704e-001,1.647436e+002,1.620180e-007,4.871678e-001,2.931083e-002,-7.497459e+000
39,0.390000,7.107179e-001,1.814577e+002,1.565040e-007,4.353541e-001,4.643742e-002,-6.258285e+000
40,0.400000,8.606162e-001,1.941252e+002,1.461916e-007,3.933464e-001,6.018030e-002,-5.632553e+000
41,0.410000,8.701224e-001,2.852999e+002,2.009686e-008,2.688262e-001,6.654765e-002,-5.423818e+000
42,0.420000,8.941190e-001,2.840198e+002,1.682793e-006,7.604175e-001,6.860700e-002,-5.359369e+000
43,0.430000,9.229243e-001,2.932352e+002,1.971456e-006,9.938422e-001,6.252506e-002,-5.568662e+000
44,0.440000,9.330266e-001,3.066356e+002,2.946015e-006,1.322503e+000,5.156687e-002,-5.982727e+000
45,0.450000,8.099959e-001,3.108206e+002,1.800870e-006,1.163102e+000,3.758898e-002,-6.637426e+000
46,0.460000,5.414960e-001,3.059426e+002,1.672004e-006,1.111841e+000,2.606098e-002,-7.437974e+000
47,0.470000,3.085463e-001,2.013675e+002,6.823058e-007,7.004458e-001,1.839882e-002,-8.052186e+000
48,0.480000,1.722015e-001,9.969718e+001,1.642372e-007,3.363095e-001,1.576524e-002,-8.304051e+000
49,0.490000,1.821361e-001,0,2.245980e-008,2.141819e-001,1.642596e-002,-8.220727e+000
50,0.500000,1.865436e-001,0,5.644761e-008,3.324270e-001,1.854028e-002,-7.988182e+000
51,0.510000,3.333638e-001,0,8.900532e-008,4.819892e-001,2.167968e-002,-7.697201e+000
52,0.520000,5.495546e-001,8.888889e+001,2.008917e-007,5.883029e-001,2.538017e-002,-7.360115e+000
53,0.530000,7.614560e-001,1.785311e+002,1.751425e-007,5.316254e-001,2.735734e-002,-7.197954e+000
54,0.540000,8.215656e-001,2.681732e+002,1.994772e-007,5.618560e-001,2.752627e-002,-7.185385e+000
55,0.550000,8.402690e-001,2.641328e+002,3.479072e-007,6.254930e-001,2.567038e-002,-7.333350e+000
56,0.560000,8.661108e-001,2.552988e+002,3.869347e-007,6.994572e-001,2.118683e-002,-7.781761e+000
57,0.570000,9.047282e-001,2.406926e+002,4.093448e-007,7.200010e-001,1.439782e-002,-8.707477e+000
58,0.580000,8.217322e-001,2.233980e+002,1.401678e-007,5.287607e-001,7.538283e-003,-1.037891e+001
59,0.590000,6.289404e-001,2.125488e+002,9.236515e-008,3.708779e-001,5.189920e-003,-1.084433e+001
60,0.600000,4.547670e-001,1.375127e+002,1.304843e-008,1.580352e-001,5.513625e-003,-1.075495e+001
61,0.610000,3.834547e-001,6.995885e+001,9.076992e-011,3.726284e-002,7.630363e-003,-9.755542e+000
62,0.620000,3.734020e-001,0,2.762891e-012,1.839910e-002,8.439641e-003,-9.556432e+000
63,0.630000,3.523161e-001,0,2.351956e-008,1.650217e-001,1.144019e-002,-9.042079e+000
64,0.640000,4.721752e-001,0,2.744692e-008,2.479203e-001,1.738783e-002,-8.270341e+000
65,0.650000,5.670385e-001,9.696969e+001,3.029119e-008,3.182740e-001,3.171368e-002,-7.125349e+000
66,0.660000,6.784123e-001,1.939394e+002,3.332046e-008,3.238439e-001,5.109550e-002,-6.126613e+000
67,0.670000,7.372110e-001,2.857657e+002,4.114700e-008,3.580905e-001,7.189711e-002,-5.311072e+000
68,0.680000,8.619351e-001,2.787640e+002,8.243338e-008,4.599706e-001,8.527702e-002,-4.931812e+000
69,0.690000,9.673292e-001,2.780036e+002,1.721710e-006,8.440745e-001,9.128546e-002,-4.788027e+000
70,0.700000,9.778752e-001,2.880036e+002,5.072863e-006,1.388726e+000,8.943095e-002,-4.831350e+000
71,0.710000,9.799197e-001,3.051416e+002,9.026257e-006,1.909337e+000,8.000787e-002,-5.074437e+000
72,0.720000,9.795343e-001,3.048204e+002,7.543275e-006,1.647580e+000,6.370453e-002,-5.572716e+000
73,0.730000,9.690580e-001,2.965471e+002,4.938566e-006,1.407258e+000,4.677045e-002,-6.205786e+000
74,0.740000,8.928568e-001,2.973243e+002,1.324479e-006,1.052546e+000,3.292155e-002,-6.899277e+000
75,0.750000,6.811512e-001,3.144551e+002,1.143803e-006,8.477239e-001,2.301957e-002,-7.648779e+000
76,0.760000,4.423410e-001,2.209019e+002,4.001909e-007,5.515687e-001,1.513827e-002,-8.540529e+000
77,0.770000,2.923513e-001,1.130188e+002,3.798677e-008,3.498610e-001,9.473378e-003,-9.460774e+000
78,0.780000,2.806569e-001,0,4.498609e-008,3.897101e-001,6.428291e-003,-1.014004e+001
79,0.790000,2.634544e-001,0,3.053018e-008,2.909658e-001,7.399341e-003,-9.941842e+000
80,0.800000,2.212980e-001,0,9.301318e-009,1.584725e-001,1.102032e-002,-9.231464e+000
81,0.810000,2.080597e-001,0,1.692850e-010,6.582005e-002,1.637865e-002,-8.288395e+000
82,0.820000,2.462554e-001,0,1.312984e-009,9.692659e-002,2.031279e-002,-7.812463e+000
83,0.830000,2.681934e-001,0,3.720183e-008,2.543085e-001,2.304369e-002,-7.544670e+000
84,0.840000,2.650957e-001,0,6.446489e-008,3.908942e-001,2.531642e-002,-7.359041e+000
85,0.850000,3.640709e-001,0,7.998824e-008,4.641711e-001,2.705381e-002,-7.223561e+000
86,0.860000,5.399995e-001,9.696969e+001,3.010178e-007,6.016431e-001,2.801881e-002,-7.149858e+000
87,0.870000,7.111661e-001,1.914315e+002,3.862888e-007,6.849813e-001,2.784121e-002,-7.162641e+000
88,0.880000,7.720425e-001,2.804193e+002,3.780621e-007,6.601179e-001,2.726215e-002,-7.204809e+000
89,0.890000,7.630408e-001,2.668644e+002,5.627689e-007,7.145175e-001,2.522689e-002,-7.371082e+000
90,0.900000,6.506091e-001,2.532106e+002,4.873453e-007,6.464134e-001,2.210069e-002,-7.648880e+000
91,0.910000,4.564471e-001,1.642229e+002,5.840700e-007,7.711677e-001,1.804271e-002,-8.056695e+000
92,0.920000,2.914645e-001,8.080808e+001,1.825743e-007,5.851152e-001,1.488062e-002,-8.443360e+000
93,0.930000,2.279689e-001,0,2.425735e-007,6.428105e-001,1.225732e-002,-8.822545e+000
94,0.940000,2.439366e-001,0,1.531309e-007,5.405780e-001,1.025056e-002,-9.182466e+000
95,0.950000,2.185708e-001,0,1.180417e-007,4.587723e-001,8.474321e-003,-9.570846e+000
96,0.960000,1.874172e-001,0,7.362332e-008,4.201999e-001,6.857865e-003,-9.996702e+000
97,0.970000,1.723376e-001,0,5.969405e-008,3.575190e-001,5.295073e-003,-1.054016e+001
98,0.980000,2.156131e-001,0,5.752422e-008,3.428090e-001,3.845851e-003,-1.123072e+001
99,0.990000,2.424699e-001,0,5.360496e-009,2.001307e-001,2.660607e-003,-1.194144e+001
100,1.000000,2.618576e-001,0,3.762175e-009,1.707726e-001,1.837861e-003,-1.266679e+001
101,1.010000,3.064206e-001,0,9.206891e-010,1.122631e-001,1.387427e-003,-1.322158e+001
102,1.020000,3.389490e-001,0,3.791664e-010,8.073096e-002,2.193405e-003,-1.266784e+001
103,1.030000,3.175968e-001,0,6.285102e-011,5.297952e-002,4.570957e-003,-1.140093e+001
104,1.040000,2.291545e-001,0,4.305364e-011,4.846000e-002,8.649303e-003,-9.703636e+000
105,1.050000,1.784046e-001,0,3.908197e-011,4.720111e-002,1.300365e-002,-8.771453e+000
106,1.060000,2.126365e-001,0,4.080045e-010,7.687113e-002,1.729201e-002,-8.151586e+000
107,1.070000,2.357647e-001,0,8.002046e-009,1.670415e-001,2.040065e-002,-7.796864e+000
108,1.080000,2.478077e-001,0,1.113706e-008,2.331267e-001,2.197559e-002,-7.636289e+000
109,1.090000,2.186294e-001,0,8.867035e-008,4.050977e-001,2.149185e-002,-7.683442e+000
110,1.100000,1.872205e-001,0,1.282543e-007,4.832676e-001,2.000813e-002,-7.829658e+000
111,1.110000,3.143202e-001,0,1.613308e-007,5.722397e-001,2.497878e-002,-7.485558e+000
112,1.120000,5.514252e-001,9.046497e+001,9.996885e-008,4.921242e-001,3.633542e-002,-6.818307e+000
113,1.130000,8.177298e-001,1.836139e+002,7.815412e-008,4.606367e-001,5.156695e-002,-5.979803e+000
114,1.140000,9.425530e-001,2.820625e+002,4.317057e-008,3.516189e-001,6.298393e-002,-5.542815e+000
115,1.150000,9.644802e-001,2.950162e+002,2.408582e-007,5.081441e-001,7.055607e-002,-5.308252e+000
116,1.160000,9.773825e-001,3.099704e+002,1.327753e-006,8.326967e-001,7.376661e-002,-5.214580e+000
117,1.170000,9.839661e-001,3.451700e+002,1.960954e-006,1.174757e+000,7.170663e-002,-5.275079e+000
118,1.180000,9.859642e-001,3.986141e+002,3.094263e-006,1.389672e+000,6.536262e-002,-5.465538e+000
119,1.190000,9.846491e-001,4.473736e+002,2.095991e-006,1.152771e+000,5.741931e-002,-5.726894e+000
120,1.200000,9.826286e-001,4.729649e+002,2.208870e-006,1.173130e+000,4.921785e-002,-6.043653e+000
121,1.210000,9.772567e-001,4.753416e+002,1.003616e-006,9.244888e-001,4.010721e-002,-6.473079e+000
