frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,7.676072e-001,7.729468e+001,2.768602e-011,1.989268e-002,3.266961e-002,-7.097070e+000
1,0.010000,8.493360e-001,1.540372e+002,3.419011e-011,3.277431e-002,5.395677e-002,-6.151431e+000
2,0.020000,9.299930e-001,2.307798e+002,2.624100e-010,7.023030e-002,8.235965e-002,-5.055245e+000
3,0.030000,9.301230e-001,2.325365e+002,2.384650e-010,6.124980e-002,1.043162e-001,-4.544525e+000
4,0.040000,9.015444e-001,2.372236e+002,1.796480e-006,6.008589e-001,1.195628e-001,-4.255439e+000
5,0.050000,8.705494e-001,2.491257e+002,1.804245e-006,6.722534e-001,1.253498e-001,-4.153975e+000
6,0.060000,8.610558e-001,2.653125e+002,1.983330e-006,9.379947e-001,1.213527e-001,-4.222309e+000
7,0.070000,7.935717e-001,2.791208e+002,2.036189e-007,5.208815e-001,1.099883e-001,-4.425082e+000
8,0.080000,7.989952e-001,2.925170e+002,3.764029e-007,6.894640e-001,9.558696e-002,-4.713652e+000
9,0.090000,7.714508e-001,3.061224e+002,3.531090e-007,6.781377e-001,8.171805e-002,-5.026485e+000
10,0.100000,8.495269e-001,3.232771e+002,3.850749e-007,7.297178e-001,7.133669e-002,-5.288250e+000
11,0.110000,8.761432e-001,3.384666e+002,4.278635e-007,7.479748e-001,6.439205e-002,-5.490066e+000
12,0.120000,9.269446e-001,3.481416e+002,3.576366e-006,1.145992e+000,5.858020e-002,-5.682679e+000
13,0.130000,9.434091e-001,3.542673e+002,3.532676e-006,1.052515e+000,5.076112e-002,-5.982505e+000
14,0.140000,9.319751e-001,3.555555e+002,4.799107e-006,1.279186e+000,4.264117e-002,-6.338082e+000
15,0.150000,9.000390e-001,3.542673e+002,1.495776e-006,6.736152e-001,3.501790e-002,-6.723904e+000
16,0.160000,8.817719e-001,3.504574e+002,1.576704e-006,8.019388e-001,2.911487e-002,-7.097177e+000
17,0.170000,8.618624e-001,3.442320e+002,8.803398e-008,3.430896e-001,2.435344e-002,-7.452560e+000
18,0.180000,8.538547e-001,3.358907e+002,1.147116e-007,4.432592e-001,1.993164e-002,-7.856744e+000
19,0.190000,8.083816e-001,3.268029e+002,2.204477e-007,5.037150e-001,1.590450e-002,-8.335056e+000
20,0.200000,6.414634e-001,3.190850e+002,2.253947e-007,5.414252e-001,1.102815e-002,-9.186473e+000
21,0.210000,5.930076e-001,2.101961e+002,1.995999e-007,4.536592e-001,6.625083e-003,-1.036800e+001
22,0.220000,4.266649e-001,1.045752e+002,8.168277e-009,1.942632e-001,4.875156e-003,-1.077378e+001
23,0.230000,3.880120e-001,0,2.005102e-009,1.231835e-001,6.044046e-003,-1.045218e+001
24,0.240000,2.431835e-001,0,2.956810e-010,8.542499e-002,8.854971e-003,-9.508579e+000
25,0.250000,2.685535e-001,0,2.793352e-010,8.245414e-002,1.069335e-002,-9.087607e+000
26,0.260000,2.825873e-001,0,2.583583e-009,1.283242e-001,1.163751e-002,-8.908036e+000
27,0.270000,2.602899e-001,0,1.819215e-008,2.293175e-001,1.161523e-002,-8.912049e+000
28,0.280000,2.670887e-001,0,2.938540e-008,3.299347e-001,1.712968e-002,-8.327188e+000
29,0.290000,4.034838e-001,0,5.073478e-008,4.048584e-001,3.303830e-002,-7.257082e+000
30,0.300000,6.229820e-001,7.619048e+001,3.889916e-008,3.593079e-001,5.854697e-002,-5.878104e+000
31,0.310000,8.121054e-001,1.513228e+002,3.360923e-008,3.383276e-001,8.593776e-002,-4.970574e+000
32,0.320000,8.958758e-001,2.248895e+002,1.061519e-008,2.413428e-001,1.076332e-001,-4.479185e+000
33,0.330000,9.267302e-001,2.212647e+002,1.704300e-007,4.227910e-001,1.219500e-001,-4.213190e+000
34,0.340000,9.369393e-001,2.182045e+002,1.950690e-006,8.748221e-001,1.272452e-001,-4.123638e+000
35,0.350000,9.419527e-001,2.172035e+002,5.782530e-006,1.514398e+000,1.241979e-001,-4.174352e+000
36,0.360000,9.435012e-001,2.176971e+002,7.938352e-006,1.841624e+000,1.143976e-001,-4.344463e+000
37,0.370000,9.408057e-001,2.181908e+002,6.695401e-006,1.675996e+000,1.007679e-001,-4.605049e+000
38,0.380000,9.324784e-001,2.167488e+002,5.344700e-006,1.591236e+000,8.606306e-002,-4.925244e+000
39,0.390000,9.200550e-001,2.134092e+002,3.034863e-006,1.110107e+000,7.174226e-002,-5.293884e+000
40,0.400000,8.997295e-001,2.092308e+002,3.302801e-006,1.159435e+000,5.761219e-002,-5.750456e+000
41,0.410000,8.471866e-001,2.056176e+002,1.737692e-006,1.002209e+000,4.090223e-002,-6.554478e+000
42,0.420000,7.058978e-001,2.038411e+002,1.729248e-006,9.494761e-001,2.264944e-002,-8.442758e+000
43,0.430000,4.953531e-001,1.354539e+002,9.180805e-007,5.293407e-001,1.204428e-002,-9.336068e+000
44,0.440000,3.280995e-001,6.794331e+001,1.281898e-009,8.608931e-002,1.168415e-002,-9.370570e+000
45,0.450000,2.441798e-001,0,4.812043e-011,4.485151e-002,1.955047e-002,-7.993536e+000
46,0.460000,2.213732e-001,0,2.954565e-010,6.860555e-002,2.585810e-002,-7.337171e+000
47,0.470000,2.081865e-001,0,1.346040e-008,1.867472e-001,2.959394e-002,-7.044575e+000
48,0.480000,2.109745e-001,0,5.841298e-008,3.480982e-001,3.062071e-002,-6.972614e+000
49,0.490000,2.386620e-001,0,1.535604e-007,5.382457e-001,2.979217e-002,-7.029855e+000
50,0.500000,2.779463e-001,0,2.042614e-007,6.148621e-001,3.085997e-002,-6.965383e+000
51,0.510000,4.646717e-001,0,2.884470e-007,6.828986e-001,3.477487e-002,-6.745785e+000
52,0.520000,6.634341e-001,9.356724e+001,2.136807e-007,5.985568e-001,4.137173e-002,-6.386623e+000
53,0.530000,8.251418e-001,1.840667e+002,1.501644e-007,4.381269e-001,4.753789e-002,-6.102107e+000
