roll,pitch,yaw
-7.36546,-2.69014,3.51372
-7.37419,-2.69075,3.52061
-7.37754,-2.69278,3.52224
-7.38492,-2.68895,3.50499
-7.38761,-2.69925,3.48285
-7.38544,-2.70524,3.49242
-7.3851,-2.6995,3.4933
-7.38543,-2.70076,3.49367
-7.38394,-2.70037,3.49864
-7.38414,-2.7133,3.48979
-7.384,-2.71795,3.48035
-7.3802,-2.72909,3.47926
-7.38384,-2.73505,3.48826
-7.39323,-2.7515,3.47768
-7.40158,-2.7484,3.49659
-7.41317,-2.77017,3.46051
-7.41977,-2.7745,3.47695
-7.42581,-2.7909,3.46544
-7.4168,-2.80001,3.48092
-7.41382,-2.79808,3.4996
-7.40148,-2.79057,3.51885
-7.39744,-2.79572,3.51284
-7.39136,-2.77564,3.50882
-7.37981,-2.75873,3.51614
-7.37392,-2.75586,3.49727
-7.36386,-2.76287,3.50837
-7.35778,-2.76691,3.49833
-7.34971,-2.77202,3.50878
-7.33577,-2.76866,3.49744
-7.32861,-2.75847,3.4784
-7.32123,-2.74561,3.4446
-7.30864,-2.73805,3.40657
-7.29717,-2.73145,3.4211
-7.29643,-2.72146,3.39176
-7.28954,-2.71244,3.38414
-7.28808,-2.70459,3.36224
-7.28257,-2.70253,3.37428
-7.27992,-2.69076,3.37406
-7.27329,-2.68881,3.39385
-7.2673,-2.69028,3.40662
-7.26462,-2.69342,3.36577
-7.25502,-2.68735,3.37573
-7.25266,-2.69411,3.35477
-7.24633,-2.69079,3.36386
-7.25382,-2.69331,3.32312
-7.26015,-2.71355,3.31393
-7.26927,-2.72484,3.31635
-7.27261,-2.73573,3.30282
-7.26386,-2.73868,3.33225
-7.26497,-2.75501,3.33009
-7.25256,-2.74598,3.32988
-7.24016,-2.72724,3.29033
-7.21786,-2.72078,3.23857
-7.18874,-2.70213,3.18354
-7.15877,-2.68864,3.16933
-7.13715,-2.67185,3.16687
-7.13643,-2.66336,3.16575
-7.13775,-2.66301,3.17995
-7.14819,-2.64933,3.19779
-7.16228,-2.67739,3.20805
-7.16377,-2.68449,3.21547
-7.17949,-2.70497,3.20337
-7.19504,-2.67733,3.21341
-7.22274,-2.65033,3.23232
-7.25412,-2.61396,3.2458
-7.27707,-2.57144,3.26748
-7.30576,-2.54207,3.2721
-7.32994,-2.5267,3.3145
-7.3557,-2.49371,3.34029
-7.37251,-2.47701,3.39963
-7.40193,-2.47506,3.45064
-7.43068,-2.4536,3.49646
-7.44704,-2.43727,3.47886
-7.45476,-2.43609,3.50166
-7.4653,-2.43862,3.49636
-7.47979,-2.4185,3.52628
-7.48696,-2.40098,3.53927
-7.48561,-2.38344,3.53534
-7.48761,-2.36434,3.50561
-7.48351,-2.32353,3.51503
-7.47318,-2.29355,3.50806
-7.45857,-2.26567,3.52188
-7.44639,-2.24969,3.4963
-7.43786,-2.20945,3.50325
-7.4295,-2.16811,3.51877
-7.42548,-2.13914,3.48082
