roll,pitch,yaw
3.33782,3.47171,5.75568
3.30122,3.42554,5.76183
3.27653,3.36993,5.81775
3.26136,3.30149,5.8848
3.23728,3.25675,5.90805
3.22206,3.26956,5.94521
3.21204,3.2758,6.00436
3.21569,3.27501,6.10333
3.19703,3.28552,6.1732
3.20394,3.27555,6.27972
3.21834,3.32279,6.37155
3.23308,3.33557,6.46113
3.23477,3.36005,6.53554
3.24021,3.41605,6.65293
3.2482,3.46364,6.76316
3.27094,3.45812,6.9319
3.27918,3.4901,7.03714
3.30876,3.52942,7.19253
3.3112,3.57242,7.28046
3.33609,3.58982,7.42091
3.35775,3.63528,7.55047
3.35344,3.71391,7.61137
3.36073,3.75651,7.69843
3.37017,3.80942,7.84676
3.38074,3.8403,7.99229
3.3643,3.8111,8.02572
3.33138,3.83248,8.04913
3.28964,3.81289,8.04112
3.25301,3.80973,8.04725
3.18515,3.78055,8.01585
3.11948,3.78643,7.98194
3.01988,3.79602,7.88927
2.92338,3.81222,7.7899
2.82468,3.82843,7.66339
2.71506,3.79092,7.47794
2.59178,3.77445,7.21436
2.47462,3.75304,6.95004
2.33334,3.68425,6.68272
2.16672,3.64371,6.34735
2.00995,3.57206,6.03181
1.82941,3.53493,5.61544
1.64164,3.4763,5.20555
1.47715,3.39317,4.89744
1.26943,3.26679,4.49317
1.05102,3.19908,4.08471
0.83407,3.17999,3.70277
0.62977,3.08327,3.39557
0.40946,2.95888,3.07411
0.18875,2.84839,2.72978
-0.05309,2.66143,2.40375
-0.2732,2.55875,2.10312
-0.50518,2.47808,1.78654
-0.72113,2.4428,1.50396
-0.90865,2.43037,1.22992
-1.05438,2.32427,0.97614
-1.15464,2.20496,0.80656
-1.25322,2.18714,0.59957
-1.33957,2.12716,0.47097
-1.40975,2.11779,0.32836
-1.47296,2.11104,0.17417
-1.50753,2.10523,0.11857
-1.53717,2.09127,0.04649
-1.56218,2.05227,0.01285
-1.56816,2.04088,-0.01808
-1.56,2.00987,-0.00143
-1.54764,1.93917,0.0309
-1.52286,1.91662,0.05573
-1.48,1.89951,0.13892
-1.43274,1.86102,0.22248
-1.40523,1.82588,0.27165
-1.39818,1.77012,0.34374
-1.34662,1.69726,0.48523
-1.31173,1.62976,0.58446
-1.27085,1.52666,0.69353
-1.24693,1.42016,0.82618
-1.22714,1.34989,0.95276
-1.23268,1.28774,1.06913
-1.24576,1.24796,1.19587
-1.24439,1.1844,1.38143
-1.26492,1.10973,1.56576
-1.30068,1.06018,1.72838
-1.34122,1.03885,1.88761
-1.38657,1.03604,1.97776
-1.39896,1.00416,2.06835
-1.40047,0.92599,2.19472
-1.39372,0.85833,2.30685
-1.38157,0.7923,2.43433
-1.37813,0.71325,2.54498
-1.38277,0.6589,2.61693
-1.38127,0.61167,2.66065
-1.36552,0.52795,2.79984
-1.34943,0.48303,2.93188
-1.32506,0.41597,3.05905
-1.30892,0.39591,3.13531
-1.3003,0.35921,3.21189
-1.30213,0.33036,3.30935
-1.3179,0.24299,3.39291
-1.33994,0.16706,3.47327
-1.35775,0.12352,3.52864
-1.37934,0.09057,3.59292
-1.38711,0.08898,3.64653
-1.38206,0.06256,3.71277
-1.387,0.07656,3.72018
-1.39115,0.09233,3.76405
-1.39216,0.10408,3.80672
-1.39385,0.11306,3.84379
-1.3926,0.1192,3.89129
-1.39901,0.11485,3.93504
-1.40566,0.13978,3.9533
-1.40531,0.12056,4.0078
-1.41746,0.13993,4.00301
-1.4172,0.12973,4.052
-1.41438,0.16538,4.06731
-1.41912,0.16626,4.0703
-1.41229,0.21572,4.07112
-1.40243,0.22812,4.08659
-1.39216,0.23905,4.07363
-1.38651,0.26689,4.02231
-1.37337,0.26096,4.01461
-1.37164,0.25293,4.01057
-1.37319,0.2498,4.02662
-1.37196,0.28235,4.01391
-1.36076,0.3177,4.0524
-1.37144,0.33,4.07964
-1.3848,0.35607,4.11523
-1.40277,0.37061,4.15245
-1.42962,0.37538,4.18227
-1.44511,0.39169,4.22812
-1.46322,0.42419,4.21189
-1.47982,0.43798,4.20985
-1.48637,0.40128,4.17342
-1.48213,0.38878,4.14888
-1.47029,0.40601,4.12773
-1.45502,0.40188,4.07588
-1.42799,0.37885,4.03499
-1.38641,0.38821,4.00011
-1.34933,0.34095,3.94565
-1.30573,0.33054,3.89473
-1.26491,0.30391,3.82172
-1.21299,0.26258,3.78965
-1.17511,0.21279,3.76845
-1.13755,0.17131,3.77525
-1.11428,0.11993,3.77286
-1.09861,0.08146,3.76143
-1.08825,0.04913,3.82315
-1.10296,0.03077,3.85734
-1.10876,0.00707,3.91583
-1.11983,-0.01134,3.97034
-1.13248,-0.00259,3.98153
-1.13298,0.00666,4.00888
-1.13854,0.02383,3.99951
-1.13356,0.0366,4.00366
-1.1363,0.05806,3.98199
-1.13278,0.13687,3.95741
-1.11479,0.18212,3.94679
-1.08298,0.19722,3.95792
-1.03746,0.2425,3.95201
-0.99197,0.28152,3.93938
-0.93988,0.31374,3.94643
-0.88467,0.33747,3.93607
-0.84631,0.37238,3.93991
-0.79054,0.38377,3.96747
-0.72998,0.43832,3.97011
-0.66929,0.46864,3.95687
-0.61384,0.47692,3.94045
-0.56347,0.51073,3.9429
-0.53037,0.5284,3.94379
-0.48266,0.51914,3.98705
-0.43857,0.51005,4.0122
-0.39416,0.48662,4.01954
-0.35542,0.48998,4.01378
-0.32034,0.48114,4.03528
-0.27111,0.42933,4.05803
-0.23211,0.39377,4.05156
-0.20829,0.35407,4.01082
-0.19334,0.30698,3.94032
-0.17382,0.29999,3.86932
-0.14856,0.24628,3.85752
-0.12535,0.21648,3.87284
-0.10628,0.15454,3.8838
-0.0728,0.08765,3.88852
-0.06058,0.07637,3.8239
-0.03186,0.06434,3.77942
-0.00678,0.01742,3.74559
0.01934,-0.05257,3.73041
0.0293,-0.09044,3.6498
0.05178,-0.12565,3.60862
0.07636,-0.17862,3.54743
0.11243,-0.26881,3.49721
0.14803,-0.3009,3.40859
0.1831,-0.30976,3.33377
0.20625,-0.34814,3.24486
0.22918,-0.39082,3.17573
0.24673,-0.47546,3.12756
0.25904,-0.5331,3.07359
0.26586,-0.56614,3.00567
0.28411,-0.60294,2.94803
0.3132,-0.64524,2.87172
0.33991,-0.66557,2.76943
0.35476,-0.69344,2.65567
0.36935,-0.73257,2.49666
0.38871,-0.76358,2.34676
0.39473,-0.80671,2.19509
0.40259,-0.849,2.03512
0.41677,-0.85614,1.875
0.42874,-0.86746,1.73441
0.4361,-0.88291,1.54398
0.4498,-0.87536,1.38416
0.4426,-0.8439,1.18026
0.43257,-0.82069,1.03246
0.41257,-0.80015,0.8498
0.39997,-0.72024,0.69337
0.39065,-0.6973,0.50905
0.3849,-0.68901,0.32842
0.37047,-0.68367,0.17058
0.36387,-0.6789,-0.04541
0.36496,-0.6568,-0.21382
0.38073,-0.62674,-0.32337
0.38807,-0.58905,-0.51319
0.40291,-0.57501,-0.66759
0.41613,-0.56101,-0.78091
0.41236,-0.50355,-0.92437
0.42399,-0.49211,-1.00838
0.429,-0.45686,-1.15138
0.45718,-0.45405,-1.22103
0.47631,-0.42276,-1.32848
0.49274,-0.39055,-1.43689
0.51241,-0.39056,-1.51101
0.52291,-0.39302,-1.61442
0.54871,-0.3886,-1.61312
0.56874,-0.36611,-1.69501
0.59353,-0.35854,-1.76841
0.61727,-0.37993,-1.83677
0.63423,-0.39005,-1.88602
0.66788,-0.34868,-1.94042
0.69355,-0.3417,-2.04889
0.71687,-0.29349,-2.12114
0.73649,-0.249,-2.1757
0.75687,-0.19635,-2.24041
0.79053,-0.15016,-2.30147
0.84499,-0.11024,-2.35911
0.88979,-0.11359,-2.45824
0.93577,-0.08376,-2.57069
0.99993,-0.02921,-2.65861
1.06682,0.01887,-2.83014
1.15404,0.10201,-3.04028
1.25646,0.18386,-3.23971
1.36534,0.30377,-3.50665
1.47769,0.38179,-3.84978
1.62601,0.42559,-4.16663
1.80887,0.44592,-4.53215
1.99918,0.50805,-4.93623
2.199,0.61286,-5.35869
2.38411,0.72847,-5.81321
2.58148,0.8078,-6.26262
2.78395,0.8894,-6.73715
2.99021,1.00208,-7.1948
3.20482,1.10941,-7.66505
3.37648,1.20748,-8.14254
3.54799,1.30315,-8.57067
3.70958,1.39181,-8.98394
3.8639,1.44673,-9.34109
4.02071,1.42809,-9.60418
4.16294,1.42647,-9.88173
4.29774,1.38051,-10.18015
4.4244,1.31058,-10.395
4.56511,1.23524,-10.52184
4.73171,1.1951,-10.53417
4.93393,1.09258,-10.4793
5.1592,1.0118,-10.32459
5.38678,0.99741,-10.18701
