roll,pitch,yaw
6.277,-2.87959,0.79423
6.27954,-2.87694,0.82318
6.27235,-2.88571,0.80846
6.26923,-2.87897,0.82084
6.26681,-2.89028,0.80267
6.26393,-2.87571,0.79524
6.2568,-2.86201,0.79363
6.25374,-2.87981,0.8245
6.24323,-2.89225,0.81202
6.23541,-2.88412,0.85451
6.22519,-2.88008,0.87054
6.21455,-2.87674,0.89016
6.21222,-2.83906,0.89481
6.213,-2.84716,0.89116
6.21462,-2.82349,0.90125
6.21401,-2.82447,0.9021
6.22184,-2.81322,0.90584
6.22386,-2.81011,0.93639
6.22629,-2.80424,0.92504
6.22212,-2.81475,0.93935
6.21935,-2.82422,0.92409
6.22098,-2.8307,0.96013
6.21463,-2.83107,0.92291
6.2112,-2.81432,0.90642
6.21219,-2.81287,0.89961
6.21597,-2.80547,0.87613
6.21416,-2.81471,0.86059
6.21448,-2.82432,0.84873
6.21482,-2.81317,0.82036
6.21753,-2.82387,0.81105
6.21556,-2.80515,0.79201
6.21507,-2.80396,0.79482
6.21795,-2.799,0.79925
6.22442,-2.8029,0.79665
6.22824,-2.81837,0.79056
6.23564,-2.81225,0.7938
6.24304,-2.82264,0.7893
6.25094,-2.82209,0.7785
6.25537,-2.83768,0.74173
6.26187,-2.84086,0.75571
6.26451,-2.8512,0.74679
6.2641,-2.86882,0.76371
6.26308,-2.88239,0.75022
6.25606,-2.89991,0.78561
6.24807,-2.90802,0.77276
6.24213,-2.91544,0.80238
6.23188,-2.93147,0.77747
6.23621,-2.93412,0.80601
6.23337,-2.93287,0.77103
6.24057,-2.94062,0.81229
6.23048,-2.94743,0.77786
6.23411,-2.94032,0.82976
6.23086,-2.94219,0.8181
6.23194,-2.92729,0.826
6.2246,-2.94151,0.81768
6.21462,-2.93091,0.81265
6.21191,-2.94742,0.84517
6.20329,-2.93534,0.83497
6.19751,-2.9639,0.85751
6.18667,-2.95072,0.8575
6.17304,-2.97386,0.85564
6.16942,-2.95511,0.8599
6.15846,-2.9681,0.83715
6.14805,-2.95023,0.83819
6.14133,-2.96904,0.84023
6.13349,-2.96684,0.82593
6.12786,-2.95471,0.83975
6.12301,-2.96111,0.86605
6.12716,-2.97456,0.89273
6.12353,-2.99137,0.89616
6.11859,-2.9998,0.89253
6.11115,-3.01277,0.88499
6.10195,-3.025,0.88259
6.09691,-3.02816,0.88558
6.08635,-3.02557,0.87821
6.08099,-3.03156,0.86688
6.07709,-3.03186,0.85456
6.06818,-3.04325,0.84119
6.05409,-3.05411,0.83009
6.0357,-3.07853,0.82029
6.01856,-3.08991,0.79888
5.99794,-3.08982,0.77622
5.95872,-3.07049,0.71085
5.9242,-3.04968,0.68447
5.87247,-3.066,0.5957
5.80304,-3.09832,0.48354
5.71462,-3.12663,0.31311
5.60472,-3.14729,0.05592
5.46317,-3.17959,-0.18501
5.29789,-3.14131,-0.51667
5.10667,-3.15211,-0.83293
4.87362,-3.14159,-1.2589
4.65592,-3.14314,-1.67359
4.42902,-3.12136,-2.07359
4.20338,-3.08459,-2.54917
3.95834,-3.01901,-2.99881
3.71884,-2.97781,-3.44157
3.48274,-2.89582,-3.87604
3.23121,-2.88134,-4.32218
2.98868,-2.8631,-4.74382
2.75544,-2.89674,-5.09813
2.51163,-2.86826,-5.4578
2.28498,-2.85962,-5.83429
2.08887,-2.84899,-6.12866
1.91769,-2.82354,-6.38957
1.76913,-2.86808,-6.62253
1.64909,-2.90851,-6.80884
1.54358,-2.90266,-6.98148
1.4572,-2.83697,-7.13544
1.38803,-2.81545,-7.20463
1.3084,-2.79373,-7.2928
1.25371,-2.69984,-7.32339
1.19913,-2.57442,-7.35108
1.13727,-2.52079,-7.38027
1.06076,-2.38001,-7.31461
0.98527,-2.24511,-7.29737
0.91986,-2.1708,-7.20567
0.83874,-2.05368,-7.11027
0.74342,-1.93553,-6.98069
0.66295,-1.91237,-6.80792
0.5845,-1.83908,-6.67577
0.51494,-1.77516,-6.49773
0.4469,-1.72094,-6.28279
0.3467,-1.70317,-6.00276
0.26668,-1.68088,-5.61283
0.1845,-1.64398,-5.16708
0.10124,-1.59398,-4.65533
0.00108,-1.43542,-4.14085
-0.1005,-1.29361,-3.66193
-0.19631,-1.13606,-3.11223
-0.26449,-0.93397,-2.56921
-0.31292,-0.78668,-2.02409
-0.3494,-0.65082,-1.42653
-0.39648,-0.44709,-0.87641
-0.43783,-0.30432,-0.40323
-0.45097,-0.14507,0.00301
-0.43287,-0.03879,0.39517
-0.41554,0.01411,0.70296
-0.40331,0.04152,0.98111
-0.4074,0.10162,1.24213
-0.456,0.15388,1.40408
-0.50016,0.16917,1.55039
-0.5512,0.21869,1.6566
-0.63505,0.18658,1.67453
-0.74896,0.19429,1.62485
-0.86534,0.22403,1.54093
-0.99354,0.23651,1.39791
-1.14036,0.25545,1.27935
-1.30298,0.24866,1.1077
-1.47177,0.29381,0.9252
-1.64821,0.35475,0.68839
-1.82043,0.36114,0.49515
-1.97409,0.29528,0.29902
-2.11048,0.2105,0.1263
-2.22791,0.14771,-0.0576
-2.30753,0.0859,-0.19749
-2.35215,0.00918,-0.33563
-2.37768,-0.07544,-0.41361
-2.38977,-0.16876,-0.49026
-2.38203,-0.2618,-0.59279
-2.35991,-0.31777,-0.69235
-2.33594,-0.35497,-0.78289
-2.31403,-0.39575,-0.88471
-2.29037,-0.45553,-0.94338
-2.28529,-0.50601,-1.0003
-2.28299,-0.58855,-1.00643
-2.28443,-0.66479,-1.01034
-2.30535,-0.74179,-1.03713
-2.32962,-0.81962,-1.10273
-2.35851,-0.90959,-1.17533
-2.39419,-0.99089,-1.22093
-2.43063,-1.12347,-1.23514
-2.46737,-1.2433,-1.26616
-2.50713,-1.30255,-1.30964
-2.53535,-1.33311,-1.31646
-2.56845,-1.34868,-1.35497
-2.60314,-1.40358,-1.38161
-2.6199,-1.45017,-1.3476
-2.63564,-1.48151,-1.34493
-2.65429,-1.50012,-1.33908
-2.68735,-1.47223,-1.34646
-2.7143,-1.45133,-1.35628
-2.73878,-1.41593,-1.34706
-2.7525,-1.37761,-1.30472
-2.76526,-1.33317,-1.30859
-2.76466,-1.28631,-1.34554
-2.75399,-1.24463,-1.36715
-2.74017,-1.19295,-1.36809
-2.71999,-1.1602,-1.3454
-2.69885,-1.14207,-1.33011
-2.67805,-1.11921,-1.35441
-2.66508,-1.10466,-1.34843
-2.6715,-1.08901,-1.35906
-2.68344,-1.07187,-1.35986
-2.70046,-1.06643,-1.36112
-2.71406,-1.05441,-1.3539
-2.72137,-1.04249,-1.37638
-2.73027,-1.03199,-1.36698
-2.73867,-1.03542,-1.37575
-2.74885,-1.03256,-1.39049
-2.75816,-1.01684,-1.41593
-2.77191,-1.00696,-1.45242
-2.77546,-0.97576,-1.44558
-2.77886,-0.96711,-1.43439
-2.80481,-0.9494,-1.40353
-2.8125,-0.9458,-1.37133
-2.82255,-0.9403,-1.34919
-2.81238,-0.92708,-1.34942
-2.80717,-0.89701,-1.35523
-2.80322,-0.93113,-1.29974
-2.81831,-0.97784,-1.30457
-2.84204,-1.02152,-1.29552
-2.86829,-1.05139,-1.2979
-2.8796,-1.07694,-1.25703
-2.87621,-1.13538,-1.19722
-2.87917,-1.20457,-1.18737
-2.87565,-1.25066,-1.17137
-2.86701,-1.31602,-1.15482
-2.85641,-1.37404,-1.1255
-2.85405,-1.43327,-1.10177
-2.85599,-1.46907,-1.0593
-2.87309,-1.49492,-1.01733
-2.89045,-1.50044,-0.97993
-2.92036,-1.48083,-0.96319
-2.93943,-1.43487,-0.93702
-2.95016,-1.41575,-0.90641
-2.93392,-1.38157,-0.90586
-2.90968,-1.33782,-0.9649
-2.86332,-1.31123,-0.98711
-2.82319,-1.31362,-1.03577
-2.78703,-1.34931,-1.00841
-2.76987,-1.33005,-0.99117
-2.76705,-1.3117,-0.98315
-2.76304,-1.27895,-1.00418
-2.76045,-1.24415,-1.04092
-2.75114,-1.23251,-1.06879
-2.75638,-1.22595,-1.13296
-2.75799,-1.20716,-1.15799
-2.75907,-1.21021,-1.19401
-2.76106,-1.19421,-1.2261
-2.77621,-1.20247,-1.28472
-2.79142,-1.20033,-1.31361
-2.80371,-1.18736,-1.33246
-2.82118,-1.17619,-1.32325
-2.84907,-1.1739,-1.33967
