frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,4.916638e-01,0,2.094162e-10,3.650213e-02,3.553173e-03,-1.129319e+01
1,0.008345,4.010377e-01,0,3.601981e-10,6.957866e-02,9.612906e-03,-1.003680e+01
2,0.016689,3.608987e-01,0,3.819822e-10,8.809080e-02,4.854361e-02,-7.631838e+00
3,0.025034,4.368631e-01,0,2.968066e-10,8.279870e-02,1.031129e-01,-5.164828e+00
4,0.033379,5.919075e-01,1.564539e+02,5.368401e-10,9.373777e-02,1.642175e-01,-3.660324e+00
5,0.041723,7.348680e-01,3.085212e+02,9.913587e-10,1.219324e-01,2.068419e-01,-3.176844e+00
6,0.050068,8.374681e-01,4.522541e+02,2.040352e-09,1.519335e-01,2.460064e-01,-2.823105e+00
7,0.058413,8.940604e-01,4.320002e+02,7.295810e-07,5.292673e-01,2.823831e-01,-2.538289e+00
8,0.066757,9.160617e-01,4.093216e+02,1.341688e-06,8.826569e-01,3.017937e-01,-2.397640e+00
9,0.075102,9.222882e-01,3.888472e+02,2.368466e-05,1.998413e+00,3.064601e-01,-2.365710e+00
10,0.083447,9.250697e-01,3.704202e+02,6.219256e-05,2.970605e+00,2.955180e-01,-2.439354e+00
11,0.091791,9.167473e-01,3.329886e+02,6.998963e-05,3.448416e+00,2.763827e-01,-2.577787e+00
12,0.100136,8.968753e-01,2.781347e+02,4.843955e-05,2.703935e+00,2.464777e-01,-2.815284e+00
13,0.108481,8.783405e-01,2.284481e+02,1.496521e-05,2.094140e+00,2.084651e-01,-3.162258e+00
14,0.116825,8.731058e-01,2.045774e+02,8.375177e-06,1.770870e+00,1.726227e-01,-3.539670e+00
15,0.125170,8.906644e-01,2.049016e+02,8.207279e-06,1.741122e+00,1.380300e-01,-3.995194e+00
16,0.133515,9.170510e-01,2.093275e+02,5.809350e-06,1.624267e+00,1.150090e-01,-4.350934e+00
17,0.141859,9.409779e-01,2.207717e+02,4.548768e-06,1.458895e+00,9.815153e-02,-4.646492e+00
18,0.150204,9.486155e-01,2.389400e+02,5.478691e-06,1.585364e+00,8.959278e-02,-4.831699e+00
19,0.158549,9.389487e-01,2.602874e+02,2.461333e-06,1.255618e+00,8.073380e-02,-5.042721e+00
20,0.166893,9.089651e-01,2.805767e+02,2.506293e-06,1.264757e+00,7.205645e-02,-5.268404e+00
21,0.175238,8.384106e-01,2.982242e+02,1.810206e-06,1.178511e+00,6.426612e-02,-5.498125e+00
22,0.183583,7.146977e-01,3.136306e+02,2.809589e-06,1.347993e+00,7.048681e-02,-5.343275e+00
23,0.191927,5.825174e-01,2.138107e+02,2.244148e-06,1.124098e+00,1.019013e-01,-4.743567e+00
24,0.200272,5.439470e-01,1.092661e+02,1.466379e-06,9.001825e-01,1.455705e-01,-3.946381e+00
25,0.208617,5.978243e-01,1.165602e+02,3.547773e-07,6.933157e-01,1.873399e-01,-3.365031e+00
26,0.216961,6.966432e-01,2.092017e+02,3.285107e-07,6.426287e-01,2.123057e-01,-3.107523e+00
27,0.225306,7.719676e-01,2.758145e+02,2.596270e-07,5.505474e-01,2.362374e-01,-2.891708e+00
28,0.233651,8.044561e-01,2.234768e+02,1.246741e-06,7.428721e-01,2.542259e-01,-2.742625e+00
29,0.241995,8.124123e-01,1.942308e+02,1.660115e-06,9.777511e-01,2.603442e-01,-2.692231e+00
30,0.250340,8.134492e-01,1.902007e+02,6.687431e-06,1.603729e+00,2.564112e-01,-2.723240e+00
31,0.258685,8.377867e-01,1.880328e+02,5.996769e-06,1.494827e+00,2.471644e-01,-2.795711e+00
32,0.267029,8.683583e-01,1.861725e+02,5.150282e-05,2.597121e+00,2.436274e-01,-2.824377e+00
33,0.275374,8.805107e-01,1.846144e+02,4.912036e-05,2.465608e+00,2.370552e-01,-2.879648e+00
34,0.283719,8.761601e-01,1.833312e+02,6.244840e-05,3.102259e+00,2.262048e-01,-2.976138e+00
35,0.292063,8.668392e-01,1.828205e+02,1.966227e-05,2.294883e+00,2.089299e-01,-3.137175e+00
36,0.300408,8.454520e-01,1.830737e+02,2.112012e-05,2.381987e+00,1.888016e-01,-3.342191e+00
37,0.308753,8.156107e-01,1.825918e+02,9.064758e-06,1.915277e+00,1.670501e-01,-3.591691e+00
38,0.317098,7.685003e-01,1.806311e+02,7.463741e-06,1.789684e+00,1.411462e-01,-3.943117e+00
39,0.325442,7.561861e-01,1.779465e+02,4.956517e-06,1.615677e+00,1.130149e-01,-4.409511e+00
40,0.333787,8.110393e-01,1.777334e+02,3.168258e-06,1.193678e+00,8.540088e-02,-4.981898e+00
41,0.342132,8.948575e-01,1.890999e+02,1.786123e-06,9.343141e-01,6.579813e-02,-5.478531e+00
42,0.350476,9.550071e-01,2.030847e+02,3.290519e-07,6.630369e-01,5.522311e-02,-5.798057e+00
43,0.358821,9.589869e-01,2.131454e+02,7.378823e-07,8.901164e-01,4.966844e-02,-6.011097e+00
44,0.367166,9.413757e-01,2.208512e+02,9.291263e-07,9.607604e-01,4.373105e-02,-6.283169e+00
45,0.375510,9.022549e-01,2.333261e+02,9.266362e-07,9.594572e-01,3.504703e-02,-6.751923e+00
46,0.383855,8.496338e-01,2.538778e+02,6.417749e-07,8.575624e-01,2.641156e-02,-7.338808e+00
47,0.392200,7.941981e-01,2.720915e+02,3.191429e-07,6.817711e-01,1.897226e-02,-8.004265e+00
48,0.400544,7.060971e-01,2.890730e+02,2.193205e-07,6.078742e-01,1.584906e-02,-8.308982e+00
49,0.408889,6.015828e-01,3.055348e+02,1.352909e-07,5.455031e-01,1.614473e-02,-8.277513e+00
50,0.417234,4.898467e-01,2.091849e+02,1.052901e-07,4.408762e-01,1.966249e-02,-7.881895e+00
51,0.425578,4.367763e-01,1.071504e+02,5.588461e-08,2.760296e-01,2.344076e-02,-7.527758e+00
52,0.433923,4.401200e-01,0,4.236777e-09,1.644831e-01,3.985568e-02,-6.681305e+00
53,0.442268,4.800712e-01,0,4.998485e-09,1.751114e-01,6.501102e-02,-5.724495e+00
54,0.450612,4.641436e-01,0,6.648184e-08,3.526989e-01,9.402476e-02,-4.773417e+00
55,0.458957,4.593291e-01,0,8.596399e-08,4.190659e-01,1.143249e-01,-4.349288e+00
56,0.467302,5.316482e-01,0,2.057984e-07,5.958832e-01,1.277128e-01,-4.122355e+00
57,0.475646,6.999876e-01,1.146019e+02,1.780008e-07,5.627535e-01,1.399548e-01,-3.936953e+00
58,0.483991,8.381419e-01,2.263239e+02,4.083592e-06,1.112667e+00,1.456335e-01,-3.854489e+00
