roll,pitch,yaw
-3.234179,-4.386849,-8.068216
-3.272392,-4.396479,-8.072043
-3.365195,-4.419868,-8.081337
-3.457998,-4.443257,-8.09063
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.472999,-4.288776,-8.121296
-3.385644,-3.703711,-8.216378
-3.234113,-2.73684,-8.362687
-3.076459,-1.750933,-8.502822
-2.962008,-1.086342,-8.553266
-2.724307,-0.803225,-8.340525
-2.193475,-0.878574,-7.868217
-1.633581,-1.277606,-7.435858
-1.458551,-2.028289,-7.275208
-1.870121,-3.089291,-7.477804
-2.64048,-3.970406,-7.853455
-3.233301,-4.354829,-8.056914
-3.457998,-4.443257,-8.09063
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.459088,-4.120163,-8.078396
-3.295366,-2.980716,-8.101369
-2.87751,-1.238268,-8.210395
-2.094676,0.43493,-8.297912
-1.025157,1.564919,-7.951352
0.039637,2.31351,-6.586549
0.788005,3.258141,-4.302263
1.11168,4.530447,-1.819145
1.160606,5.611777,0.03924
1.151951,6.029617,0.732187
1.183969,5.981368,0.646726
1.22856,5.870041,0.45242
1.262861,5.784405,0.302954
1.293731,5.707332,0.168434
1.324602,5.63026,0.033914
1.352042,5.561751,-0.085659
1.341752,5.587441,-0.040819
1.280011,5.741587,0.22822
1.20455,5.929986,0.557046
1.3,5.937533,0.243815
1.818751,5.622534,-1.438843
2.73061,5.137035,-4.078752
3.746874,4.697243,-6.754769
4.492701,4.420713,-8.625464
4.668587,4.312136,-9.270317
4.322054,4.157578,-9.244605
3.724861,3.66785,-9.193248
3.161408,2.743438,-9.249668
2.86242,1.555221,-9.344935
2.842977,0.496107,-9.392277
2.974582,-0.14065,-9.307728
3.167242,-0.164147,-9.091991
3.435951,0.549972,-8.896694
3.844749,1.731908,-8.845154
4.327086,3.028847,-8.982889
4.707648,3.998082,-9.224839
4.887571,4.321071,-9.378332
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.90036,4.320728,-9.402825
4.839099,4.305871,-9.381876
4.686294,4.272495,-9.329994
4.45883,4.228396,-9.253743
4.233425,4.191625,-9.179229
4.116777,4.180438,-9.141847
4.169744,4.200302,-9.160916
4.36473,4.240703,-9.226332
4.601707,4.281567,-9.304761
4.787775,4.309894,-9.365858
4.885387,4.322242,-9.397535
4.890558,4.306462,-9.40061
4.793517,4.217185,-9.391517
4.5631,3.983664,-9.398423
4.18127,3.555266,-9.451768
3.697005,2.957161,-9.574756
3.213065,2.302767,-9.754886
2.831461,1.735005,-9.94939
2.600478,1.350085,-10.109197
2.497008,1.153185,-10.205984
2.467694,1.082845,-10.248581
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.250206,0.99818,-10.176673
1.82127,0.855251,-10.011649
1.499568,0.748055,-9.887881
1.177867,0.640859,-9.764113
