roll,pitch,yaw
-1.91812,-3.699305,-7.958158
-2.148259,-3.809202,-7.978035
-2.688059,-4.071281,-8.024394
-3.199372,-4.131529,-8.070892
-3.21342,-3.584238,-7.992991
-2.609141,-2.652672,-7.69774
-1.917891,-1.97581,-7.376187
-1.711178,-2.103987,-7.269642
-2.097343,-2.985561,-7.458667
-2.792958,-3.887515,-7.80954
-3.324932,-4.276018,-8.050182
-3.414172,-3.809017,-8.146777
-3.124769,-2.2438,-8.200702
-2.46815,-0.245491,-8.222709
-1.472353,1.217763,-8.036329
-0.366369,2.110386,-7.115235
0.569659,2.891626,-5.266498
1.144732,3.858457,-3.061623
1.344023,4.867388,-1.226622
1.324157,5.523216,-0.140294
1.24914,5.818659,0.36274
1.180539,5.989932,0.661673
1.135948,6.101259,0.855979
1.122228,6.135513,0.915766
1.122228,6.135513,0.915766
1.122228,6.135513,0.915766
1.122228,6.135513,0.915766
1.139378,6.092695,0.841033
1.194259,5.955677,0.601886
1.259431,5.792968,0.3179
1.290301,5.715896,0.183381
1.269721,5.767277,0.27306
1.237433,5.864032,0.378222
1.29451,5.794174,-0.030404
1.480695,5.474623,-1.161534
1.725786,5.04029,-2.62042
1.922262,4.695048,-3.79639
2.010209,4.548118,-4.339535
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.010209,4.548118,-4.339535
1.925692,4.686484,-3.811337
1.739506,5.006036,-2.680206
1.497845,5.431805,-1.236267
1.29794,5.785611,-0.04535
1.220282,5.90685,0.452955
1.23199,5.861477,0.437473
1.24914,5.818659,0.36274
1.256001,5.801532,0.332847
1.259431,5.792968,0.3179
1.276581,5.75015,0.243167
1.314312,5.65595,0.078754
1.338322,5.596005,-0.025872
1.426394,5.517828,-0.367225
1.70674,5.294767,-1.554882
2.146781,4.956886,-3.592793
2.672654,4.593367,-5.957906
3.22983,4.317745,-7.890104
3.76419,4.219543,-8.873983
4.2637,4.247921,-9.192989
4.664303,4.297195,-9.324605
4.874475,4.322002,-9.394237
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.830694,4.31654,-9.379896
4.52262,4.264331,-9.277056
4.020965,4.015865,-9.18505
3.414202,3.413108,-9.243503
2.894811,2.586181,-9.484532
2.604247,1.727756,-9.797106
2.519504,0.991939,-9.948033
2.622601,0.480987,-9.829422
2.814067,0.082673,-9.577185
2.993933,-0.24487,-9.31958
3.164579,-0.218626,-9.036329
3.352992,0.422754,-8.714123
3.639726,1.522673,-8.496164
4.06057,2.791531,-8.562925
4.476555,3.818981,-8.886615
4.752472,4.254122,-9.217295
4.887571,4.321071,-9.378332
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.870713,4.305639,-9.39226
4.653018,4.248106,-9.318674
4.285853,4.187817,-9.196872
3.988121,4.152085,-9.098559
3.991882,4.168448,-9.100536
4.28378,4.22992,-9.195984
4.517794,4.25309,-9.270588
4.410613,4.20409,-9.237345
4.169274,4.154952,-9.160508
4.056259,4.131692,-9.1244
4.024543,4.088267,-9.119232
4.017733,4.038083,-9.123527
4.032297,4.014846,-9.128464
4.148558,4.078687,-9.160021
4.459417,4.227552,-9.259876
4.77858,4.322092,-9.366925
4.909723,4.33172,-9.408227
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.835981,4.271705,-9.384798
4.541496,4.120335,-9.294056
4.104121,3.966324,-9.157648
3.695503,3.897088,-9.032209
3.55109,3.955645,-8.983617
3.828136,4.114641,-9.060756
4.332387,4.246623,-9.216793
4.729973,4.305388,-9.346116
4.896365,4.324734,-9.401407
4.924835,4.327578,-9.411127
4.848823,4.302908,-9.385089
4.587347,4.239912,-9.297162
4.169625,4.167289,-9.15675
3.799444,4.116491,-9.032655
3.751091,4.138405,-9.021661
4.069902,4.220608,-9.13247
4.467489,4.279373,-9.261793
4.570162,4.286157,-9.293374
4.225632,4.108661,-9.233695
3.626619,3.5706,-9.248507
3.062335,2.764914,-9.449326
2.677491,1.923696,-9.776269
2.495089,1.316727,-10.074608
2.46321,1.019027,-10.173981
2.515809,0.754829,-10.029821
2.652438,0.389434,-9.772431
2.853082,-0.014441,-9.472735
3.089822,-0.099241,-9.142558
3.410037,0.555668,-8.903828
3.844749,1.731908,-8.845154
4.327086,3.028847,-8.982889
4.639103,3.974279,-9.194661
4.668577,4.242676,-9.28098
4.623938,4.218394,-9.276778
4.664013,4.239352,-9.297236
4.772633,4.284113,-9.347871
4.883007,4.317747,-9.394588
4.892603,4.30837,-9.39943
4.72722,4.252044,-9.340536
4.456148,4.198425,-9.247767
4.398323,4.230011,-9.236232
4.506416,4.251643,-9.272148
4.58728,4.268469,-9.299231
4.736338,4.29801,-9.349058
4.850536,4.317253,-9.386678
4.909145,4.325739,-9.405922
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.910026,4.318266,-9.406739
4.851331,4.287781,-9.388428
4.733059,4.234282,-9.350989
4.574473,4.169411,-9.301084
4.441564,4.124564,-9.259413
4.403724,4.122975,-9.247977
4.475212,4.161881,-9.270575
4.579577,4.183945,-9.314393
4.58024,4.087275,-9.365912
4.377485,3.78811,-9.431235
3.970833,3.265233,-9.536048
3.467203,2.609008,-9.691722
3.008999,1.972923,-9.878353
2.692618,1.490659,-10.052467
2.531012,1.213644,-10.174509
2.473824,1.098193,-10.236937
2.464043,1.070623,-10.256861
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.445082,1.215545,-10.008196
2.405899,1.507345,-9.506218
2.376512,1.726196,-9.129734
2.347125,1.945047,-8.75325
