roll,pitch,yaw
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0,-15.0,5.0
0.0627505060666067,-14.973601580509595,5.176302716307788
0.10413818349633175,-14.981124562340042,5.295632576093041
0.16524020104768056,-14.947644257752657,5.392908024453149
0.20147897653295388,-14.92224116664886,5.47380722534534
0.20147897653295388,-14.92224116664886,5.47380722534534
0.20147897653295388,-14.92224116664886,5.47380722534534
0.20147897653295388,-14.92224116664886,5.47380722534534
0.20147897653295388,-14.92224116664886,5.47380722534534
0.22413318843319985,-14.935633924993184,5.662769831987546
0.24259227091476987,-14.977687666600659,5.8291917422754835
0.2503634096093066,-15.059407279981656,5.982431782095716
0.2470476965883961,-15.195448184656044,6.140635745262912
0.24577158804831356,-15.385001291134515,6.307033175010233
0.23868048448626666,-15.561770048557904,6.436373409817904
0.2221729675891737,-15.747062588075522,6.528862051649469
0.1978065261879891,-15.951452217145814,6.5691408825298225
0.17278533513270133,-16.16074155781334,6.557733117153717
0.15865292279556797,-16.35077089957818,6.5031927598106165
0.135599645229334,-16.494897032984568,6.4085947497378015
0.1402138505806505,-16.62064160863345,6.304011721267173
0.1982085932627342,-16.69774282988186,6.1916812502229845
0.22409815319683446,-16.735989443101715,6.136510062086984
0.2778671681031142,-16.7956651440079,6.0431928805565605
0.31366027261668705,-16.85871793435105,5.918207456217814
0.31998311441469696,-16.92631660580254,5.768879614127087
0.2741386137157775,-16.990422703954096,5.591100113424687
0.1759538970895136,-17.027975120307914,5.419631967432963
0.10892273453784185,-17.00098474756132,5.2324411637219015
0.06404363627709131,-16.942082866781973,5.060249401979533
0.042516661580904724,-16.853960310384792,4.908196088532932
0.04392089395523158,-16.745771032627488,4.782150498564448
0.07154731130427194,-16.62444891045965,4.686351638556374
0.11780334718892504,-16.577626339925686,4.553759544435252
0.16519949850305693,-16.544927364261213,4.417382896530313
0.23487780033391914,-16.55561242820596,4.291665105572875
0.3286820081441988,-16.540271402101965,4.185466781013076
0.45002931461141316,-16.497714620644715,4.108098349764759
0.5782383003699465,-16.43956649243769,4.058448333787439
0.7247912609548735,-16.36190375025201,4.0733314505817475
0.8477400741275432,-16.272251956334713,4.112444837916414
0.9827832082329735,-16.21766843545771,4.158983925252073
1.1013685618456037,-16.168466176823415,4.237360913676156
1.190929185179641,-16.089529814002077,4.322744775107168
1.2491122655521991,-16.005323143334635,4.421250714244422
1.3402917401046466,-15.933777388649233,4.4944807056624825
1.4057514667200621,-15.866529890823813,4.587585018845246
1.5219182811455312,-15.81351013724884,4.631528591221965
1.606521632843041,-15.749746139988261,4.7028286304885825
1.6494901247452987,-15.69849291401276,4.817998368766112
1.7259641433577144,-15.636294999032216,4.9061806742847125
1.8097343125405985,-15.544035367041644,4.963859281374425
1.9130596129306099,-15.478609299486692,5.035905072106601
2.0139170547997765,-15.435691535091678,5.1337611358037805
2.0693021497495323,-15.380036998402602,5.2416274894025605
2.0695805337061657,-15.35633461674081,5.316876683054339
2.095977477315749,-15.303053218902427,5.374711703095514
2.074558132453639,-15.268751642084517,5.453311175442153
1.9978609286903293,-15.281414479139244,5.506607615899455
1.9529896399973623,-15.256164203648588,5.573549489858038
1.9206327313414562,-15.25241338613018,5.636702058683056
1.9137384633442522,-15.253994880212183,5.724787030891072
1.8784159786863341,-15.236172549014633,5.7839556443744655
1.944411009008924,-15.245097024165233,5.9052942852856205
