CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;IN01_01;IN02_01;IN03;IN04_01;QU01;QU02;QU03;QU04;QU05;QU06;QU07;QU08;RA01_01;RA01_02;RA01_03;RA01_04;RA01_05;RA01_06;RA01_07;RA01_08;RA01_09;RA01_10;RA01_11;RA01_12;RA01_13;RA01_14;RA01_15;RA01_16;RA01_17;RA01_18;RA01_21;RA01_22;RA01_23;RA02_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME_SUM;MAILSENT;LASTDATA;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;ComprehensionSum;QuestionnaireVar;condition
277; ; ;NM;interview;2/24/2015;777;30;2;xw5c;1;1;1;1;1;1;1;1;2;1;2;2;2;3;3;4;4;4;3;3;5;3;3;1;1;2;3;1;7;The tts sometimes produces sounds hard to understand, in particular at the beginning of the spoken sentences<br>The background is too dark, hair are not visible<br>The lack of precision in the spoken lines (i.e. hard to interpret) deviates the attention from looking her face, so I can't say that I have payed attention to her facial expressions and nonverbal behaviors<br>In general I would appreciate some gestures, half body visible then<br>She could ask the user to check if the message was understood, otherwise repeat it may be slowly;566;56; ;11;30;8;9;11;10;6;225;269; ;2/24/2015;1;11;11;0;0;0;5;5;8;1,34558823529412;1
278; ; ;Her;interview;2/24/2015;29881713;37;2;xw5c;1;1;1;0;1;1;1;1;3;3;5;4;4;4;3;5;5;2;5;5;5;5;5;4;2;4;7;1;7;sometimes its hard to understand what she say;54;26;49;6;68;53;49;25; ;36;139;216; ;2/24/2015;1;11;11;0;0;0;2;2;7;1,11029411764706;3
280; ; ;Her;interview;2/24/2015;17950689;34;1;xw5c;1;1;1;1;1;1;1;1;5;4;5;5;4;5;5;5;5;5;5;5;5;4;3;4;4;5;7;1;7; ;106;81; ;6;26;16;97;6;11;6;35;307; ;2/24/2015;1;11;11;3;2;33;4;37;8;,382352941176471;3
281; ; ;BL;interview;2/24/2015;31127245;39;2;xw5c;1;1;1;1;1;1;1;1;3;5;3;2;2;2;2;4;4;5;4;4;5;3;4;1;1;5;7;1;6; ;92;48;27;9;28;13;36;7; ;10;67;315; ;2/24/2015;1;11;11;3;2;33;0;33;8;1,97058823529412;2
282; ; ;BL;interview;2/24/2015;3588528;28;1;xw5c;1;1;1;1;1;1;1;1;4;4;4;3;4;5;4;5;5;5;5;4;6;5;3;1;4;2;7;1;7;Too inpersonal;54;14; ;5;21;17;12;6;12;4;67;212; ;2/24/2015;1;11;11;0;0;0;11;11;8;1,55882352941176;2
283; ; ;Yu;interview;2/24/2015;20404755;42;2;xw5c;1;1;1;1;1;1;1;1;4;4;5;5;4;4;4;4;5;4;4;5;5;6;5;1;4;6;6;2;6;The tone and cadence she used in her voice seemed more robotic than human.;98;26;12;6; ;11;14;10;13;9;117;316; ;2/24/2015;1;11;11;0;0;0;1;1;8;1,25735294117647;4
285; ; ;Yu;interview;2/24/2015;24036434;57;2;xw5c;1;1;1;1;1;1;0;1;5;5;5;5;5;6;6;5;6;6;6;6;6;6;6;7;5;6;7;2;5; ;93;98;12;8;13;7;13;7; ;10;43;231; ;2/24/2015;1;11;11;3;2;33;9;41;7;,345588235294118;4
286; ; ;Her;interview;2/24/2015;14528761;40;2;xw5c;1;1;1;1;1;1;1;1;6;4;5;5;5;6;4;6;7;7;6;7;7;6;5;4;2;4;7;2;7; ;68;13; ;9;15;6;11;5;9;4;33;173; ;2/24/2015;1;11;11;3;2;33;21;54;8;1,97058823529412;3
287; ; ;NM;interview;2/24/2015;31166078;21;2;xw5c;1;1;0;1;1;1;1;1;4;4;4;4;4;4;3;4;4;4;6;5;6;4;4;4;2;2;7;1;7; ;90;70;49;6;82;8;78;10; ;8;63;306; ;2/24/2015;1;11;11;3;2;33;1;34;7;1,125;1
292; ; ;Yu;interview;2/24/2015;29686407;51;1;xw5c;1;1;1;1;1;1;1;1;4;1;2;2;2;5;1;6;5;7;6;5;7;4;5;2;1;1;6;1;7;I found her very robotic.  Some of her words slipped in to each other.;82;136;18;8; ;12;13;5;11;7;67;248; ;2/24/2015;1;11;11;0;0;0;3;3;8;4,99264705882353;4
293; ; ;Her;interview;2/24/2015;25212093;32;2;xw5c;0;0;1;1;1;1;1;1;4;2;4;5;4;4;5;6;4;5;5;3;6;3;4;2;4;3;5;1;6;Her speech did not sound natural and was sometimes difficult to understand.;61;17; ;17;21;13;13;7;14;9;98;259; ;2/24/2015;1;11;11;0;0;0;4;4;6;1,43382352941176;3
295; ; ;Her;interview;2/24/2015;20416470;32;2;xw5c;1;1;1;1;1;1;1;1;5;3;5;3;3;5;5;4;5;5;5;4;6;4;2;3;2;2;5;1;7; ;57;43;14;7;26;12; ;7;25;5;69;265; ;2/24/2015;1;11;11;3;2;33;3;36;8;1,61029411764706;3
296; ; ;Yu;interview;2/24/2015;19378092;52;1;xw5c;1;1;1;1;1;1;1;1;6;4;6;4;4;4;4;4;4;5;5;5;4;4;4;6;4;4;6;1;7;sounds almost like there is a slight stutter;48;25;15;7;21;15;17;7; ;11;61;227; ;2/24/2015;1;11;11;0;0;0;3;3;8;,507352941176471;4
299; ; ;BL;interview;2/24/2015;21875134;49;2;xw5c;1;1;1;1;1;1;1;1;5;3;5;5;5;4;5;6;5;6;6;5;5;6;5;3;4;5;6;1;6;"I'm not sure the added comments at the end of some videos (eg. ""Are you looking forward to it?"") help with remembering the details of the appointment, they just distract you after you've been told important information. I guess it makes her seem more friendly and human, but we know she doesn't really care either way, so why not just keep her on topic.<br><br>On the survey itself, the screen has a tiny play button and a massive NEXT button on one occasion I clicked Next instead of play and couldn't go back to watch the video so had to restart the survey from the biginning. A big play button and a next button which doesn't work until you've watched the video would be a good idea for the future.";29;34;12;8;27;9; ;15;18;9;395;209; ;2/24/2015;1;11;11;0;0;0;9;9;8;,860294117647059;2
301; ; ;BL;interview;2/24/2015;mcz1231;56;1;xw5c;1;1;0;1;1;1;1;1;4;1;3;4;5;5;2;6;7;6;7;5;6;4;2;4;2;1;7;1;7;no;409;274;13;5; ;10;13;6;410;6;46;208; ;2/24/2015;1;11;11;0;0;0;4;4;7;3,98529411764706;2
