CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;IN01_01;IN02_01;IN03;IN04_01;RD01;RD02;RD03;RD04;RS01;RS02;RS03;RS04;RG01;RG02;RG03;RG04;RH01;RH02;RH03;RH04;FB01_01;FB01_02;FB01_03;FB01_04;FB01_05;FB01_06;FB01_07;FB01_08;FB01_08a;FB01_09;FB01_09a;FB02_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME_SUM;MAILSENT;LASTDATA;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
1075; ; ;Ranking_all;interview;2/27/2015;HerwinTest;2;2;xw5c;4;2;1;3;4;3;1;4;4;3;1;2;4;3;1;2;1;1;1;2;1;1;1;1; ;1; ; ;10;17;40;52; ;32;51;14;216; ;2/27/2015;1;8;8;3;1;29;48;78
1077; ; ;Ranking_all;interview;2/28/2015;29331451;51;2;xw5c;4;1;2;3;4;3;1;2;4;3;1;2;4;1;3;2;2;1;2;2;2;2;2;1; ;1; ; ;235;17;57;25;26; ;38;22;222; ;2/28/2015;1;8;8;3;1;29;34;63
1078; ; ;Ranking_all;interview;2/28/2015;31256687;28;2;xw5c;3;3;3;3;2;2;2;2;3;3;3;4;3;3;3;3;1;1;1;1;1;2;1;1; ;1; ; ;17;18;41;27;22; ;28;11;164; ;2/28/2015;1;8;8;3;1;29;60;90
1079; ; ;Ranking_all;interview;2/28/2015;11382239;36;2;xw5c;3;4;1;2;2;3;1;4;3;2;1;4;3;1;2;4;2;2;1;2;1;2;2;1; ;1; ; ;45;37;92;72; ;131;94;20;415; ;2/28/2015;1;8;8;3;1;29;3;32
1080; ; ;Ranking_all;interview;2/28/2015;11039750;35;2;xw5c;2;4;3;1;3;4;2;1;1;4;3;2;4;3;2;1;1;1;2;1;1;1;1;1; ;1; ; ;38;60;95;36; ;47;59;27;362; ;2/28/2015;1;8;8;3;1;29;6;35
1081; ; ;Ranking_all;interview;2/28/2015;sinclair;22;2;xw5c;2;4;1;3;2;1;3;4;2;3;1;3;2;1;3;4;1;1;1;2;1;1;1;1; ;1; ;dunno;29;27;41;31;32; ;39;18;217; ;2/28/2015;1;8;8;0;0;0;30;30
1082; ; ;Ranking_all;interview;2/28/2015;20483681;51;2;xw5c;4;3;1;2;4;3;2;1;4;2;1;3;4;2;1;3;1;1;1;2;1;1;1;1; ;1; ;some were quite eratic;38;21;52;31;42; ;43;28;255; ;2/28/2015;1;8;8;0;0;0;20;20
1085; ; ;Ranking_all;interview;2/28/2015;6011732;39;1;xw5c;4;1;2;3;4;1;2;3;4;2;1;3;4;3;1;2;2;2;2;1;2;2;2;1; ;1; ; ;37;48;157;78;114;79; ;37;550; ;2/28/2015;1;8;8;3;1;29;0;29
1086; ; ;Ranking_all;interview;2/28/2015;31479657;22;2;xw5c;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;2;1;1;1;1; ;1; ; ;14;35;397; ;10;9;11;11;174; ;2/28/2015;1;8;8;3;1;29;126;155
1087; ; ;Ranking_all;interview;2/28/2015;26945888;31;1;xw5c;3;4;1;2;3;1;2;4;4;1;3;2;4;1;2;3;2;2;1;2;1;2;1;1; ;1; ; ;33;25;98;45;46;48; ;14;309; ;2/28/2015;1;8;8;3;1;29;15;44
1088; ; ;Ranking_all;interview;2/28/2015;21678835;33;2;xw5c;2;4;1;3;2;1;4;3;2;4;3;1;3;1;2;4;2;1;2;2;1;1;1;1; ;1; ;speech seemed better when their was head movement.;44;55;112;87;87; ;91;47;523; ;2/28/2015;1;8;8;0;0;0;0;0
1089; ; ;Ranking_all;interview;2/28/2015;11178231;56;1;xw5c;4;2;1;3;4;1;2;3;4;2;1;3;4;3;1;2;2;2;2;2;1;2;1;1; ;1; ; ;27;28;106;51;56; ;227;39;370; ;2/28/2015;1;8;8;3;1;29;5;34
1090; ; ;Ranking_all;interview;2/28/2015;11460728;44;1;xw5c;4;2;3;1;4;2;3;1;4;1;3;2;4;1;3;2;2;2;2;2;1;2;1;1; ;1; ;While some were more 'natural' than others, none of them were exactly like a human being.;59;80;89; ;83;60;91;54;516; ;2/28/2015;1;8;8;0;0;0;0;0
1091; ; ;Ranking_all;interview;2/28/2015;15820413;51;1;xw5c;4;1;3;2;4;2;1;3;4;3;1;2;4;1;3;2;2;2;2;1;2;1;2;1; ;1; ; ;73;34;129;365;330;48; ;44;438; ;2/28/2015;1;8;8;3;1;29;1;30
1092; ; ;Ranking_all;interview;2/28/2015;20306700;32;1;xw5c;2;1;1;2;1;1;2;1;2;4;3;1;1;3;3;2;2;2;2;1;1;1;2;1; ;1; ; ;22;42;68;62;43; ;52;30;319; ;2/28/2015;1;8;8;3;1;29;10;39
1094; ; ;Ranking_all;interview;2/28/2015;31282868;33;1;xw5c;4;3;1;2;4;2;1;3;4;1;2;3;4;3;1;2;2;2;1;2;2;2;1;1; ;1; ;None of them really seemed completely in sync to the content of the speech.;18;26;94;53; ;69;98;49;407; ;2/28/2015;1;8;8;0;0;0;10;10
1096; ; ;Ranking_all;interview;2/28/2015;11001780;30;1;xw5c;4;2;3;1;4;3;1;2;4;1;3;2;4;1;3;2;2;2;2;1;1;1;1;1; ;1; ;No, this is quite good so far.;50;38;160;84;100; ;103;63;598; ;2/28/2015;1;8;8;0;0;0;0;0
1098; ; ;Ranking_all;interview;2/28/2015;18208698;56;1;xw5c;3;3;4;1;2;3;4;4;1;1;1;1;4;3;1;1;2;2;2;1;1;1;1;1; ;1; ;none;45;29;85;61;58; ;72;29;379; ;2/28/2015;1;8;8;0;0;0;1;1
1099; ; ;Ranking_all;interview;2/28/2015;23982569;43;1;xw5c;4;3;1;2;4;3;1;2;4;2;1;3;4;2;3;1;1;2;2;1;1;2;1;1; ;1; ;The lip sync is just enough off for it to be hard to watch as it's very distracting.;27;26;170;46;48;92; ;66;475; ;2/28/2015;1;8;8;0;0;0;7;7
1100; ; ;Ranking_all;interview;2/28/2015;15366051;52;1;xw5c;4;3;2;1;4;2;1;3;4;3;2;1;4;3;2;1;2;1;1;2;1;1;2;1; ;1; ;Cannot think of anything in particular other than a tone that would sound a little more lively.;45;40;105;65; ;63;73;204;419; ;2/28/2015;1;8;8;0;0;0;0;0
