frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.933743e-01,1.300813e+02,1.232048e-08,1.239377e-01,3.485149e-02,-6.982484e+00
1,0.008313,6.544486e-01,2.518595e+02,4.753879e-08,2.937799e-01,6.041111e-02,-5.967401e+00
2,0.016625,7.510999e-01,3.641527e+02,6.003348e-08,4.182408e-01,9.095379e-02,-4.857735e+00
3,0.024938,8.734774e-01,3.451825e+02,1.208829e-07,5.058053e-01,1.097983e-01,-4.424500e+00
4,0.033250,9.254153e-01,3.356974e+02,1.097412e-07,4.874913e-01,1.173923e-01,-4.285246e+00
5,0.041563,9.424981e-01,3.381129e+02,5.868187e-07,7.371068e-01,1.204589e-01,-4.233076e+00
6,0.049875,9.460556e-01,3.455788e+02,7.247234e-06,1.346880e+00,1.176131e-01,-4.283010e+00
7,0.058188,9.454150e-01,3.559072e+02,7.309465e-06,1.417596e+00,1.039015e-01,-4.560393e+00
8,0.066500,9.514325e-01,3.652296e+02,8.656441e-06,1.599700e+00,8.213607e-02,-5.069793e+00
9,0.074813,9.599140e-01,3.721602e+02,2.347741e-06,1.136931e+00,6.035558e-02,-5.672848e+00
10,0.083125,9.639711e-01,3.765227e+02,2.309479e-06,1.101114e+00,4.574997e-02,-6.204654e+00
11,0.091438,9.486232e-01,3.794758e+02,6.748965e-07,8.317464e-01,3.666350e-02,-6.639153e+00
12,0.099750,9.098675e-01,3.794758e+02,5.051910e-07,7.808989e-01,2.957434e-02,-7.073506e+00
13,0.108063,8.470814e-01,3.765227e+02,5.022702e-07,7.774239e-01,2.308341e-02,-7.594656e+00
14,0.116375,7.739074e-01,3.671096e+02,3.015631e-07,5.531271e-01,1.676140e-02,-8.274514e+00
15,0.124688,6.575837e-01,3.494452e+02,5.946704e-08,3.716621e-01,1.126667e-02,-9.104146e+00
16,0.133000,4.839127e-01,2.254142e+02,3.872337e-08,3.408094e-01,7.428420e-03,-9.908706e+00
