frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,6.128294e-01,6.751054e+01,6.728700e-11,5.233219e-02,2.844622e-02,-7.147883e+00
1,0.008313,6.996465e-01,1.368214e+02,2.126859e-10,7.126851e-02,3.341537e-02,-6.835546e+00
2,0.016625,8.039603e-01,2.057103e+02,2.494087e-10,8.005389e-02,3.945632e-02,-6.471482e+00
3,0.024938,8.623543e-01,2.057211e+02,4.441759e-08,2.383717e-01,4.251900e-02,-6.317832e+00
4,0.033250,8.874559e-01,2.047863e+02,2.038223e-07,4.722647e-01,4.413076e-02,-6.241489e+00
5,0.041563,8.820081e-01,2.056410e+02,2.189982e-07,5.811306e-01,4.361087e-02,-6.266079e+00
6,0.049875,8.500199e-01,2.092308e+02,3.617843e-07,6.795554e-01,4.051894e-02,-6.421382e+00
7,0.058188,8.304862e-01,2.097436e+02,4.046457e-07,6.993277e-01,3.619477e-02,-6.649981e+00
8,0.066500,8.425452e-01,2.093694e+02,4.560997e-07,7.729586e-01,3.194709e-02,-6.894463e+00
9,0.074813,8.813707e-01,2.076276e+02,6.004148e-07,8.254206e-01,2.964646e-02,-7.039228e+00
10,0.083125,9.066047e-01,2.058273e+02,5.526720e-07,8.031690e-01,2.750074e-02,-7.190465e+00
11,0.091438,9.102991e-01,2.023418e+02,8.037338e-07,9.260581e-01,2.601731e-02,-7.302515e+00
12,0.099750,9.031751e-01,1.968469e+02,6.187654e-07,8.537256e-01,2.370884e-02,-7.488422e+00
13,0.108063,8.925438e-01,1.956924e+02,5.842822e-07,8.344309e-01,2.197135e-02,-7.642372e+00
14,0.116375,8.799171e-01,1.957427e+02,3.922005e-07,7.546091e-01,2.005140e-02,-7.822600e+00
15,0.124688,8.620514e-01,1.902808e+02,4.841305e-07,7.956128e-01,1.859150e-02,-7.974199e+00
16,0.133000,8.323669e-01,1.766545e+02,4.098714e-07,7.340860e-01,1.848970e-02,-7.984425e+00
17,0.141313,8.028455e-01,1.650352e+02,3.101363e-07,6.402532e-01,2.157188e-02,-7.714861e+00
18,0.149625,7.704742e-01,1.636652e+02,7.317234e-08,4.022032e-01,2.887352e-02,-7.166281e+00
19,0.157938,7.763007e-01,1.739143e+02,9.329904e-08,4.233868e-01,3.916379e-02,-6.539027e+00
20,0.166250,8.069275e-01,1.879755e+02,1.103209e-07,4.487186e-01,5.081526e-02,-5.996257e+00
21,0.174563,8.511838e-01,2.006765e+02,2.020968e-07,6.127164e-01,6.145051e-02,-5.598176e+00
22,0.182875,8.677672e-01,2.102049e+02,3.227574e-07,6.877390e-01,6.975568e-02,-5.331388e+00
23,0.191188,8.717825e-01,2.164537e+02,2.999301e-07,6.510598e-01,7.447352e-02,-5.195806e+00
24,0.199500,8.876023e-01,2.240211e+02,2.767067e-06,1.038181e+00,7.698200e-02,-5.128611e+00
25,0.207813,9.095240e-01,2.309525e+02,2.836308e-06,1.065983e+00,7.737700e-02,-5.118235e+00
26,0.216125,9.211108e-01,2.359296e+02,2.927985e-06,1.162591e+00,7.497752e-02,-5.183748e+00
27,0.224438,9.117705e-01,2.388237e+02,4.386823e-07,7.576575e-01,6.962660e-02,-5.336290e+00
28,0.232750,8.533540e-01,2.406151e+02,2.248576e-07,6.289508e-01,6.313132e-02,-5.531596e+00
29,0.241063,6.621909e-01,2.418212e+02,4.982098e-07,7.368683e-01,5.795239e-02,-5.699696e+00
