frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.968611e-01,0,4.357320e-09,9.073628e-02,1.703644e-01,-3.568027e+00
1,0.008345,6.962161e-01,6.394203e+01,1.017759e-08,1.897050e-01,2.025368e-01,-3.235783e+00
2,0.016689,8.170236e-01,1.278841e+02,5.592693e-08,3.734141e-01,2.494892e-01,-2.793024e+00
3,0.025034,8.827033e-01,1.902407e+02,8.319878e-08,4.471307e-01,2.869436e-01,-2.509824e+00
4,0.033379,9.095644e-01,1.875807e+02,6.555183e-06,1.159952e+00,3.167016e-01,-2.303353e+00
5,0.041723,9.169369e-01,1.856933e+02,8.545133e-06,1.549869e+00,3.371853e-01,-2.175330e+00
6,0.050068,9.211194e-01,1.856530e+02,8.801831e-06,1.704556e+00,3.446226e-01,-2.131019e+00
7,0.058413,9.230135e-01,1.869536e+02,2.582168e-05,2.087641e+00,3.521049e-01,-2.087806e+00
8,0.066757,9.212551e-01,1.877481e+02,2.537448e-05,2.046505e+00,3.467857e-01,-2.118761e+00
9,0.075102,9.156850e-01,1.882807e+02,4.188839e-05,2.807866e+00,3.358653e-01,-2.184882e+00
10,0.083447,9.041114e-01,1.885470e+02,2.311992e-05,2.351662e+00,3.125526e-01,-2.329951e+00
11,0.091791,8.815802e-01,1.885470e+02,4.234041e-05,2.971273e+00,2.829464e-01,-2.534787e+00
12,0.100136,8.579662e-01,1.882807e+02,2.687264e-05,2.396139e+00,2.466638e-01,-2.818316e+00
13,0.108481,8.477423e-01,1.867265e+02,2.485435e-05,2.282567e+00,1.971741e-01,-3.302172e+00
14,0.116825,8.558215e-01,1.836647e+02,1.083176e-05,1.953670e+00,1.502996e-01,-3.864014e+00
15,0.125170,8.711800e-01,1.794564e+02,9.587401e-06,1.673438e+00,1.035930e-01,-4.628483e+00
16,0.133515,8.866675e-01,1.772713e+02,6.879583e-06,1.130063e+00,7.760940e-02,-5.175602e+00
17,0.141859,8.989697e-01,1.780064e+02,1.321637e-07,4.819528e-01,6.432867e-02,-5.488699e+00
18,0.150204,9.083039e-01,1.799052e+02,3.313066e-07,5.762629e-01,7.654350e-02,-5.191517e+00
19,0.158549,9.058743e-01,1.796561e+02,5.028334e-07,7.690944e-01,1.024092e-01,-4.646094e+00
20,0.166893,8.957891e-01,1.768079e+02,6.949297e-07,8.926372e-01,1.387549e-01,-3.998790e+00
21,0.175238,8.846590e-01,1.744349e+02,5.640501e-07,8.398268e-01,1.727017e-01,-3.536832e+00
22,0.183583,8.826957e-01,1.732485e+02,8.153074e-07,9.240243e-01,2.005118e-01,-3.223184e+00
23,0.191927,8.865359e-01,1.730223e+02,5.996926e-07,7.580647e-01,2.204066e-01,-3.028035e+00
24,0.200272,8.895610e-01,1.725699e+02,6.556554e-06,1.289311e+00,2.280376e-01,-2.957038e+00
25,0.208617,8.813125e-01,1.721211e+02,7.251356e-06,1.410135e+00,2.256604e-01,-2.978775e+00
26,0.216961,8.670009e-01,1.714565e+02,1.436101e-05,2.112778e+00,2.114898e-01,-3.111690e+00
27,0.225306,8.546284e-01,1.703568e+02,1.736546e-05,2.214412e+00,1.920724e-01,-3.309776e+00
28,0.233651,8.497120e-01,1.688418e+02,3.507277e-05,2.852873e+00,1.701477e-01,-3.552988e+00
29,0.241995,8.514023e-01,1.671404e+02,2.893407e-05,2.479119e+00,1.491227e-01,-3.817352e+00
30,0.250340,8.472429e-01,1.660835e+02,2.013499e-05,1.909065e+00,1.354553e-01,-4.003417e+00
31,0.258685,8.433515e-01,1.660803e+02,5.196789e-06,1.487642e+00,1.251852e-01,-4.157386e+00
32,0.267029,8.546565e-01,1.669181e+02,4.298041e-06,1.249367e+00,1.196438e-01,-4.248904e+00
33,0.275374,8.779469e-01,1.684169e+02,4.118834e-06,1.177624e+00,1.150235e-01,-4.325716e+00
34,0.283719,9.018946e-01,1.699351e+02,7.131577e-07,8.538249e-01,1.111566e-01,-4.394346e+00
35,0.292063,9.084494e-01,1.707987e+02,7.446834e-07,8.753805e-01,1.096602e-01,-4.421376e+00
36,0.300408,9.078612e-01,1.703568e+02,2.579356e-06,1.186194e+00,1.066319e-01,-4.476995e+00
37,0.308753,9.021657e-01,1.690513e+02,2.210123e-06,1.055517e+00,1.041513e-01,-4.525056e+00
38,0.317098,8.945260e-01,1.679750e+02,2.978110e-06,1.257786e+00,1.028620e-01,-4.549260e+00
39,0.325442,8.823059e-01,1.671244e+02,2.989033e-06,1.258727e+00,1.023830e-01,-4.558497e+00
40,0.333787,8.537534e-01,1.656858e+02,3.089416e-06,1.308931e+00,1.046953e-01,-4.513588e+00
41,0.342132,8.378013e-01,1.634582e+02,4.220123e-06,1.433933e+00,1.058715e-01,-4.491475e+00
42,0.350476,8.358977e-01,1.610539e+02,2.256296e-06,1.014244e+00,1.087661e-01,-4.437502e+00
43,0.358821,8.592200e-01,1.592856e+02,2.225394e-06,1.000962e+00,1.115157e-01,-4.387762e+00
44,0.367166,8.747979e-01,1.581437e+02,1.506133e-06,9.301031e-01,1.124558e-01,-4.370601e+00
45,0.375510,8.794055e-01,1.572016e+02,3.913293e-06,1.385261e+00,1.120446e-01,-4.378007e+00
46,0.383855,8.822169e-01,1.564565e+02,4.046771e-06,1.434800e+00,1.091006e-01,-4.431408e+00
47,0.392200,8.816853e-01,1.557220e+02,2.865065e-06,1.176980e+00,1.052160e-01,-4.505374e+00
48,0.400544,8.829820e-01,1.549926e+02,6.167194e-07,8.500225e-01,1.004045e-01,-4.598763e+00
49,0.408889,8.820736e-01,1.540922e+02,6.170459e-07,8.501237e-01,9.666470e-02,-4.673419e+00
50,0.417234,8.822814e-01,1.530282e+02,4.083425e-06,1.286360e+00,9.415787e-02,-4.725914e+00
51,0.425578,8.829560e-01,1.516312e+02,3.912448e-06,1.128179e+00,9.076452e-02,-4.800649e+00
52,0.433923,8.798692e-01,1.502487e+02,4.498916e-06,1.249210e+00,8.719011e-02,-4.880780e+00
53,0.442268,8.794234e-01,1.504440e+02,1.241466e-06,9.006078e-01,8.372534e-02,-4.960896e+00
54,0.450612,8.774853e-01,1.516674e+02,4.860929e-06,1.463148e+00,8.049638e-02,-5.040747e+00
55,0.458957,8.787192e-01,1.526954e+02,3.963331e-06,1.118071e+00,7.576877e-02,-5.164103e+00
56,0.467302,8.773558e-01,1.521597e+02,4.581807e-06,1.242567e+00,6.981330e-02,-5.329304e+00
57,0.475646,8.721609e-01,1.507650e+02,1.137440e-06,8.400804e-01,6.327932e-02,-5.527780e+00
58,0.483991,8.563806e-01,1.500750e+02,3.663605e-06,1.347938e+00,5.575716e-02,-5.788239e+00
