frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,3.118250e-01,0,9.208615e-13,7.165944e-03,3.486291e-02,-7.499210e+00
1,0.008313,4.975907e-01,0,6.906502e-12,1.973053e-02,8.750803e-02,-5.774399e+00
2,0.016625,7.091849e-01,9.356724e+01,9.882450e-11,4.824303e-02,1.625347e-01,-3.828541e+00
3,0.024938,8.330822e-01,1.871345e+02,3.376517e-09,1.243919e-01,2.249241e-01,-3.018118e+00
4,0.033250,8.627325e-01,2.833008e+02,5.112392e-09,1.807432e-01,2.587929e-01,-2.706893e+00
5,0.041563,8.744262e-01,2.924496e+02,2.372058e-07,4.512956e-01,2.706523e-01,-2.613988e+00
6,0.049875,8.845539e-01,3.055490e+02,1.356727e-06,8.478312e-01,2.695785e-01,-2.622109e+00
7,0.058188,8.940181e-01,3.171378e+02,1.982581e-05,1.890547e+00,2.508408e-01,-2.776201e+00
8,0.066500,8.832545e-01,3.243991e+02,2.608706e-05,2.403859e+00,2.057751e-01,-3.230756e+00
9,0.074813,8.603595e-01,3.300255e+02,2.658548e-05,2.459765e+00,1.414995e-01,-4.112669e+00
10,0.083125,8.174977e-01,3.357456e+02,1.127087e-05,2.002416e+00,8.277731e-02,-5.237309e+00
11,0.091438,7.197957e-01,3.392435e+02,4.991986e-06,1.482100e+00,4.631370e-02,-6.280655e+00
12,0.099750,5.303571e-01,3.404255e+02,3.775536e-06,1.299670e+00,3.085070e-02,-7.004941e+00
13,0.108063,3.568614e-01,2.269503e+02,8.005802e-07,9.230443e-01,2.397942e-02,-7.487638e+00
14,0.116375,2.374513e-01,1.134752e+02,6.336970e-07,8.169682e-01,2.024612e-02,-7.814221e+00
15,0.124688,2.232543e-01,0,2.566376e-07,6.216939e-01,1.818622e-02,-8.016392e+00
16,0.133000,2.221402e-01,0,3.767600e-07,6.674463e-01,1.697128e-02,-8.155154e+00
17,0.141313,2.456216e-01,0,4.437746e-07,7.234876e-01,1.585512e-02,-8.294800e+00
18,0.149625,2.682332e-01,0,4.217278e-07,6.635907e-01,1.473899e-02,-8.436891e+00
19,0.157938,2.545137e-01,0,1.590610e-07,5.149210e-01,1.362099e-02,-8.596515e+00
20,0.166250,2.211840e-01,0,4.604250e-08,3.408456e-01,1.295200e-02,-8.696804e+00
21,0.174563,1.962311e-01,0,4.134836e-08,3.004762e-01,1.195337e-02,-8.856102e+00
22,0.182875,2.113922e-01,0,5.435938e-09,2.052485e-01,1.126164e-02,-8.978225e+00
23,0.191188,2.366098e-01,0,6.165563e-09,2.130885e-01,1.029240e-02,-9.156983e+00
24,0.199500,2.372272e-01,0,9.562708e-08,3.806782e-01,9.162365e-03,-9.399955e+00
25,0.207813,2.256069e-01,0,9.453407e-08,3.697348e-01,7.910667e-03,-9.701427e+00
26,0.216125,2.008001e-01,0,1.032178e-07,4.139829e-01,6.568562e-03,-1.007132e+01
27,0.224438,2.008330e-01,0,1.957464e-08,2.922429e-01,6.211423e-03,-1.017107e+01
28,0.232750,1.854046e-01,0,2.255068e-08,3.164290e-01,9.981812e-03,-9.503415e+00
29,0.241063,2.020297e-01,0,1.162954e-08,2.296828e-01,1.971703e-02,-8.267995e+00
30,0.249375,2.879061e-01,0,5.028702e-09,1.612652e-01,3.395197e-02,-6.930681e+00
