frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.694788e-01,6.808642e+01,4.387417e-10,4.556987e-02,3.384091e-02,-7.432556e+00
1,0.008345,6.111467e-01,1.388963e+02,5.561371e-10,7.625376e-02,7.159063e-02,-5.960695e+00
2,0.016689,6.888022e-01,2.100243e+02,5.658611e-10,9.078723e-02,1.317529e-01,-4.206002e+00
3,0.025034,7.840488e-01,2.113152e+02,1.008728e-09,1.013994e-01,1.896249e-01,-3.397906e+00
4,0.033379,8.604019e-01,2.080580e+02,1.405407e-08,1.971365e-01,2.439718e-01,-2.848052e+00
5,0.041723,9.038220e-01,2.022943e+02,1.093741e-06,6.568511e-01,2.874018e-01,-2.506187e+00
6,0.050068,9.192500e-01,1.985718e+02,1.181865e-05,1.545043e+00,3.181656e-01,-2.294658e+00
7,0.058413,9.206074e-01,1.969695e+02,1.900584e-05,2.256578e+00,3.365125e-01,-2.178905e+00
8,0.066757,9.192829e-01,1.978515e+02,1.989271e-05,2.350041e+00,3.415501e-01,-2.148583e+00
9,0.075102,9.169022e-01,1.984430e+02,3.654250e-05,2.656572e+00,3.376021e-01,-2.172259e+00
10,0.083447,9.143589e-01,1.987387e+02,4.162494e-05,2.802183e+00,3.267659e-01,-2.238174e+00
11,0.091791,9.147084e-01,1.990399e+02,4.163257e-05,2.802843e+00,3.149693e-01,-2.311476e+00
12,0.100136,9.173164e-01,1.996421e+02,4.162532e-05,2.802744e+00,3.072338e-01,-2.360456e+00
13,0.108481,9.226504e-01,2.008633e+02,3.145170e-05,2.398937e+00,3.026364e-01,-2.390518e+00
14,0.116825,9.263908e-01,2.024024e+02,4.033481e-05,2.778399e+00,2.996613e-01,-2.410352e+00
15,0.125170,9.280090e-01,2.039585e+02,3.206588e-05,2.650442e+00,2.955035e-01,-2.438245e+00
16,0.133515,9.296926e-01,2.055379e+02,3.017448e-05,2.364054e+00,2.926528e-01,-2.457590e+00
17,0.141859,9.284690e-01,2.071529e+02,1.943650e-05,1.661145e+00,2.847180e-01,-2.513569e+00
18,0.150204,9.221632e-01,2.091167e+02,1.350037e-05,1.542506e+00,2.689537e-01,-2.631395e+00
19,0.158549,9.024361e-01,2.107750e+02,2.802188e-05,2.287995e+00,2.460069e-01,-2.811726e+00
20,0.166893,8.752150e-01,2.117787e+02,2.819272e-05,2.362817e+00,2.163209e-01,-3.076435e+00
21,0.175238,8.539209e-01,2.121154e+02,1.613003e-05,1.835590e+00,1.816499e-01,-3.445563e+00
22,0.183583,8.272585e-01,2.121154e+02,1.260603e-05,1.753830e+00,1.365477e-01,-4.074187e+00
23,0.191927,8.053994e-01,2.117787e+02,1.747113e-05,2.192121e+00,9.026867e-02,-5.025357e+00
24,0.200272,8.009408e-01,2.114420e+02,1.641173e-05,1.893139e+00,5.006255e-02,-6.325452e+00
25,0.208617,8.375916e-01,2.114420e+02,5.385906e-06,1.217405e+00,2.416715e-02,-7.860407e+00
26,0.216961,8.744660e-01,2.117787e+02,2.381744e-07,5.662801e-01,1.142610e-02,-9.227766e+00
27,0.225306,7.828973e-01,2.121154e+02,2.040139e-07,4.929702e-01,8.198909e-03,-9.668839e+00
28,0.233651,5.362301e-01,2.120641e+02,1.553990e-08,2.698084e-01,1.154330e-02,-9.154771e+00
29,0.241995,3.322428e-01,1.413590e+02,8.756922e-09,2.163200e-01,1.621974e-02,-8.322070e+00
30,0.250340,2.398209e-01,7.065382e+01,2.192992e-09,1.577176e-01,4.410106e-02,-6.849661e+00
31,0.258685,4.089178e-01,0,1.610730e-09,1.441559e-01,9.197082e-02,-5.407948e+00
32,0.267029,5.801833e-01,7.822695e+01,1.584193e-09,1.435780e-01,1.529235e-01,-3.853434e+00
33,0.275374,7.752202e-01,1.544785e+02,7.909028e-08,3.130555e-01,2.014474e-01,-3.229584e+00
34,0.283719,8.597469e-01,2.291335e+02,7.936230e-08,3.204235e-01,2.357426e-01,-2.902223e+00
35,0.292063,9.098714e-01,2.263274e+02,8.323526e-08,3.597523e-01,2.630466e-01,-2.675794e+00
36,0.300408,9.337504e-01,2.262782e+02,4.391595e-06,8.663664e-01,2.792038e-01,-2.552940e+00
37,0.308753,9.376803e-01,2.282204e+02,4.927411e-06,1.198845e+00,2.825067e-01,-2.528481e+00
38,0.317098,9.290794e-01,2.293969e+02,5.212820e-06,1.426364e+00,2.752589e-01,-2.581496e+00
39,0.325442,9.186094e-01,2.297917e+02,9.248809e-07,9.353325e-01,2.622909e-01,-2.678241e+00
40,0.333787,9.100441e-01,2.297917e+02,4.363252e-07,7.371502e-01,2.515063e-01,-2.761663e+00
41,0.342132,9.102905e-01,2.297917e+02,2.008872e-05,1.554948e+00,2.447377e-01,-2.815295e+00
42,0.350476,9.144197e-01,2.301948e+02,2.270036e-05,1.948839e+00,2.434530e-01,-2.825691e+00
43,0.358821,9.144964e-01,2.314128e+02,2.387879e-05,2.255252e+00,2.458831e-01,-2.805961e+00
44,0.367166,9.125102e-01,2.334631e+02,3.355940e-05,2.398627e+00,2.528413e-01,-2.750887e+00
45,0.375510,9.163637e-01,2.368487e+02,3.838569e-05,2.623086e+00,2.631362e-01,-2.671813e+00
46,0.383855,9.248565e-01,2.407371e+02,4.215091e-05,2.881100e+00,2.763738e-01,-2.573530e+00
