frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,7.356517e-01,1.598551e+02,4.387417e-10,4.556987e-02,1.092954e-02,-9.676327e+00
1,0.008345,6.941318e-01,3.197101e+02,5.324329e-10,7.424628e-02,4.519971e-02,-7.574301e+00
2,0.016689,6.856359e-01,4.752127e+02,5.515465e-10,9.204618e-02,1.027236e-01,-5.138605e+00
3,0.025034,7.491901e-01,4.629037e+02,1.725544e-09,1.138181e-01,1.738490e-01,-3.601102e+00
4,0.033379,8.337037e-01,4.437467e+02,2.538722e-09,1.418019e-01,2.328947e-01,-2.951562e+00
5,0.041723,8.940425e-01,4.223955e+02,3.708077e-08,2.928872e-01,2.788450e-01,-2.567859e+00
6,0.050068,9.242997e-01,4.027599e+02,5.325587e-06,9.894775e-01,3.117934e-01,-2.335456e+00
7,0.058413,9.314561e-01,3.609506e+02,1.354414e-05,1.804720e+00,3.306240e-01,-2.214720e+00
8,0.066757,9.314176e-01,2.996046e+02,1.354737e-05,1.809309e+00,3.374375e-01,-2.172807e+00
9,0.075102,9.315262e-01,2.444995e+02,1.070965e-05,1.651964e+00,3.335510e-01,-2.196363e+00
10,0.083447,9.310084e-01,2.184158e+02,1.611199e-05,1.794639e+00,3.230720e-01,-2.260839e+00
11,0.091791,9.251884e-01,2.187799e+02,1.755643e-05,2.142708e+00,3.128368e-01,-2.324838e+00
12,0.100136,9.224453e-01,2.195079e+02,2.180100e-05,2.356055e+00,3.050937e-01,-2.374407e+00
13,0.108481,9.239032e-01,2.202360e+02,8.683383e-06,1.718866e+00,3.019887e-01,-2.394774e+00
14,0.116825,9.311317e-01,2.209714e+02,9.210215e-06,1.768688e+00,3.003189e-01,-2.405823e+00
15,0.125170,9.368338e-01,2.220931e+02,1.363151e-05,1.903365e+00,2.982543e-01,-2.419688e+00
16,0.133515,9.400945e-01,2.239805e+02,2.008500e-05,2.355357e+00,2.951291e-01,-2.440835e+00
17,0.141859,9.420934e-01,2.258834e+02,2.677926e-05,2.670986e+00,2.900588e-01,-2.475555e+00
18,0.150204,9.406505e-01,2.274307e+02,7.709131e-05,3.310528e+00,2.852263e-01,-2.509180e+00
19,0.158549,9.377201e-01,2.290103e+02,7.212714e-05,3.051180e+00,2.775725e-01,-2.563994e+00
20,0.166893,9.249118e-01,2.306063e+02,6.342914e-05,2.260540e+00,2.627445e-01,-2.677335e+00
21,0.175238,9.070582e-01,2.322191e+02,2.007054e-06,7.762110e-01,2.386695e-01,-2.876014e+00
22,0.183583,8.785787e-01,2.334457e+02,1.644269e-06,7.428741e-01,2.069579e-01,-3.168414e+00
23,0.191927,8.424985e-01,2.342691e+02,7.077476e-06,1.416819e+00,1.721311e-01,-3.549342e+00
24,0.200272,8.056437e-01,2.342691e+02,7.129166e-06,1.506198e+00,1.335821e-01,-4.090507e+00
25,0.208617,7.912242e-01,2.330426e+02,5.515080e-06,1.105098e+00,8.991957e-02,-5.036421e+00
26,0.216961,8.165968e-01,2.318160e+02,1.297900e-07,5.270582e-01,4.984893e-02,-6.488669e+00
27,0.225306,8.636591e-01,2.314042e+02,7.709723e-08,4.334823e-01,2.209359e-02,-8.032636e+00
28,0.233651,9.033995e-01,2.322191e+02,6.813621e-08,4.053737e-01,1.013539e-02,-9.333497e+00
29,0.241995,8.647344e-01,2.334457e+02,2.128941e-08,3.149145e-01,8.048308e-03,-9.682914e+00
30,0.250340,6.257687e-01,2.340571e+02,2.134734e-08,3.151677e-01,1.078944e-02,-9.254264e+00
31,0.258685,3.908021e-01,1.562419e+02,1.655567e-08,2.877558e-01,1.494342e-02,-8.500561e+00
32,0.267029,2.347356e-01,7.801492e+01,1.112603e-08,2.436737e-01,2.001244e-02,-7.845002e+00
33,0.275374,2.636376e-01,0,3.902020e-09,1.634692e-01,3.967491e-02,-6.856959e+00
34,0.283719,3.976565e-01,0,2.553580e-09,1.496043e-01,8.251522e-02,-5.472044e+00
35,0.292063,5.710661e-01,8.452107e+01,4.180432e-09,1.695241e-01,1.392562e-01,-4.085203e+00
36,0.300408,7.707472e-01,1.685619e+02,5.121793e-08,3.291713e-01,1.893094e-01,-3.360094e+00
37,0.308753,8.739546e-01,2.521225e+02,5.020287e-08,3.106107e-01,2.265440e-01,-2.983112e+00
38,0.317098,9.200487e-01,2.511621e+02,6.290793e-08,3.652213e-01,2.562413e-01,-2.731728e+00
39,0.325442,9.424145e-01,2.511621e+02,4.786224e-08,3.450154e-01,2.787096e-01,-2.558045e+00
40,0.333787,9.489837e-01,2.521225e+02,3.967384e-06,9.956012e-01,2.865568e-01,-2.499966e+00
41,0.342132,9.465420e-01,2.535744e+02,6.004353e-06,1.438375e+00,2.822708e-01,-2.530897e+00
42,0.350476,9.369625e-01,2.545460e+02,1.284230e-05,2.099491e+00,2.717975e-01,-2.606276e+00
43,0.358821,9.273091e-01,2.545460e+02,3.840071e-05,2.680243e+00,2.608252e-01,-2.688970e+00
44,0.367166,9.253051e-01,2.540546e+02,3.755844e-05,2.595959e+00,2.514959e-01,-2.761712e+00
45,0.375510,9.295527e-01,2.540546e+02,4.901612e-05,2.878767e+00,2.452794e-01,-2.810848e+00
46,0.383855,9.343032e-01,2.550374e+02,2.307822e-05,2.277009e+00,2.448500e-01,-2.814303e+00
47,0.392200,9.368565e-01,2.565232e+02,2.506839e-05,2.443273e+00,2.476687e-01,-2.791476e+00
48,0.400544,9.386192e-01,2.585354e+02,6.741852e-06,1.394886e+00,2.506480e-01,-2.767475e+00
49,0.408889,9.410724e-01,2.610986e+02,7.250167e-06,1.422698e+00,2.577636e-01,-2.712420e+00
50,0.417234,9.413674e-01,2.642263e+02,1.548917e-05,1.728490e+00,2.682446e-01,-2.633803e+00
51,0.425578,9.422836e-01,2.674300e+02,1.603202e-05,2.053929e+00,2.803918e-01,-2.544014e+00
52,0.433923,9.450743e-01,2.707122e+02,2.725640e-05,2.398899e+00,2.876684e-01,-2.492053e+00
53,0.442268,9.475372e-01,2.740760e+02,1.591768e-05,1.668692e+00,2.912167e-01,-2.467408e+00
54,0.450612,9.489349e-01,2.775245e+02,1.652125e-05,1.765599e+00,2.934273e-01,-2.452293e+00
55,0.458957,9.485276e-01,2.804488e+02,1.427050e-06,9.922261e-01,2.914609e-01,-2.465940e+00
56,0.467302,9.516831e-01,2.822239e+02,2.174998e-06,1.200796e+00,2.841387e-01,-2.517838e+00
