frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.793369e-01,1.050476e+02,4.387417e-10,4.556987e-02,1.904466e-02,-8.731942e+00
1,0.008345,5.896583e-01,2.100952e+02,5.410718e-10,7.501518e-02,4.848317e-02,-6.979759e+00
2,0.016689,6.255124e-01,2.954464e+02,5.411553e-10,7.850231e-02,9.746838e-02,-4.907588e+00
3,0.025034,7.089646e-01,2.541225e+02,2.570762e-10,6.626210e-02,1.517586e-01,-3.868292e+00
4,0.033379,7.953206e-01,2.113958e+02,3.115407e-10,7.028360e-02,2.069575e-01,-3.196399e+00
5,0.041723,8.637155e-01,1.866490e+02,1.975606e-08,2.089164e-01,2.556371e-01,-2.751398e+00
6,0.050068,8.969448e-01,1.815185e+02,2.623340e-06,7.931683e-01,2.987510e-01,-2.426872e+00
7,0.058413,9.069679e-01,1.782615e+02,2.700967e-06,9.751191e-01,3.269643e-01,-2.239486e+00
8,0.066757,9.072457e-01,1.771992e+02,3.012554e-05,2.084841e+00,3.423207e-01,-2.144209e+00
9,0.075102,9.054448e-01,1.783892e+02,2.841628e-05,1.915473e+00,3.444427e-01,-2.131681e+00
10,0.083447,9.060950e-01,1.791085e+02,5.582242e-05,2.952443e+00,3.386296e-01,-2.166218e+00
11,0.091791,9.068112e-01,1.793496e+02,3.418732e-05,2.486278e+00,3.286927e-01,-2.226295e+00
12,0.100136,9.080628e-01,1.793496e+02,4.962561e-05,3.109418e+00,3.153665e-01,-2.309179e+00
13,0.108481,9.079700e-01,1.795946e+02,2.841703e-05,2.661124e+00,3.058886e-01,-2.369634e+00
14,0.116825,9.108716e-01,1.805869e+02,6.366489e-05,3.288084e+00,3.015186e-01,-2.397870e+00
15,0.125170,9.141567e-01,1.820815e+02,4.975975e-05,2.821472e+00,2.988518e-01,-2.415771e+00
16,0.133515,9.153954e-01,1.838504e+02,5.489994e-05,2.979575e+00,2.967264e-01,-2.430114e+00
17,0.141859,9.167767e-01,1.853912e+02,2.050400e-05,2.385543e+00,2.932247e-01,-2.453637e+00
18,0.150204,9.177011e-01,1.866962e+02,2.920606e-05,2.735706e+00,2.890264e-01,-2.482827e+00
19,0.158549,9.189045e-01,1.880190e+02,1.779157e-05,1.832494e+00,2.846031e-01,-2.513707e+00
20,0.166893,9.160206e-01,1.893690e+02,1.418137e-05,1.661528e+00,2.705194e-01,-2.617708e+00
21,0.175238,9.001465e-01,1.910088e+02,3.063376e-06,8.286532e-01,2.537694e-01,-2.748853e+00
22,0.183583,8.721307e-01,1.923918e+02,3.395442e-06,1.102932e+00,2.248668e-01,-2.996010e+00
23,0.191927,8.463455e-01,1.929479e+02,1.966632e-05,1.582044e+00,1.927883e-01,-3.319603e+00
