frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.624881e-01,0,4.387417e-10,4.556987e-02,1.228548e-02,-9.467379e+00
1,0.008345,5.592878e-01,0,5.242113e-10,7.346694e-02,3.986260e-02,-7.562439e+00
2,0.016689,5.731965e-01,5.835979e+01,7.413914e-10,1.103699e-01,8.521077e-02,-5.341084e+00
3,0.025034,6.652979e-01,1.147743e+02,5.582586e-10,1.035515e-01,1.385040e-01,-4.046604e+00
4,0.033379,7.510611e-01,1.698624e+02,1.226074e-09,1.292468e-01,1.906708e-01,-3.364238e+00
5,0.041723,8.292916e-01,1.652481e+02,1.629937e-08,2.245773e-01,2.398514e-01,-2.887055e+00
6,0.050068,8.722017e-01,1.606177e+02,3.317766e-06,8.490148e-01,2.854094e-01,-2.520786e+00
7,0.058413,8.834774e-01,1.574973e+02,9.641920e-06,1.601416e+00,3.176554e-01,-2.298366e+00
8,0.066757,8.830141e-01,1.560893e+02,1.108647e-05,1.988349e+00,3.351707e-01,-2.186862e+00
9,0.075102,8.805459e-01,1.570180e+02,8.445712e-06,1.734485e+00,3.391645e-01,-2.162605e+00
10,0.083447,8.832803e-01,1.579520e+02,1.683989e-05,1.966927e+00,3.350471e-01,-2.187201e+00
11,0.091791,8.885681e-01,1.585161e+02,1.582305e-05,1.810787e+00,3.261807e-01,-2.241316e+00
12,0.100136,8.833862e-01,1.588967e+02,1.850523e-05,2.067136e+00,3.138938e-01,-2.318952e+00
13,0.108481,8.775845e-01,1.592801e+02,8.431971e-06,1.763441e+00,3.045171e-01,-2.378603e+00
14,0.116825,8.775479e-01,1.598579e+02,9.018709e-06,1.867971e+00,3.000937e-01,-2.407337e+00
15,0.125170,8.872215e-01,1.608361e+02,5.718043e-06,1.381958e+00,3.037948e-01,-2.382985e+00
16,0.133515,8.929287e-01,1.622234e+02,1.579254e-05,1.685678e+00,3.028032e-01,-2.389617e+00
17,0.141859,8.945019e-01,1.638259e+02,1.661035e-05,1.775301e+00,2.991662e-01,-2.414207e+00
18,0.150204,8.969514e-01,1.654646e+02,1.713435e-05,1.986453e+00,2.943388e-01,-2.446150e+00
19,0.158549,8.982614e-01,1.671404e+02,1.210092e-05,1.863939e+00,2.870631e-01,-2.496940e+00
20,0.166893,8.974902e-01,1.690645e+02,1.221875e-05,1.874370e+00,2.782016e-01,-2.560948e+00
21,0.175238,8.847458e-01,1.708021e+02,3.201256e-05,2.628147e+00,2.571708e-01,-2.721328e+00
22,0.183583,8.586155e-01,1.721280e+02,2.241762e-05,1.938701e+00,2.327040e-01,-2.927681e+00
23,0.191927,8.216686e-01,1.727961e+02,2.721099e-05,2.193287e+00,2.032144e-01,-3.200016e+00
24,0.200272,7.777793e-01,1.725734e+02,6.872319e-06,1.195410e+00,1.680522e-01,-3.604321e+00
25,0.208617,7.393253e-01,1.719019e+02,7.098799e-06,1.297697e+00,1.283633e-01,-4.196274e+00
26,0.216961,7.285202e-01,1.710112e+02,1.619927e-06,9.745775e-01,7.883549e-02,-5.449617e+00
27,0.225306,7.613866e-01,1.703500e+02,1.960196e-06,1.169518e+00,4.157926e-02,-6.883370e+00
28,0.233651,8.201917e-01,1.699116e+02,1.660775e-06,9.818708e-01,1.673481e-02,-8.387226e+00
29,0.241995,8.366696e-01,1.694764e+02,3.982396e-07,6.201374e-01,1.109170e-02,-9.055068e+00
30,0.250340,6.802502e-01,1.688320e+02,4.524911e-08,3.908911e-01,1.137459e-02,-9.017711e+00
31,0.258685,4.782755e-01,1.122679e+02,2.856257e-08,3.248050e-01,1.598853e-02,-8.384172e+00
32,0.267029,2.829861e-01,5.591970e+01,1.264500e-08,2.524504e-01,2.064233e-02,-7.794720e+00
33,0.275374,3.033821e-01,0,5.337562e-09,2.071011e-01,2.463453e-02,-7.414438e+00
34,0.283719,3.711301e-01,0,3.818631e-09,1.865329e-01,2.734623e-02,-7.209207e+00
35,0.292063,3.756784e-01,0,1.003053e-08,2.289480e-01,4.044303e-02,-6.559048e+00
36,0.300408,3.982873e-01,0,1.610535e-07,4.255784e-01,8.006007e-02,-5.445494e+00
37,0.308753,4.730886e-01,0,1.773018e-07,5.077043e-01,1.306149e-01,-4.257695e+00
38,0.317098,6.627412e-01,6.027322e+01,1.858118e-07,5.347331e-01,1.851248e-01,-3.405120e+00
39,0.325442,7.915258e-01,1.195897e+02,1.046895e-07,4.810780e-01,2.181979e-01,-3.060163e+00
40,0.333787,8.588040e-01,1.781830e+02,3.061514e-07,6.381325e-01,2.479492e-01,-2.794571e+00
41,0.342132,8.951324e-01,1.772147e+02,2.044810e-06,1.052337e+00,2.662065e-01,-2.650248e+00
42,0.350476,9.054872e-01,1.776814e+02,1.627974e-05,1.871916e+00,2.738449e-01,-2.590784e+00
43,0.358821,9.007168e-01,1.791163e+02,1.738364e-05,2.082243e+00,2.700213e-01,-2.619550e+00
44,0.367166,8.893914e-01,1.800846e+02,2.822870e-05,2.524724e+00,2.582509e-01,-2.708946e+00
45,0.375510,8.753770e-01,1.808237e+02,1.393751e-05,1.627188e+00,2.501346e-01,-2.772313e+00
46,0.383855,8.727236e-01,1.815668e+02,1.480485e-05,1.709513e+00,2.444507e-01,-2.817508e+00
47,0.392200,8.802693e-01,1.825757e+02,2.498377e-06,1.039212e+00,2.458603e-01,-2.806149e+00
48,0.400544,8.856542e-01,1.843743e+02,2.803460e-06,1.236506e+00,2.474699e-01,-2.793094e+00
49,0.408889,8.863144e-01,1.867228e+02,7.802371e-07,9.208667e-01,2.541698e-01,-2.740133e+00
50,0.417234,8.898778e-01,1.899635e+02,4.151057e-06,1.284293e+00,2.611991e-01,-2.686207e+00
51,0.425578,9.023459e-01,1.935932e+02,1.962495e-05,2.015552e+00,2.724654e-01,-2.601356e+00
52,0.433923,9.135862e-01,1.970206e+02,1.998697e-05,2.127643e+00,2.833770e-01,-2.523206e+00
53,0.442268,9.200904e-01,1.999653e+02,1.637171e-05,1.630891e+00,2.934195e-01,-2.453024e+00
54,0.450612,9.236831e-01,2.024194e+02,7.310660e-07,8.344417e-01,3.001960e-01,-2.406746e+00
55,0.458957,9.270163e-01,2.049189e+02,6.763796e-07,8.221030e-01,3.012273e-01,-2.399812e+00
56,0.467302,9.286666e-01,2.071529e+02,4.376059e-06,1.323547e+00,2.981713e-01,-2.420398e+00
57,0.475646,9.328118e-01,2.087801e+02,4.058881e-05,2.421515e+00,2.923716e-01,-2.459803e+00
58,0.483991,9.392816e-01,2.101016e+02,4.053526e-05,2.408424e+00,2.809024e-01,-2.541298e+00
59,0.492336,9.415037e-01,2.117985e+02,5.041099e-05,2.734126e+00,2.657551e-01,-2.653924e+00
60,0.500680,9.410396e-01,2.138583e+02,1.556835e-05,1.897852e+00,2.490274e-01,-2.782676e+00
61,0.509025,9.397302e-01,2.155813e+02,2.412581e-05,2.435805e+00,2.319590e-01,-2.926047e+00
62,0.517370,9.430401e-01,2.162745e+02,1.601592e-05,2.194680e+00,2.119689e-01,-3.111546e+00
63,0.525714,9.454723e-01,2.162745e+02,1.455258e-05,1.868424e+00,1.853815e-01,-3.387148e+00
64,0.534059,9.395511e-01,2.159246e+02,1.323429e-05,1.826771e+00,1.560989e-01,-3.740750e+00
65,0.542404,9.243240e-01,2.142144e+02,1.105606e-05,1.718522e+00,1.271549e-01,-4.157135e+00
66,0.550748,8.832077e-01,2.114939e+02,1.272392e-05,2.065028e+00,9.922716e-02,-4.671587e+00
67,0.559093,7.997763e-01,2.166985e+02,6.577137e-06,1.736123e+00,7.677241e-02,-5.184198e+00
68,0.567438,6.622487e-01,2.259113e+02,3.277772e-06,1.243084e+00,6.160415e-02,-5.588351e+00
69,0.575782,5.335426e-01,1.565402e+02,1.556357e-06,8.005612e-01,5.581735e-02,-5.772241e+00
70,0.584127,5.007183e-01,7.959412e+01,3.951259e-07,6.144961e-01,5.387172e-02,-5.842695e+00
