frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.868968e-01,6.746178e+01,4.387417e-10,4.556987e-02,3.575005e-02,-7.276327e+00
1,0.008345,6.211522e-01,1.368885e+02,5.439510e-10,7.526132e-02,7.339668e-02,-5.864033e+00
2,0.016689,6.915042e-01,2.069456e+02,5.439927e-10,7.809379e-02,1.331534e-01,-4.174049e+00
3,0.025034,7.858451e-01,2.088611e+02,4.024354e-10,7.306758e-02,1.908489e-01,-3.385007e+00
4,0.033379,8.616211e-01,2.069871e+02,7.577285e-09,1.492175e-01,2.446803e-01,-2.842017e+00
5,0.041723,9.041945e-01,2.022943e+02,1.272629e-06,6.437185e-01,2.896370e-01,-2.491135e+00
6,0.050068,9.198859e-01,1.985718e+02,5.581413e-06,1.321516e+00,3.227241e-01,-2.267827e+00
7,0.058413,9.226578e-01,1.966738e+02,1.395168e-05,2.092574e+00,3.426735e-01,-2.142696e+00
8,0.066757,9.200914e-01,1.972600e+02,1.296863e-05,1.912264e+00,3.472929e-01,-2.115237e+00
9,0.075102,9.186053e-01,1.978515e+02,1.548427e-05,2.018518e+00,3.421524e-01,-2.145389e+00
10,0.083447,9.179411e-01,1.984430e+02,1.447355e-05,1.985339e+00,3.323157e-01,-2.204161e+00
11,0.091791,9.156957e-01,1.987387e+02,1.921415e-05,2.420448e+00,3.204964e-01,-2.276811e+00
12,0.100136,9.166903e-01,1.990399e+02,1.265053e-05,1.905636e+00,3.104585e-01,-2.339938e+00
13,0.108481,9.196956e-01,1.996421e+02,5.625296e-06,1.397705e+00,3.045639e-01,-2.377812e+00
14,0.116825,9.257801e-01,2.005510e+02,1.318238e-05,1.636214e+00,3.027247e-01,-2.389864e+00
15,0.125170,9.270211e-01,2.017777e+02,1.770986e-05,2.067873e+00,3.015233e-01,-2.397836e+00
16,0.133515,9.271423e-01,2.033338e+02,1.746374e-05,1.961161e+00,3.007327e-01,-2.403084e+00
17,0.141859,9.273348e-01,2.049014e+02,4.989752e-06,1.206692e+00,2.954711e-01,-2.438817e+00
18,0.150204,9.274874e-01,2.061742e+02,1.312544e-05,1.463954e+00,2.893454e-01,-2.481019e+00
19,0.158549,9.266855e-01,2.074711e+02,1.303128e-05,1.298294e+00,2.796645e-01,-2.548864e+00
20,0.166893,9.192870e-01,2.091167e+02,2.073624e-05,1.920784e+00,2.634709e-01,-2.672654e+00
21,0.175238,8.954932e-01,2.111182e+02,1.341297e-05,1.699211e+00,2.372308e-01,-2.891591e+00
22,0.183583,8.584684e-01,2.128084e+02,1.405381e-05,2.041588e+00,2.023390e-01,-3.216877e+00
23,0.191927,8.163003e-01,2.134883e+02,1.210445e-05,1.970722e+00,1.682747e-01,-3.590712e+00
24,0.200272,7.813134e-01,2.131451e+02,8.015107e-06,1.718218e+00,1.261925e-01,-4.241852e+00
25,0.208617,7.734067e-01,2.124586e+02,7.517603e-06,1.571908e+00,7.897277e-02,-5.511759e+00
26,0.216961,7.940693e-01,2.121154e+02,1.712662e-06,9.796702e-01,3.897961e-02,-6.941415e+00
27,0.225306,8.417816e-01,2.121154e+02,2.084053e-07,5.614354e-01,1.727534e-02,-8.223941e+00
28,0.233651,8.840215e-01,2.121154e+02,6.521133e-08,3.672938e-01,1.127887e-02,-9.087495e+00
29,0.241995,8.987773e-01,2.121154e+02,1.468638e-08,2.707061e-01,7.652968e-03,-9.854206e+00
30,0.250340,7.653927e-01,2.121154e+02,1.126406e-08,2.526504e-01,7.603907e-03,-9.863076e+00
31,0.258685,5.131289e-01,1.414103e+02,1.223277e-08,2.634369e-01,1.156272e-02,-9.188443e+00
32,0.267029,3.167419e-01,7.070513e+01,7.594447e-09,2.258156e-01,1.650065e-02,-8.274421e+00
33,0.275374,2.440889e-01,0,3.946968e-09,1.796019e-01,4.488121e-02,-6.828556e+00
34,0.283719,4.159180e-01,0,3.314462e-09,1.730103e-01,9.318671e-02,-5.381266e+00
35,0.292063,5.817418e-01,7.740351e+01,2.191419e-09,1.366149e-01,1.545963e-01,-3.827837e+00
36,0.300408,7.780876e-01,1.525079e+02,1.173846e-07,3.370539e-01,2.025760e-01,-3.217690e+00
37,0.308753,8.595760e-01,2.260486e+02,1.262495e-07,3.861849e-01,2.381229e-01,-2.883060e+00
38,0.317098,9.087548e-01,2.233001e+02,4.369466e-07,6.876261e-01,2.677391e-01,-2.642117e+00
39,0.325442,9.330141e-01,2.232298e+02,1.369464e-06,9.150974e-01,2.865781e-01,-2.501177e+00
40,0.333787,9.370313e-01,2.251099e+02,3.638027e-06,1.389832e+00,2.904169e-01,-2.473353e+00
41,0.342132,9.349761e-01,2.262624e+02,3.349161e-06,1.210699e+00,2.829503e-01,-2.526386e+00
42,0.350476,9.291269e-01,2.270359e+02,3.851835e-06,1.269324e+00,2.709653e-01,-2.612540e+00
43,0.358821,9.220522e-01,2.274227e+02,1.414868e-05,1.666474e+00,2.601461e-01,-2.694141e+00
44,0.367166,9.143240e-01,2.278175e+02,1.748615e-05,2.185855e+00,2.511320e-01,-2.764352e+00
45,0.375510,9.118178e-01,2.286072e+02,1.606771e-05,1.909816e+00,2.451894e-01,-2.811588e+00
46,0.383855,9.141824e-01,2.298000e+02,2.593857e-05,2.097849e+00,2.441400e-01,-2.820061e+00
47,0.392200,9.185517e-01,2.314128e+02,2.787587e-05,2.195423e+00,2.474884e-01,-2.793110e+00
48,0.400544,9.207801e-01,2.334631e+02,2.845757e-05,2.361715e+00,2.510870e-01,-2.764108e+00
49,0.408889,9.215531e-01,2.359606e+02,8.345042e-06,1.780805e+00,2.568725e-01,-2.718679e+00
50,0.417234,9.234126e-01,2.389610e+02,6.899850e-06,1.711139e+00,2.657077e-01,-2.652391e+00
51,0.425578,9.281371e-01,2.424762e+02,9.702332e-06,1.968073e+00,2.789632e-01,-2.555281e+00
52,0.433923,9.350078e-01,2.460695e+02,9.977287e-06,1.988375e+00,2.897048e-01,-2.478359e+00
53,0.442268,9.409566e-01,2.497861e+02,6.352113e-06,1.590592e+00,2.955057e-01,-2.438166e+00
