frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.868968e-01,6.746178e+01,4.387417e-10,4.556987e-02,3.575005e-02,-7.276327e+00
1,0.008345,6.211522e-01,1.368885e+02,5.439510e-10,7.526132e-02,7.339668e-02,-5.864033e+00
2,0.016689,6.915042e-01,2.069456e+02,5.439927e-10,7.809379e-02,1.331534e-01,-4.174049e+00
3,0.025034,7.858451e-01,2.088611e+02,4.024354e-10,7.306758e-02,1.908489e-01,-3.385007e+00
4,0.033379,8.616211e-01,2.069871e+02,7.577285e-09,1.492175e-01,2.446803e-01,-2.842017e+00
5,0.041723,9.041945e-01,2.022943e+02,1.272629e-06,6.437185e-01,2.896370e-01,-2.491135e+00
6,0.050068,9.198859e-01,1.985718e+02,5.581413e-06,1.321516e+00,3.227241e-01,-2.267827e+00
7,0.058413,9.226578e-01,1.966738e+02,1.395168e-05,2.092574e+00,3.426735e-01,-2.142696e+00
8,0.066757,9.200914e-01,1.972600e+02,1.296863e-05,1.912264e+00,3.472929e-01,-2.115237e+00
9,0.075102,9.186053e-01,1.978515e+02,1.548427e-05,2.018518e+00,3.421524e-01,-2.145389e+00
10,0.083447,9.179411e-01,1.984430e+02,1.447355e-05,1.985339e+00,3.323157e-01,-2.204161e+00
11,0.091791,9.156957e-01,1.987387e+02,1.921415e-05,2.420448e+00,3.204964e-01,-2.276811e+00
12,0.100136,9.166903e-01,1.990399e+02,1.265053e-05,1.905636e+00,3.104585e-01,-2.339938e+00
13,0.108481,9.196956e-01,1.996421e+02,5.625296e-06,1.397705e+00,3.045639e-01,-2.377812e+00
14,0.116825,9.257801e-01,2.005510e+02,1.318238e-05,1.636214e+00,3.027247e-01,-2.389864e+00
15,0.125170,9.270211e-01,2.017777e+02,1.770986e-05,2.067873e+00,3.015233e-01,-2.397836e+00
16,0.133515,9.271423e-01,2.033338e+02,1.746374e-05,1.961161e+00,3.007327e-01,-2.403084e+00
17,0.141859,9.273348e-01,2.049014e+02,4.989752e-06,1.206692e+00,2.954711e-01,-2.438817e+00
18,0.150204,9.274874e-01,2.061742e+02,1.312544e-05,1.463954e+00,2.893454e-01,-2.481019e+00
19,0.158549,9.266855e-01,2.074711e+02,1.303128e-05,1.298294e+00,2.796645e-01,-2.548864e+00
20,0.166893,9.192870e-01,2.091167e+02,2.073624e-05,1.920784e+00,2.634709e-01,-2.672654e+00
21,0.175238,8.954932e-01,2.111182e+02,1.341297e-05,1.699211e+00,2.372308e-01,-2.891591e+00
22,0.183583,8.584682e-01,2.128084e+02,1.405381e-05,2.041588e+00,2.023390e-01,-3.216878e+00
23,0.191927,8.162911e-01,2.134883e+02,1.210445e-05,1.970722e+00,1.682745e-01,-3.590714e+00
24,0.200272,7.812042e-01,2.131451e+02,8.015107e-06,1.718218e+00,1.261920e-01,-4.241863e+00
25,0.208617,7.730947e-01,2.124586e+02,7.517603e-06,1.571908e+00,7.897123e-02,-5.511860e+00
26,0.216961,7.938140e-01,2.121154e+02,1.712662e-06,9.796702e-01,3.897582e-02,-6.941813e+00
27,0.225306,8.418414e-01,2.121154e+02,2.084053e-07,5.614354e-01,1.726775e-02,-8.225064e+00
28,0.233651,8.845437e-01,2.121154e+02,6.564625e-08,3.726146e-01,1.127062e-02,-9.089054e+00
29,0.241995,8.985565e-01,2.121154e+02,1.543120e-08,2.775792e-01,7.645011e-03,-9.856297e+00
30,0.250340,7.556098e-01,2.124586e+02,1.227063e-08,2.612256e-01,7.841210e-03,-9.821925e+00
31,0.258685,5.111888e-01,1.417535e+02,1.342205e-08,2.720487e-01,1.172449e-02,-9.155103e+00
32,0.267029,3.253591e-01,7.104836e+01,7.841556e-09,2.202865e-01,1.675510e-02,-8.231186e+00
33,0.275374,2.641705e-01,0,4.506730e-09,1.870029e-01,4.371092e-02,-6.852921e+00
34,0.283719,4.210003e-01,0,2.032320e-09,1.548232e-01,8.889002e-02,-5.437662e+00
35,0.292063,5.768452e-01,7.822695e+01,3.107300e-09,1.735553e-01,1.480673e-01,-3.914623e+00
36,0.300408,7.723683e-01,1.548574e+02,1.249494e-07,3.638155e-01,1.949820e-01,-3.298387e+00
37,0.308753,8.615260e-01,2.298915e+02,1.249065e-07,3.626729e-01,2.318362e-01,-2.937572e+00
38,0.317098,9.119658e-01,2.274801e+02,9.870952e-07,7.387304e-01,2.619937e-01,-2.686321e+00
39,0.325442,9.360744e-01,2.274469e+02,2.654186e-05,1.718817e+00,2.817794e-01,-2.535218e+00
40,0.333787,9.414099e-01,2.294132e+02,4.779217e-05,2.830037e+00,2.893588e-01,-2.480243e+00
41,0.342132,9.412563e-01,2.310011e+02,5.445108e-05,3.235528e+00,2.856076e-01,-2.506803e+00
42,0.350476,9.369273e-01,2.318074e+02,2.887163e-05,2.239348e+00,2.772283e-01,-2.566672e+00
43,0.358821,9.278428e-01,2.322105e+02,1.045026e-05,1.713141e+00,2.665537e-01,-2.645469e+00
44,0.367166,9.182132e-01,2.322105e+02,7.588953e-06,1.599581e+00,2.579691e-01,-2.710556e+00
45,0.375510,9.134949e-01,2.322105e+02,9.134656e-06,1.906640e+00,2.516646e-01,-2.759433e+00
46,0.383855,9.165081e-01,2.322105e+02,9.059034e-06,1.901515e+00,2.491513e-01,-2.779423e+00
47,0.392200,9.191782e-01,2.330428e+02,9.385745e-06,1.916615e+00,2.495977e-01,-2.775877e+00
48,0.400544,9.214885e-01,2.347074e+02,7.761189e-06,1.520237e+00,2.518287e-01,-2.758168e+00
49,0.408889,9.250175e-01,2.372409e+02,1.201293e-05,1.723273e+00,2.581551e-01,-2.708950e+00
50,0.417234,9.292127e-01,2.402599e+02,1.532561e-05,1.847177e+00,2.658663e-01,-2.650501e+00
51,0.425578,9.335677e-01,2.433545e+02,2.268887e-05,2.549833e+00,2.771780e-01,-2.567308e+00
52,0.433923,9.365022e-01,2.465087e+02,2.134300e-05,2.498309e+00,2.861963e-01,-2.502889e+00
53,0.442268,9.409066e-01,2.497861e+02,2.929784e-05,2.693660e+00,2.927736e-01,-2.456789e+00
