frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.868968e-01,6.746178e+01,4.387417e-10,4.556987e-02,3.575005e-02,-7.276327e+00
1,0.008345,6.211522e-01,1.368885e+02,5.439510e-10,7.526132e-02,7.339668e-02,-5.864033e+00
2,0.016689,6.915042e-01,2.069456e+02,5.439927e-10,7.809379e-02,1.331534e-01,-4.174049e+00
3,0.025034,7.858451e-01,2.088611e+02,4.024354e-10,7.306758e-02,1.908489e-01,-3.385007e+00
4,0.033379,8.616211e-01,2.069871e+02,7.577285e-09,1.492175e-01,2.446803e-01,-2.842017e+00
5,0.041723,9.041945e-01,2.022943e+02,1.272629e-06,6.437185e-01,2.896370e-01,-2.491135e+00
6,0.050068,9.198859e-01,1.985718e+02,5.581413e-06,1.321516e+00,3.227241e-01,-2.267827e+00
7,0.058413,9.226578e-01,1.966738e+02,1.395168e-05,2.092574e+00,3.426735e-01,-2.142696e+00
8,0.066757,9.200914e-01,1.972600e+02,1.296863e-05,1.912264e+00,3.472929e-01,-2.115237e+00
9,0.075102,9.186053e-01,1.978515e+02,1.548427e-05,2.018518e+00,3.421524e-01,-2.145389e+00
10,0.083447,9.179411e-01,1.984430e+02,1.447355e-05,1.985339e+00,3.323157e-01,-2.204161e+00
11,0.091791,9.156957e-01,1.987387e+02,1.921415e-05,2.420448e+00,3.204964e-01,-2.276811e+00
12,0.100136,9.166903e-01,1.990399e+02,1.265053e-05,1.905636e+00,3.104585e-01,-2.339938e+00
13,0.108481,9.196956e-01,1.996421e+02,5.625296e-06,1.397705e+00,3.045639e-01,-2.377812e+00
14,0.116825,9.257801e-01,2.005510e+02,1.318238e-05,1.636214e+00,3.027247e-01,-2.389864e+00
15,0.125170,9.270211e-01,2.017777e+02,1.770986e-05,2.067873e+00,3.015233e-01,-2.397836e+00
16,0.133515,9.271423e-01,2.033338e+02,1.746374e-05,1.961161e+00,3.007327e-01,-2.403084e+00
17,0.141859,9.273348e-01,2.049014e+02,4.989752e-06,1.206692e+00,2.954711e-01,-2.438817e+00
18,0.150204,9.274874e-01,2.061742e+02,1.312544e-05,1.463954e+00,2.893454e-01,-2.481019e+00
19,0.158549,9.266855e-01,2.074711e+02,1.303128e-05,1.298294e+00,2.796645e-01,-2.548864e+00
20,0.166893,9.192870e-01,2.091167e+02,2.073624e-05,1.920784e+00,2.634709e-01,-2.672654e+00
21,0.175238,8.954931e-01,2.111182e+02,1.341297e-05,1.699211e+00,2.372308e-01,-2.891591e+00
22,0.183583,8.584685e-01,2.128084e+02,1.405381e-05,2.041588e+00,2.023390e-01,-3.216877e+00
23,0.191927,8.163077e-01,2.134883e+02,1.210445e-05,1.970722e+00,1.682747e-01,-3.590711e+00
24,0.200272,7.813833e-01,2.131451e+02,8.015107e-06,1.718218e+00,1.261926e-01,-4.241850e+00
25,0.208617,7.735524e-01,2.124586e+02,7.517603e-06,1.571908e+00,7.897336e-02,-5.511717e+00
26,0.216961,7.942293e-01,2.121154e+02,1.712662e-06,9.796702e-01,3.898123e-02,-6.941241e+00
27,0.225306,8.416130e-01,2.121154e+02,2.083792e-07,5.613229e-01,1.727911e-02,-8.223369e+00
28,0.233651,8.837285e-01,2.121154e+02,6.492558e-08,3.634492e-01,1.128508e-02,-9.086100e+00
29,0.241995,8.988908e-01,2.117787e+02,1.409731e-08,2.652852e-01,7.661400e-03,-9.851644e+00
30,0.250340,7.798316e-01,2.111053e+02,1.098122e-08,2.491608e-01,7.230548e-03,-9.933840e+00
31,0.258685,5.294611e-01,1.404002e+02,1.195937e-08,2.612348e-01,1.112784e-02,-9.266379e+00
32,0.267029,3.339720e-01,7.003175e+01,7.565853e-09,2.242625e-01,1.593385e-02,-8.366744e+00
33,0.275374,2.554444e-01,0,3.321093e-09,1.522705e-01,4.384206e-02,-6.865916e+00
34,0.283719,4.201151e-01,0,1.398485e-09,1.172891e-01,9.245471e-02,-5.409285e+00
35,0.292063,5.817629e-01,7.659722e+01,1.155466e-09,1.130286e-01,1.535034e-01,-3.847584e+00
36,0.300408,7.674314e-01,1.516625e+02,1.704940e-07,3.669197e-01,2.017173e-01,-3.224640e+00
37,0.308753,8.524352e-01,2.251958e+02,1.709610e-07,3.811198e-01,2.345896e-01,-2.911243e+00
38,0.317098,9.039236e-01,2.221320e+02,1.897235e-07,4.675132e-01,2.629570e-01,-2.677461e+00
39,0.325442,9.297425e-01,2.206000e+02,1.384683e-06,7.041907e-01,2.813233e-01,-2.538749e+00
40,0.333787,9.344376e-01,2.209714e+02,3.237538e-06,1.209009e+00,2.866970e-01,-2.499079e+00
41,0.342132,9.312906e-01,2.220931e+02,1.715065e-05,2.087927e+00,2.816331e-01,-2.535243e+00
42,0.350476,9.238597e-01,2.239805e+02,1.619258e-05,1.932909e+00,2.713948e-01,-2.608986e+00
43,0.358821,9.158676e-01,2.258834e+02,5.569188e-05,2.790872e+00,2.637824e-01,-2.665906e+00
44,0.367166,9.082942e-01,2.270359e+02,4.708730e-05,2.534977e+00,2.567886e-01,-2.719316e+00
45,0.375510,9.054033e-01,2.278175e+02,4.741912e-05,2.604364e+00,2.519952e-01,-2.756860e+00
46,0.383855,9.077327e-01,2.290103e+02,6.479517e-06,1.544216e+00,2.503580e-01,-2.769764e+00
47,0.392200,9.123363e-01,2.314386e+02,1.654783e-06,1.155864e+00,2.511290e-01,-2.763661e+00
48,0.400544,9.181821e-01,2.347340e+02,1.147468e-06,1.031274e+00,2.533032e-01,-2.746369e+00
49,0.408889,9.246609e-01,2.381003e+02,5.632900e-06,1.422252e+00,2.576817e-01,-2.712404e+00
50,0.417234,9.301774e-01,2.411193e+02,9.512393e-06,1.767040e+00,2.640556e-01,-2.663988e+00
51,0.425578,9.335642e-01,2.437842e+02,1.496614e-05,2.249119e+00,2.756482e-01,-2.578674e+00
52,0.433923,9.366108e-01,2.469889e+02,1.267850e-05,2.120705e+00,2.852039e-01,-2.510060e+00
53,0.442268,9.401870e-01,2.507466e+02,8.973788e-06,1.811194e+00,2.919148e-01,-2.462620e+00
