frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.868968e-01,6.746178e+01,4.387417e-10,4.556987e-02,3.575005e-02,-7.276327e+00
1,0.008345,6.211522e-01,1.368885e+02,5.439510e-10,7.526132e-02,7.339668e-02,-5.864033e+00
2,0.016689,6.915042e-01,2.069456e+02,5.439927e-10,7.809379e-02,1.331534e-01,-4.174049e+00
3,0.025034,7.858451e-01,2.088611e+02,4.024354e-10,7.306758e-02,1.908489e-01,-3.385007e+00
4,0.033379,8.616211e-01,2.069871e+02,7.577285e-09,1.492175e-01,2.446803e-01,-2.842017e+00
5,0.041723,9.041945e-01,2.022943e+02,1.272629e-06,6.437185e-01,2.896370e-01,-2.491135e+00
6,0.050068,9.198859e-01,1.985718e+02,5.581413e-06,1.321516e+00,3.227241e-01,-2.267827e+00
7,0.058413,9.226578e-01,1.966738e+02,1.395168e-05,2.092574e+00,3.426735e-01,-2.142696e+00
8,0.066757,9.200914e-01,1.972600e+02,1.296863e-05,1.912264e+00,3.472929e-01,-2.115237e+00
9,0.075102,9.186053e-01,1.978515e+02,1.548427e-05,2.018518e+00,3.421524e-01,-2.145389e+00
10,0.083447,9.179411e-01,1.984430e+02,1.447355e-05,1.985339e+00,3.323157e-01,-2.204161e+00
11,0.091791,9.156957e-01,1.987387e+02,1.921415e-05,2.420448e+00,3.204964e-01,-2.276811e+00
12,0.100136,9.166903e-01,1.990399e+02,1.265053e-05,1.905636e+00,3.104585e-01,-2.339938e+00
13,0.108481,9.196956e-01,1.996421e+02,5.625296e-06,1.397705e+00,3.045639e-01,-2.377812e+00
14,0.116825,9.257801e-01,2.005510e+02,1.318238e-05,1.636214e+00,3.027247e-01,-2.389864e+00
15,0.125170,9.270211e-01,2.017777e+02,1.770986e-05,2.067873e+00,3.015233e-01,-2.397836e+00
16,0.133515,9.271423e-01,2.033338e+02,1.746374e-05,1.961161e+00,3.007327e-01,-2.403084e+00
17,0.141859,9.273348e-01,2.049014e+02,4.989752e-06,1.206692e+00,2.954711e-01,-2.438817e+00
18,0.150204,9.274874e-01,2.061742e+02,1.312544e-05,1.463954e+00,2.893454e-01,-2.481019e+00
19,0.158549,9.266855e-01,2.074711e+02,1.303128e-05,1.298294e+00,2.796645e-01,-2.548864e+00
20,0.166893,9.192870e-01,2.091167e+02,2.073624e-05,1.920784e+00,2.634709e-01,-2.672654e+00
21,0.175238,8.954931e-01,2.111182e+02,1.341297e-05,1.699211e+00,2.372308e-01,-2.891590e+00
22,0.183583,8.584681e-01,2.128084e+02,1.405381e-05,2.041588e+00,2.023389e-01,-3.216878e+00
23,0.191927,8.162882e-01,2.134883e+02,1.210445e-05,1.970722e+00,1.682744e-01,-3.590716e+00
24,0.200272,7.811608e-01,2.131451e+02,8.015107e-06,1.718218e+00,1.261917e-01,-4.241869e+00
25,0.208617,7.729346e-01,2.124586e+02,7.517603e-06,1.571908e+00,7.897035e-02,-5.511916e+00
26,0.216961,7.935967e-01,2.121154e+02,1.712662e-06,9.796702e-01,3.897357e-02,-6.942050e+00
27,0.225306,8.416356e-01,2.121154e+02,2.084053e-07,5.614354e-01,1.726367e-02,-8.225659e+00
28,0.233651,8.844703e-01,2.124586e+02,6.581218e-08,3.744179e-01,1.126480e-02,-9.090295e+00
29,0.241995,8.980491e-01,2.131451e+02,1.564220e-08,2.796037e-01,7.639162e-03,-9.857941e+00
30,0.250340,7.468215e-01,2.138315e+02,1.282718e-08,2.653881e-01,8.042968e-03,-9.788993e+00
31,0.258685,5.032044e-01,1.427832e+02,1.399099e-08,2.758111e-01,1.193184e-02,-9.121124e+00
32,0.267029,3.187232e-01,7.139159e+01,8.116958e-09,2.157772e-01,1.766569e-02,-8.130295e+00
33,0.275374,2.648891e-01,0,4.851787e-09,1.871174e-01,4.664044e-02,-6.739839e+00
34,0.283719,4.286788e-01,0,2.055655e-09,1.494339e-01,9.672827e-02,-5.263996e+00
35,0.292063,5.866638e-01,7.992754e+01,1.758141e-09,1.196142e-01,1.586867e-01,-3.772943e+00
36,0.300408,7.854896e-01,1.581899e+02,3.613671e-07,3.974811e-01,2.045733e-01,-3.192932e+00
37,0.308753,8.681033e-01,2.347872e+02,3.786161e-07,4.903859e-01,2.367395e-01,-2.891361e+00
38,0.317098,9.164693e-01,2.318600e+02,1.508951e-06,9.603119e-01,2.632025e-01,-2.675923e+00
39,0.325442,9.384606e-01,2.310011e+02,7.689548e-06,1.433104e+00,2.808619e-01,-2.541382e+00
40,0.333787,9.431705e-01,2.322191e+02,8.241282e-06,1.686412e+00,2.850563e-01,-2.510477e+00
41,0.342132,9.421721e-01,2.334457e+02,2.467448e-05,2.300558e+00,2.784168e-01,-2.558344e+00
42,0.350476,9.360673e-01,2.338574e+02,6.073925e-05,2.914805e+00,2.690729e-01,-2.626142e+00
43,0.358821,9.243047e-01,2.334457e+02,8.566483e-05,3.747865e+00,2.609798e-01,-2.687116e+00
44,0.367166,9.138224e-01,2.326223e+02,7.719519e-05,3.551657e+00,2.554025e-01,-2.730165e+00
45,0.375510,9.113503e-01,2.322105e+02,4.076684e-05,2.923561e+00,2.513278e-01,-2.762036e+00
46,0.383855,9.170067e-01,2.326223e+02,1.564925e-05,2.045062e+00,2.499819e-01,-2.772740e+00
47,0.392200,9.220402e-01,2.338663e+02,8.844580e-06,1.740495e+00,2.510207e-01,-2.764508e+00
48,0.400544,9.249768e-01,2.355309e+02,6.468250e-06,1.632006e+00,2.530414e-01,-2.748513e+00
49,0.408889,9.290240e-01,2.376526e+02,6.629660e-06,1.671010e+00,2.583987e-01,-2.706889e+00
50,0.417234,9.336658e-01,2.398110e+02,4.409925e-06,1.285089e+00,2.652867e-01,-2.654739e+00
51,0.425578,9.377220e-01,2.419976e+02,7.058007e-07,8.237744e-01,2.772551e-01,-2.567140e+00
52,0.433923,9.401655e-01,2.442234e+02,1.707315e-07,5.253655e-01,2.875413e-01,-2.493847e+00
53,0.442268,9.426529e-01,2.469889e+02,4.154679e-07,6.445871e-01,2.947989e-01,-2.442982e+00
