frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,7.750521e-01,1.598551e+02,4.387417e-10,4.556987e-02,4.041222e-03,-1.138983e+01
1,0.008345,6.940854e-01,2.901479e+02,5.439510e-10,7.526132e-02,2.573522e-02,-9.117377e+00
2,0.016689,6.554721e-01,4.115721e+02,5.439927e-10,7.809379e-02,7.192886e-02,-6.352851e+00
3,0.025034,6.672332e-01,3.906402e+02,4.024354e-10,7.306758e-02,1.335360e-01,-4.204351e+00
4,0.033379,7.671533e-01,3.928942e+02,1.898321e-09,1.105716e-01,1.933654e-01,-3.338168e+00
5,0.041723,8.424006e-01,3.975638e+02,6.005028e-09,1.968775e-01,2.448263e-01,-2.844685e+00
6,0.050068,8.964305e-01,3.785758e+02,1.279833e-07,4.030610e-01,2.898633e-01,-2.490186e+00
7,0.058413,9.204528e-01,3.605071e+02,1.285361e-07,4.093143e-01,3.236513e-01,-2.260786e+00
8,0.066757,9.237187e-01,3.231949e+02,1.771525e-05,1.415647e+00,3.417597e-01,-2.148168e+00
9,0.075102,9.221057e-01,2.692102e+02,3.158773e-05,2.191753e+00,3.453394e-01,-2.126664e+00
10,0.083447,9.221080e-01,2.209783e+02,3.247442e-05,2.565671e+00,3.406588e-01,-2.154109e+00
11,0.091791,9.240475e-01,1.984430e+02,3.237529e-05,2.563815e+00,3.304147e-01,-2.215467e+00
12,0.100136,9.187930e-01,1.987387e+02,3.497236e-05,2.617406e+00,3.193587e-01,-2.284250e+00
13,0.108481,9.140585e-01,1.990399e+02,4.938233e-05,3.220579e+00,3.093837e-01,-2.346805e+00
14,0.116825,9.150020e-01,1.996421e+02,4.206318e-05,3.056452e+00,3.042184e-01,-2.380026e+00
15,0.125170,9.238348e-01,2.005510e+02,2.851929e-05,2.627494e+00,3.066529e-01,-2.364259e+00
16,0.133515,9.289231e-01,2.017777e+02,1.477329e-05,2.105827e+00,3.044761e-01,-2.378726e+00
17,0.141859,9.303430e-01,2.030156e+02,1.747957e-05,2.173988e+00,3.019398e-01,-2.395665e+00
18,0.150204,9.293969e-01,2.042651e+02,2.293033e-05,2.407208e+00,2.978415e-01,-2.422426e+00
19,0.158549,9.303238e-01,2.055379e+02,2.573765e-05,2.599219e+00,2.960958e-01,-2.434260e+00
20,0.166893,9.319430e-01,2.071529e+02,2.032149e-05,2.448569e+00,2.907739e-01,-2.471266e+00
21,0.175238,9.330305e-01,2.087801e+02,1.448491e-05,2.189586e+00,2.818030e-01,-2.533886e+00
22,0.183583,9.310770e-01,2.097649e+02,1.012952e-05,1.561815e+00,2.713401e-01,-2.609585e+00
23,0.191927,9.210302e-01,2.104319e+02,9.405383e-06,1.536272e+00,2.549307e-01,-2.738638e+00
24,0.200272,9.027480e-01,2.111053e+02,8.582855e-06,1.471025e+00,2.297000e-01,-2.954857e+00
25,0.208617,8.712063e-01,2.117787e+02,8.660870e-06,1.597379e+00,1.964017e-01,-3.276439e+00
26,0.216961,8.269830e-01,2.121154e+02,8.865670e-06,1.604790e+00,1.634117e-01,-3.650483e+00
27,0.225306,7.773578e-01,2.121154e+02,8.383403e-06,1.556282e+00,1.231090e-01,-4.281569e+00
28,0.233651,7.558283e-01,2.121154e+02,8.673921e-06,1.681663e+00,7.798731e-02,-5.503416e+00
29,0.241995,7.758811e-01,2.121154e+02,1.890099e-06,1.119999e+00,3.990817e-02,-6.856571e+00
30,0.250340,8.312330e-01,2.121154e+02,5.344064e-07,6.795399e-01,1.809382e-02,-8.137402e+00
31,0.258685,8.820662e-01,2.121154e+02,1.612133e-07,3.628891e-01,1.176129e-02,-9.027719e+00
32,0.267029,8.987041e-01,2.121154e+02,6.647035e-09,1.898681e-01,7.683460e-03,-9.848556e+00
33,0.275374,7.536963e-01,2.121154e+02,9.174559e-09,2.118114e-01,8.063852e-03,-9.784015e+00
34,0.283719,5.034119e-01,1.414103e+02,1.148504e-08,2.594778e-01,1.223638e-02,-9.086709e+00
35,0.292063,3.009962e-01,7.070513e+01,7.723314e-09,2.264901e-01,1.731263e-02,-8.159289e+00
36,0.300408,2.824270e-01,0,3.992789e-09,1.820833e-01,2.184041e-02,-7.665199e+00
37,0.308753,3.376611e-01,0,3.744386e-09,1.796360e-01,3.605484e-02,-6.887744e+00
38,0.317098,4.264405e-01,0,5.051498e-09,1.950559e-01,7.598294e-02,-5.599219e+00
39,0.325442,5.504647e-01,0,1.648318e-07,4.175870e-01,1.287239e-01,-4.292768e+00
40,0.333787,7.261682e-01,7.822695e+01,2.361548e-07,5.559371e-01,1.821306e-01,-3.441290e+00
41,0.342132,8.496120e-01,1.544785e+02,2.467615e-07,6.055211e-01,2.204599e-01,-3.041696e+00
42,0.350476,9.015150e-01,2.287546e+02,2.704998e-07,6.168451e-01,2.532247e-01,-2.756572e+00
43,0.358821,9.281287e-01,2.255695e+02,3.483349e-06,1.067339e+00,2.780513e-01,-2.563826e+00
44,0.367166,9.369359e-01,2.255203e+02,2.383908e-05,2.085875e+00,2.895862e-01,-2.479004e+00
45,0.375510,9.382339e-01,2.278414e+02,4.325412e-05,2.938574e+00,2.890400e-01,-2.482882e+00
46,0.383855,9.326057e-01,2.293969e+02,4.094064e-05,2.735966e+00,2.808148e-01,-2.540781e+00
47,0.392200,9.219578e-01,2.297917e+02,2.319031e-05,2.209860e+00,2.715901e-01,-2.607729e+00
48,0.400544,9.134327e-01,2.297917e+02,8.408552e-06,1.821050e+00,2.616031e-01,-2.682940e+00
49,0.408889,9.138868e-01,2.297917e+02,8.873009e-06,1.878147e+00,2.542259e-01,-2.739527e+00
50,0.417234,9.211073e-01,2.301948e+02,1.127685e-05,2.011638e+00,2.491028e-01,-2.779833e+00
51,0.425578,9.256468e-01,2.310011e+02,6.489295e-06,1.430193e+00,2.483930e-01,-2.785515e+00
52,0.433923,9.274073e-01,2.322191e+02,1.174204e-05,1.733123e+00,2.484709e-01,-2.784892e+00
53,0.442268,9.291895e-01,2.342960e+02,7.325316e-06,1.379726e+00,2.507379e-01,-2.766755e+00
54,0.450612,9.312630e-01,2.368200e+02,1.110978e-05,1.910924e+00,2.539474e-01,-2.741436e+00
55,0.458957,9.332250e-01,2.393715e+02,1.187047e-05,1.937838e+00,2.606668e-01,-2.689752e+00
56,0.467302,9.341620e-01,2.415490e+02,1.495725e-05,2.224931e+00,2.699212e-01,-2.620443e+00
57,0.475646,9.356902e-01,2.437842e+02,1.171057e-05,1.923424e+00,2.817205e-01,-2.534844e+00
58,0.483991,9.392145e-01,2.465087e+02,4.491032e-06,1.375516e+00,2.912174e-01,-2.468019e+00
59,0.492336,9.442850e-01,2.497861e+02,7.860747e-06,1.522797e+00,2.974298e-01,-2.425233e+00
60,0.500680,9.475157e-01,2.531273e+02,2.625133e-05,2.252130e+00,3.000096e-01,-2.407896e+00
61,0.509025,9.455056e-01,2.560429e+02,3.506800e-05,2.850830e+00,2.974673e-01,-2.425139e+00
62,0.517370,9.407565e-01,2.580205e+02,2.804567e-05,2.193869e+00,2.925438e-01,-2.458820e+00
63,0.525714,9.401507e-01,2.590265e+02,9.531022e-06,1.436641e+00,2.819521e-01,-2.533064e+00
64,0.534059,9.446769e-01,2.595294e+02,2.384988e-06,1.101296e+00,2.708311e-01,-2.614218e+00
65,0.542404,9.507577e-01,2.600443e+02,1.126268e-05,1.818646e+00,2.580218e-01,-2.710761e+00
66,0.550748,9.564925e-01,2.610742e+02,1.704722e-05,2.257791e+00,2.445361e-01,-2.819100e+00
67,0.559093,9.584829e-01,2.626314e+02,2.082280e-05,2.476048e+00,2.291618e-01,-2.950556e+00
68,0.567438,9.583218e-01,2.642011e+02,1.898410e-05,2.416249e+00,2.081580e-01,-3.147262e+00
69,0.575782,9.572158e-01,2.652558e+02,1.492038e-05,2.198241e+00,1.845516e-01,-3.393562e+00
70,0.584127,9.528489e-01,2.652558e+02,1.479052e-05,2.192843e+00,1.578361e-01,-3.710918e+00
71,0.592472,9.428399e-01,2.631832e+02,7.755506e-06,1.540411e+00,1.303690e-01,-4.108042e+00
72,0.600816,9.273506e-01,2.600927e+02,9.203824e-06,1.637485e+00,1.030765e-01,-4.592826e+00
73,0.609161,9.017639e-01,2.575295e+02,5.528353e-06,1.421972e+00,7.893184e-02,-5.126659e+00
74,0.617506,8.693514e-01,2.565116e+02,5.548746e-06,1.444023e+00,6.213071e-02,-5.586197e+00
75,0.625850,7.758954e-01,2.567899e+02,2.072446e-06,1.017544e+00,5.413227e-02,-5.836820e+00
76,0.634195,6.229897e-01,2.607030e+02,2.905571e-07,6.833606e-01,5.300058e-02,-5.876314e+00
77,0.642540,4.897820e-01,1.751991e+02,2.504630e-07,6.315193e-01,5.457258e-02,-5.817123e+00
78,0.650884,4.970591e-01,8.941703e+01,4.245157e-07,7.029081e-01,5.439015e-02,-5.824098e+00
79,0.659229,6.126864e-01,1.313095e+02,8.081033e-07,8.481200e-01,5.128697e-02,-5.946195e+00
80,0.667574,7.126186e-01,2.435043e+02,9.050115e-07,9.425793e-01,4.516206e-02,-6.214200e+00
81,0.675918,7.165433e-01,3.365845e+02,1.973511e-06,1.126682e+00,4.072378e-02,-6.411244e+00
82,0.684263,6.749426e-01,3.021487e+02,1.526816e-06,9.132542e-01,6.339743e-02,-5.808826e+00
83,0.692608,6.796840e-01,2.770541e+02,1.423575e-06,8.055217e-01,1.047072e-01,-4.830650e+00
84,0.700952,7.341852e-01,2.564364e+02,1.427594e-07,5.260264e-01,1.628630e-01,-3.693420e+00
85,0.709297,8.205726e-01,2.309543e+02,2.517017e-07,6.237854e-01,2.101287e-01,-3.155728e+00
86,0.717642,8.812826e-01,2.149024e+02,2.487983e-07,6.165577e-01,2.527416e-01,-2.766201e+00
87,0.725986,9.163182e-01,2.128084e+02,1.480306e-06,8.905079e-01,2.849470e-01,-2.517022e+00
88,0.734331,9.245133e-01,2.111182e+02,1.405640e-06,8.363914e-01,3.043799e-01,-2.380311e+00
89,0.742676,9.187662e-01,2.087986e+02,1.474714e-05,1.714035e+00,3.112558e-01,-2.334332e+00
90,0.751020,9.104789e-01,2.058976e+02,1.963707e-05,2.011172e+00,3.085956e-01,-2.351731e+00
91,0.759365,9.040168e-01,2.027436e+02,1.962372e-05,1.996935e+00,2.999257e-01,-2.409292e+00
92,0.767710,9.027413e-01,1.993894e+02,8.531360e-06,1.580539e+00,2.876850e-01,-2.493483e+00
93,0.776054,9.022577e-01,1.958688e+02,2.364535e-06,9.701330e-01,2.763368e-01,-2.573271e+00
94,0.784399,9.004628e-01,1.924414e+02,2.512991e-06,1.068189e+00,2.656687e-01,-2.651682e+00
95,0.792744,8.988131e-01,1.899158e+02,2.577820e-05,1.700951e+00,2.602253e-01,-2.692832e+00
96,0.801088,9.002408e-01,1.888179e+02,2.860966e-05,2.146239e+00,2.519709e-01,-2.757523e+00
97,0.809433,9.068111e-01,1.882807e+02,2.860008e-05,2.142003e+00,2.469196e-01,-2.798133e+00
98,0.817778,9.128405e-01,1.874863e+02,3.825729e-06,1.342990e+00,2.405978e-01,-2.849348e+00
