frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,3.600740e-01,0,4.387417e-10,4.556987e-02,2.214828e-03,-1.223075e+01
1,0.008345,5.740768e-01,1.441830e+02,9.662916e-10,9.373073e-02,3.752951e-03,-1.145497e+01
2,0.016689,7.322421e-01,2.737224e+02,1.292353e-09,1.354181e-01,1.728646e-02,-9.445533e+00
3,0.025034,6.624593e-01,3.988687e+02,8.611651e-10,1.033213e-01,4.747481e-02,-7.021819e+00
4,0.033379,6.521475e-01,3.869173e+02,6.553325e-10,9.668041e-02,9.872665e-02,-4.905520e+00
5,0.041723,7.323378e-01,3.835605e+02,1.485162e-09,1.159313e-01,1.570617e-01,-3.819512e+00
6,0.050068,8.218765e-01,3.554161e+02,1.505988e-09,1.224991e-01,2.145584e-01,-3.120277e+00
7,0.058413,8.835846e-01,2.910740e+02,4.155349e-08,2.579208e-01,2.618921e-01,-2.697683e+00
8,0.066757,9.104590e-01,2.302557e+02,1.140720e-07,4.089211e-01,2.976805e-01,-2.430413e+00
9,0.075102,9.145939e-01,1.989084e+02,2.369175e-06,9.803966e-01,3.192574e-01,-2.284966e+00
10,0.083447,9.145775e-01,1.969695e+02,3.557480e-06,1.296454e+00,3.302914e-01,-2.215729e+00
11,0.091791,9.169088e-01,1.978515e+02,4.080708e-06,1.481511e+00,3.306723e-01,-2.213389e+00
12,0.100136,9.157398e-01,1.984430e+02,2.324632e-06,1.266231e+00,3.239659e-01,-2.255295e+00
13,0.108481,9.139013e-01,1.990399e+02,3.422954e-06,1.370341e+00,3.134444e-01,-2.321151e+00
14,0.116825,9.137862e-01,1.996421e+02,3.611666e-06,1.404445e+00,3.055888e-01,-2.371142e+00
15,0.125170,9.199712e-01,2.005510e+02,3.323411e-06,1.318730e+00,3.035487e-01,-2.384431e+00
