frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.323994e-01,0,4.387417e-10,4.556987e-02,5.700710e-02,-5.890539e+00
1,0.008345,6.103889e-01,6.872274e+01,5.791326e-10,7.794539e-02,9.706642e-02,-4.964980e+00
2,0.016689,7.239646e-01,1.381000e+02,5.831806e-10,8.911884e-02,1.551610e-01,-3.845358e+00
3,0.025034,8.169322e-01,2.084684e+02,1.068752e-09,1.005340e-01,2.127261e-01,-3.136646e+00
4,0.033379,8.812305e-01,2.076351e+02,5.066707e-08,2.565336e-01,2.600255e-01,-2.713620e+00
5,0.041723,9.098975e-01,2.036221e+02,3.818549e-06,9.353527e-01,2.962082e-01,-2.440348e+00
6,0.050068,9.145918e-01,1.989084e+02,8.021626e-06,1.591408e+00,3.184135e-01,-2.290249e+00
7,0.058413,9.144480e-01,1.969695e+02,9.755448e-06,1.954350e+00,3.282864e-01,-2.227881e+00
8,0.066757,9.162910e-01,1.978515e+02,3.087466e-05,2.480004e+00,3.284378e-01,-2.226944e+00
9,0.075102,9.143326e-01,1.984430e+02,4.304272e-05,2.839091e+00,3.209282e-01,-2.274021e+00
10,0.083447,9.115416e-01,1.990399e+02,4.232618e-05,2.760345e+00,3.100943e-01,-2.342782e+00
11,0.091791,9.115422e-01,1.996421e+02,5.559753e-05,2.926648e+00,3.022228e-01,-2.393358e+00
12,0.100136,9.184238e-01,2.005510e+02,4.266214e-05,2.525728e+00,2.993912e-01,-2.412009e+00
13,0.108481,9.257544e-01,2.017777e+02,5.017074e-05,2.936227e+00,2.977603e-01,-2.423002e+00
14,0.116825,9.272795e-01,2.033338e+02,4.148935e-05,2.833246e+00,2.948681e-01,-2.442594e+00
15,0.125170,9.280513e-01,2.052256e+02,3.833376e-05,2.478750e+00,2.913760e-01,-2.466338e+00
16,0.133515,9.268405e-01,2.071529e+02,2.999069e-05,1.894891e+00,2.833318e-01,-2.523387e+00
17,0.141859,9.218740e-01,2.091167e+02,1.330209e-05,1.611465e+00,2.672480e-01,-2.644276e+00
18,0.150204,9.021757e-01,2.111182e+02,2.274341e-05,2.211707e+00,2.438776e-01,-2.829568e+00
