frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,3.600740e-01,0,4.387417e-10,4.556987e-02,2.214828e-03,-1.223075e+01
1,0.008345,5.740768e-01,1.441830e+02,9.662916e-10,9.373073e-02,3.752951e-03,-1.145497e+01
2,0.016689,7.322421e-01,2.737224e+02,1.292353e-09,1.354181e-01,1.728646e-02,-9.445533e+00
3,0.025034,6.624479e-01,3.988687e+02,8.611651e-10,1.033213e-01,4.747479e-02,-7.021820e+00
4,0.033379,6.518335e-01,3.869173e+02,6.553325e-10,9.668041e-02,9.889299e-02,-4.903450e+00
5,0.041723,7.319608e-01,3.835605e+02,1.485162e-09,1.159313e-01,1.572806e-01,-3.816960e+00
6,0.050068,8.218841e-01,3.554161e+02,1.505988e-09,1.224991e-01,2.148703e-01,-3.117024e+00
7,0.058413,8.842206e-01,2.907886e+02,4.155349e-08,2.579208e-01,2.628914e-01,-2.690879e+00
8,0.066757,9.095845e-01,2.291089e+02,1.140720e-07,4.089211e-01,2.977606e-01,-2.429445e+00
9,0.075102,9.095718e-01,1.966099e+02,2.498104e-06,9.903452e-01,3.199256e-01,-2.280585e+00
10,0.083447,9.049371e-01,1.932283e+02,3.060662e-06,1.211597e+00,3.272025e-01,-2.234503e+00
11,0.091791,9.078998e-01,1.926674e+02,1.433290e-05,1.960092e+00,3.234727e-01,-2.258046e+00
12,0.100136,9.162646e-01,1.921065e+02,3.044164e-05,2.470655e+00,3.119090e-01,-2.331556e+00
13,0.108481,9.212441e-01,1.915505e+02,3.056924e-05,2.494261e+00,2.951097e-01,-2.443195e+00
14,0.116825,9.192808e-01,1.909993e+02,2.516021e-05,2.324658e+00,2.853746e-01,-2.508877e+00
15,0.125170,9.165702e-01,1.901771e+02,1.109971e-05,1.937071e+00,2.784876e-01,-2.556847e+00
