roll,pitch,yaw
1.648357,5.080247,-1.94543
1.703421,4.999271,-2.30975
1.821417,4.82575,-3.090437
1.939412,4.65223,-3.871123
2.010209,4.548118,-4.339535
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.002343,4.559686,-4.287489
1.915813,4.686934,-3.714986
1.766352,4.906726,-2.726116
1.575136,5.198482,-1.484224
1.39581,5.500906,-0.382987
1.300591,5.690205,0.138541
1.280011,5.741587,0.22822
1.297161,5.698769,0.153487
1.341752,5.587441,-0.040819
1.382913,5.484678,-0.220179
1.396633,5.450423,-0.279965
1.396633,5.450423,-0.279965
1.396633,5.450423,-0.279965
1.396633,5.450423,-0.279965
1.393203,5.458987,-0.265019
1.369193,5.518932,-0.160392
1.310882,5.664514,0.093701
1.24228,5.835786,0.392633
1.20798,5.921423,0.5421
1.23199,5.861477,0.437473
1.286871,5.724459,0.198327
1.310882,5.664514,0.093701
1.293731,5.707332,0.168434
1.280011,5.741587,0.22822
1.297161,5.698769,0.153487
1.341752,5.587441,-0.040819
1.382913,5.484678,-0.220179
1.396633,5.450423,-0.279965
1.382913,5.484678,-0.220179
1.352042,5.561751,-0.085659
1.328032,5.621696,0.018967
1.329038,5.627255,-0.003185
1.404683,5.494897,-0.457185
1.576142,5.204041,-1.506376
1.849911,4.903604,-2.898692
2.34767,4.665228,-4.543181
3.065306,4.476169,-6.270064
3.712185,4.335108,-7.733018
3.970876,4.225973,-8.675895
3.874225,4.150866,-9.006346
3.809984,4.139726,-9.038902
4.02963,4.192891,-9.11029
4.438821,4.26977,-9.250352
4.77858,4.322092,-9.366925
4.909723,4.33172,-9.408227
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.830694,4.31654,-9.379896
4.499259,4.210548,-9.279927
3.95652,3.832313,-9.226334
3.339519,3.115037,-9.371725
2.827612,2.249578,-9.664152
2.561071,1.532577,-9.976837
2.479777,1.158343,-10.193265
2.453781,1.048718,-10.240822
2.464123,0.919296,-10.145729
2.558142,0.617819,-9.940162
2.724767,0.228619,-9.678236
2.92733,-0.110459,-9.450357
3.091597,-0.305365,-9.323409
3.14714,-0.357412,-9.291247
3.152032,-0.383173,-9.235193
3.214254,-0.198356,-9.071928
3.435951,0.549972,-8.896694
3.844749,1.731908,-8.845154
4.327086,3.028847,-8.982889
4.707648,3.998082,-9.224839
4.887571,4.321071,-9.378332
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.911477,4.320592,-9.404307
4.790391,4.245511,-9.366282
4.481309,4.074065,-9.279168
4.172973,3.928473,-9.191739
4.117097,3.917662,-9.176791
4.597347,4.188162,-9.315041
4.679219,4.223016,-9.339063
4.749552,4.254904,-9.359456
4.860724,4.304364,-9.391414
4.887279,4.318824,-9.397689
4.818141,4.311428,-9.374155
4.663465,4.294195,-9.32324
4.463621,4.273335,-9.258213
4.299902,4.25663,-9.205216
4.257251,4.252313,-9.191587
4.357559,4.263116,-9.224496
4.547588,4.283755,-9.28665
4.726705,4.304155,-9.345505
4.806611,4.313771,-9.371876
4.736051,4.282785,-9.357494
4.489281,4.145056,-9.324021
4.08945,3.829225,-9.320649
3.605978,3.306812,-9.398286
3.140645,2.648862,-9.570147
2.788624,2.002898,-9.798085
2.581177,1.506154,-10.013963
2.49303,1.219147,-10.162761
2.468251,1.100028,-10.235302
2.464043,1.070623,-10.256861
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.416171,1.262168,-9.825947
2.319164,1.647214,-8.95947
2.246408,1.935999,-8.309612
2.173653,2.224784,-7.659754
