roll,pitch,yaw
3.27728,4.86075,-0.61726
3.29342,4.80657,-0.66263
3.31627,4.76333,-0.69606
3.33112,4.7055,-0.72039
3.34827,4.67062,-0.73219
3.36173,4.58978,-0.72872
3.36642,4.51344,-0.74619
3.38894,4.43957,-0.7569
3.4155,4.38154,-0.78254
3.45011,4.28312,-0.77099
3.47429,4.26607,-0.78783
3.49643,4.24547,-0.78828
3.50524,4.19418,-0.81384
3.52545,4.11213,-0.83041
3.54828,4.05741,-0.85032
3.54967,3.98114,-0.89793
3.55668,3.88647,-0.88523
3.55039,3.84039,-0.92265
3.54007,3.75774,-0.94486
3.52922,3.69513,-0.99519
3.5244,3.60412,-1.0183
3.50315,3.52236,-1.02784
3.48267,3.46137,-1.03999
3.45988,3.38804,-1.08211
3.43671,3.23821,-1.06186
3.4015,3.07165,-1.08961
3.36976,2.90305,-1.07257
3.31084,2.67441,-1.0879
3.26377,2.43751,-1.05235
3.21137,2.31029,-1.06269
3.17484,2.17928,-1.03688
3.1214,1.99573,-1.03647
3.09115,1.82801,-0.98124
3.06395,1.71527,-0.98761
3.03694,1.59184,-1.03232
3.02823,1.48667,-1.07065
3.02389,1.3738,-1.13756
3.03687,1.2571,-1.1436
3.04688,1.16017,-1.14576
3.05852,1.09052,-1.10111
3.05534,1.03306,-1.039
3.04131,0.94577,-0.99505
3.02127,0.83428,-0.94456
2.98965,0.72482,-0.92914
2.96237,0.62857,-0.84527
2.93837,0.54513,-0.75913
2.91567,0.49443,-0.62396
2.87208,0.44268,-0.51675
2.83014,0.38005,-0.38986
2.78789,0.34801,-0.24012
2.73231,0.2781,-0.06141
2.66745,0.17199,0.16233
2.61612,0.11734,0.42037
2.56779,0.08974,0.64304
2.54117,0.05337,0.92512
2.51636,0.03629,1.22298
2.49018,0.01102,1.48849
2.47617,-0.06406,1.7619
2.47777,-0.10574,2.05949
2.47006,-0.12215,2.33013
2.46241,-0.0954,2.61573
2.45141,-0.11825,2.92289
2.44088,-0.15505,3.17967
2.44135,-0.18398,3.5051
2.44874,-0.20703,3.79224
2.44243,-0.22814,4.02078
2.43879,-0.24669,4.2556
2.43803,-0.26219,4.48793
2.4312,-0.25251,4.66038
2.43042,-0.26301,4.85466
2.4175,-0.2644,4.99885
2.42412,-0.25573,5.09631
2.42322,-0.27483,5.18476
2.42286,-0.25637,5.24152
2.40628,-0.24949,5.27675
2.38874,-0.20965,5.33701
2.3692,-0.19209,5.34066
2.3459,-0.14308,5.31393
2.32106,-0.09481,5.22035
2.30864,-0.06553,5.14933
2.28809,-0.01686,5.02912
2.25382,0.02188,4.94157
2.22936,0.03099,4.8367
2.21006,0.06848,4.6848
2.17849,0.07542,4.54776
2.15561,0.14388,4.37207
2.13361,0.17399,4.23778
2.10286,0.19267,4.04713
2.07122,0.20725,3.84348
2.05646,0.29553,3.63612
2.0273,0.3445,3.4042
1.99364,0.37168,3.14923
1.96611,0.37186,2.90105
1.92165,0.39109,2.65017
1.86952,0.42438,2.37416
1.82463,0.46123,2.10457
1.78321,0.48728,1.82204
1.74231,0.54337,1.59829
1.70416,0.54677,1.406
1.65984,0.63502,1.18583
1.61606,0.71617,0.95871
1.57075,0.75631,0.79517
1.5119,0.7865,0.6629
1.47096,0.80309,0.5135
1.44408,0.80936,0.45309
1.40869,0.85784,0.32406
1.38529,0.89238,0.25337
1.3658,0.92043,0.20625
1.35524,0.89753,0.20779
1.34902,0.89643,0.23119
1.35504,0.8812,0.35587
1.35873,0.86164,0.44298
1.36489,0.84266,0.56331
1.37574,0.85072,0.66183
1.41158,0.88819,0.8829
1.4373,0.88303,1.04436
1.46607,0.88483,1.19723
1.51062,0.85878,1.42426
1.54499,0.86153,1.60801
1.58039,0.85629,1.82744
1.61066,0.85879,2.01549
1.64513,0.87877,2.25102
1.66028,0.89,2.4186
1.68928,0.88562,2.64939
1.71541,0.88523,2.90957
1.73777,0.90714,3.12397
1.75366,0.95178,3.24683
1.77974,0.97736,3.4153
1.79793,1.02756,3.58341
1.8028,1.06764,3.70081
1.81619,1.07557,3.84525
1.82155,1.09273,3.92584
1.82942,1.12601,4.01844
1.83759,1.16373,4.08986
1.85094,1.19301,4.14406
1.84957,1.19897,4.12737
1.85114,1.22737,4.10997
1.85905,1.23878,4.11912
1.85583,1.3137,4.02916
1.8645,1.39581,3.977
1.86927,1.4174,3.91699
1.88365,1.47843,3.83794
1.88378,1.49602,3.70395
1.88135,1.50762,3.62688
1.87392,1.57883,3.50532
1.87274,1.64832,3.40024
1.86204,1.65512,3.28481
1.8592,1.69559,3.16659
1.83474,1.7395,3.02868
1.82419,1.80336,2.8975
1.8015,1.8423,2.76477
1.78817,1.87922,2.66533
1.77463,1.92775,2.57565
1.75414,1.97909,2.44355
1.75194,2.00723,2.35664
1.75239,2.06364,2.24069
1.75555,2.1617,2.11572
1.76097,2.23075,2.02642
1.78209,2.29302,1.97052
1.78333,2.32651,1.82439
1.80321,2.36862,1.7493
1.81954,2.39161,1.63622
1.8366,2.40921,1.50394
1.85076,2.44222,1.40146
1.88965,2.46263,1.31816
1.91023,2.49933,1.18979
1.92147,2.52483,1.08429
1.93452,2.5451,0.98212
1.95055,2.54192,0.91012
1.97689,2.55853,0.84727
1.99902,2.59071,0.78653
2.02013,2.59219,0.75112
2.04717,2.61377,0.74674
2.06455,2.63137,0.69798
2.08511,2.64419,0.67951
2.11092,2.65141,0.67997
2.14489,2.6512,0.72285
2.17366,2.6514,0.75323
2.19063,2.65119,0.77846
2.20598,2.65522,0.80074
2.23137,2.61414,0.86646
2.25426,2.61244,0.92947
2.26428,2.60256,0.923
2.27845,2.60921,0.96983
2.29216,2.58628,1.01285
2.2994,2.55878,1.05072
2.31478,2.5365,1.08307
2.33502,2.53469,1.12433
2.33927,2.52247,1.13335
2.35704,2.50995,1.18327
2.37011,2.54143,1.22871
2.38034,2.58262,1.29193
2.39393,2.58055,1.34959
2.39288,2.6199,1.35411
2.40362,2.62098,1.36096
2.4112,2.60863,1.38177
2.41489,2.61632,1.38457
2.40793,2.63231,1.34588
2.40945,2.64922,1.38303
2.40028,2.68248,1.34153
2.40951,2.70417,1.37035
2.40782,2.73164,1.35853
2.40449,2.73388,1.36652
2.39819,2.74787,1.37532
2.38903,2.75052,1.38814
2.38338,2.78381,1.40132
2.38044,2.80241,1.41354
2.38681,2.8173,1.43834
2.38861,2.80865,1.44237
2.38049,2.821,1.40731
2.39001,2.83527,1.43724
2.39476,2.84016,1.46901
2.39471,2.85075,1.4759
2.39252,2.86807,1.47932
2.39018,2.87178,1.47341
2.38108,2.87124,1.46212
2.37632,2.85711,1.47397
2.36795,2.85066,1.49132
2.355,2.85027,1.47438
2.34831,2.84755,1.46954
2.34935,2.86161,1.48284
2.33606,2.86429,1.47421
2.33073,2.868,1.50391
2.31188,2.88977,1.50163
2.29488,2.90704,1.54242
2.27052,2.92607,1.54247
2.24357,2.90681,1.54871
2.21047,2.87702,1.50381
2.18535,2.763,1.54503
2.16601,2.68747,1.53557
2.16004,2.59259,1.53565
2.15501,2.51024,1.51175
2.14815,2.47753,1.49509
2.1671,2.47278,1.51194
2.18647,2.43316,1.49445
2.22575,2.4379,1.5226
2.24968,2.3848,1.5158
2.25736,2.36309,1.47528
2.26112,2.37505,1.47477
2.24978,2.37049,1.47639
2.23701,2.34872,1.48745
2.22454,2.36518,1.51754
2.20874,2.32263,1.57192
2.18886,2.29783,1.59087
2.16546,2.25698,1.59209
2.1452,2.25047,1.59914
2.15081,2.23828,1.65863
2.14977,2.25506,1.66759
2.16037,2.25915,1.70497
2.15264,2.25996,1.70517
2.15346,2.25429,1.73558
2.14573,2.25084,1.74081
2.13585,2.2401,1.73288
2.13011,2.24853,1.76358
2.11967,2.24537,1.77816
2.10872,2.24467,1.78634
2.10691,2.24684,1.79578
2.11163,2.23799,1.79336
2.13052,2.23898,1.82701
2.15021,2.23985,1.85241
2.16508,2.25551,1.86637
2.18016,2.25362,1.85462
2.20813,2.23379,1.8539
2.22986,2.21971,1.83452
2.2513,2.15112,1.83446
2.27243,2.13893,1.80611
2.30336,2.14468,1.80489
2.33493,2.13947,1.79174
2.36695,2.13189,1.78606
2.38194,2.11579,1.74477
2.38438,2.11162,1.70524
2.39436,2.10337,1.68803
2.41209,2.10868,1.68638
2.4393,2.10605,1.7032
2.46386,2.10927,1.68585
