roll,pitch,yaw
7.6241,10.41017,0.14621
7.6127,10.34128,0.12613
7.60545,10.31477,0.11915
7.60219,10.27537,0.14268
7.61195,10.28168,0.17113
7.62445,10.25283,0.20103
7.62275,10.25726,0.19172
7.62348,10.27089,0.21042
7.61421,10.26169,0.1974
7.61815,10.24581,0.20571
7.61409,10.22147,0.19565
7.61417,10.17962,0.22566
7.59535,10.15575,0.17506
7.59401,10.15183,0.17894
7.59658,10.10194,0.18597
7.59413,10.06901,0.197
7.58882,10.02133,0.19861
7.57686,9.99108,0.1964
7.56217,9.95889,0.18415
7.54988,9.94478,0.17189
7.54962,9.9176,0.17147
7.54155,9.87078,0.15829
7.52719,9.79463,0.14879
7.4967,9.73857,0.13988
7.47122,9.65742,0.18705
7.43666,9.60739,0.23256
7.40362,9.53348,0.31556
7.36555,9.44564,0.39184
7.3087,9.33745,0.45772
7.2724,9.23727,0.53689
7.21916,9.08452,0.57716
7.18766,8.88698,0.69572
7.15367,8.70276,0.79203
7.11622,8.49195,0.89967
7.05505,8.2375,0.98103
7.00136,8.00859,1.13197
6.94933,7.72601,1.28063
6.88445,7.43884,1.38502
6.80696,7.18208,1.53157
6.73764,6.89312,1.69915
6.67389,6.5914,1.89862
6.59452,6.34012,2.11687
6.5104,6.08364,2.32496
6.44372,5.86587,2.57593
6.34569,5.70766,2.78891
6.26455,5.53706,3.01936
6.18881,5.37422,3.29572
6.12462,5.23325,3.53477
6.04912,5.11591,3.76609
5.96387,4.96115,4.00537
5.88226,4.86262,4.23542
5.78271,4.73635,4.42853
5.68452,4.63137,4.63162
5.59052,4.52524,4.80493
5.50534,4.39372,5.01758
5.3988,4.27324,5.16769
5.30048,4.2007,5.29816
5.21227,4.08317,5.41654
5.12774,3.95835,5.52095
5.04903,3.81845,5.64992
4.98021,3.68701,5.74903
4.9086,3.55928,5.82246
4.85061,3.37448,5.86949
4.80901,3.18058,5.93819
4.76904,3.05306,5.9356
4.74383,2.88337,5.97383
4.72927,2.70183,6.01009
4.71765,2.57094,6.01674
4.70081,2.42117,5.99538
4.70606,2.19781,6.0355
4.69318,2.02882,6.03427
4.67477,1.89729,5.99881
4.66556,1.77468,6.00623
4.67407,1.65141,6.03774
4.6717,1.50017,6.0189
4.68143,1.38683,6.02701
4.68608,1.2764,6.01213
4.6879,1.20834,5.9811
4.70384,1.16791,5.95191
4.72338,1.12811,5.97782
4.74489,1.0997,5.98563
4.76483,1.10563,5.94073
4.79476,1.13478,5.90161
4.8353,1.17381,5.92647
4.87302,1.20497,5.93728
4.91305,1.22325,5.97455
4.93937,1.26446,5.9673
4.96036,1.3441,5.96137
4.98072,1.42676,5.97719
5.00325,1.49754,5.97154
5.02085,1.52749,5.96473
5.04098,1.56909,5.9716
5.0814,1.65367,5.98238
5.11923,1.72061,5.97188
5.16721,1.80587,6.00801
5.19685,1.82001,6.02306
5.21658,1.83526,6.03153
5.2314,1.84791,6.04469
5.22967,1.85429,6.04729
5.22555,1.87135,6.06957
5.21386,1.892,6.086
5.20827,1.90744,6.15279
5.19567,1.94015,6.17592
5.16775,1.99635,6.16941
5.14137,2.03643,6.17835
5.12823,2.07012,6.20393
5.1243,2.1079,6.25031
5.11449,2.18784,6.28108
5.08149,2.26256,6.31426
5.03713,2.35021,6.35929
4.991,2.4709,6.44662
4.92025,2.60459,6.46919
4.8428,2.68317,6.49962
4.77609,2.71895,6.52345
4.71514,2.77512,6.53765
4.66064,2.81092,6.54234
4.61002,2.76428,6.57045
4.55808,2.75236,6.57458
4.52324,2.7604,6.58966
4.51631,2.77288,6.62738
4.47457,2.76241,6.63018
4.43491,2.75503,6.71863
4.38609,2.76525,6.76468
4.33557,2.78161,6.84376
4.30205,2.81909,6.91832
4.26829,2.84343,6.97383
4.24658,2.88628,7.02713
4.24611,2.9078,7.1039
4.25728,2.95662,7.17292
4.28988,3.00664,7.24682
4.34002,2.99916,7.28908
4.40372,2.94472,7.34432
4.47498,2.866,7.39828
4.54392,2.737,7.46393
4.60823,2.64849,7.5032
4.63985,2.49583,7.50039
4.67122,2.30509,7.5568
4.66138,2.13877,7.53571
4.62965,1.99452,7.54957
4.57584,1.84325,7.56766
4.52027,1.67308,7.60158
4.45686,1.55204,7.64573
4.36112,1.37915,7.64405
4.26274,1.26884,7.65667
4.15854,1.16566,7.71568
4.04546,1.0376,7.77709
3.91494,0.87753,7.83054
3.7984,0.73062,7.9695
3.69931,0.63123,8.10359
3.6078,0.57327,8.18934
3.53966,0.5231,8.28159
3.46428,0.51734,8.3618
3.41026,0.53714,8.45578
3.37547,0.57123,8.55239
3.37298,0.6346,8.6583
3.40298,0.80422,8.70578
3.46155,0.94133,8.77208
3.53573,1.01701,8.79007
3.63724,1.08968,8.78752
3.76217,1.17748,8.72471
3.90378,1.20168,8.58025
4.09281,1.18101,8.45596
4.2876,1.06542,8.32226
4.5035,0.95752,8.15249
4.71744,0.76781,7.98835
4.93525,0.52715,7.81014
5.12368,0.29617,7.65866
5.28669,-0.01432,7.59542
5.42661,-0.224,7.53578
5.51141,-0.50718,7.48372
5.60211,-0.72203,7.47809
5.65504,-0.94984,7.50159
5.68787,-1.2015,7.51178
5.73417,-1.40779,7.57093
5.73931,-1.64258,7.62425
5.73398,-1.88139,7.6364
5.72576,-2.0932,7.60777
5.71164,-2.28414,7.64362
5.69578,-2.40475,7.67366
5.67145,-2.52706,7.7087
5.65145,-2.63957,7.70445
5.63496,-2.71931,7.78149
5.60616,-2.81757,7.75537
5.57457,-2.87362,7.75477
5.54271,-2.9307,7.73608
5.51422,-2.94828,7.69554
5.4842,-2.99518,7.6863
5.4736,-3.02008,7.66645
5.4539,-3.04209,7.64637
5.41821,-3.06682,7.60937
5.37592,-3.11026,7.54482
5.3136,-3.17927,7.51607
5.24762,-3.26087,7.52691
5.17318,-3.31229,7.55646
5.08493,-3.3527,7.57627
5.01045,-3.36127,7.65862
4.94903,-3.36347,7.70249
4.90931,-3.34461,7.80248
4.87499,-3.27327,7.81162
4.83707,-3.19449,7.82927
4.81739,-3.14706,7.84571
4.78532,-3.0692,7.8731
4.73448,-2.98866,7.86682
4.68563,-2.96765,7.83332
4.6579,-2.95111,7.80189
4.63324,-2.92063,7.7615
4.62151,-2.92447,7.79984
4.60146,-2.91143,7.8
4.58408,-2.9008,7.8153
4.56519,-2.87305,7.78314
4.56065,-2.88341,7.76752
4.55562,-2.88772,7.75428
4.56413,-2.89377,7.78202
4.57471,-2.8977,7.75402
4.59931,-2.89438,7.77637
4.62691,-2.86743,7.76853
4.66348,-2.83955,7.76778
4.68624,-2.81612,7.77277
4.70253,-2.80945,7.75215
4.71214,-2.86502,7.75041
4.72758,-2.88767,7.75834
4.73557,-2.95198,7.7631
4.73257,-3.03321,7.79142
4.74067,-3.07313,7.87161
4.74013,-3.10588,7.85663
4.72798,-3.19792,7.83057
4.73834,-3.2864,7.83995
4.75566,-3.35033,7.84622
4.77526,-3.36499,7.81101
4.79274,-3.42914,7.76287
4.80028,-3.46104,7.74995
4.80425,-3.47169,7.73703
4.81842,-3.46924,7.72286
4.84134,-3.42516,7.70511
4.8723,-3.37598,7.71384
4.90285,-3.34209,7.67684
4.92818,-3.30303,7.59749
4.95372,-3.19038,7.54338
4.99271,-3.08894,7.5639
5.02208,-3.02837,7.538
5.0448,-2.97377,7.54363
5.06265,-2.89279,7.59502
5.05427,-2.76629,7.53316
5.04088,-2.69814,7.55215
5.04134,-2.57497,7.55059
5.05004,-2.49193,7.51643
5.07133,-2.38077,7.51536
5.09663,-2.26825,7.47703
5.14228,-2.1909,7.47794
5.18097,-2.09615,7.43257
5.24042,-1.97943,7.39059
5.28891,-1.9536,7.36316
5.3194,-1.90276,7.33713
5.3515,-1.86152,7.34302
5.39136,-1.90472,7.35523
5.41673,-1.97875,7.34548
5.43052,-2.00506,7.3822
5.4366,-2.07341,7.39947
5.43992,-2.10515,7.43251
5.45681,-2.16722,7.46179
5.46813,-2.22044,7.46885
5.47071,-2.3069,7.53416
5.45858,-2.31725,7.5362
5.45847,-2.36721,7.58165
5.46357,-2.43871,7.61032
5.48679,-2.46294,7.65579
5.49073,-2.54246,7.69166
5.49433,-2.57304,7.75197
5.47674,-2.59215,7.78892
5.43667,-2.68735,7.8827
5.37581,-2.78964,7.96594
5.31063,-2.86435,8.01434
5.24232,-2.95531,8.09921
5.16994,-3.04593,8.17638
5.08102,-3.10741,8.2826
4.97744,-3.15378,8.42096
4.86975,-3.17945,8.52072
4.75922,-3.19093,8.63271
4.65977,-3.18477,8.68145
4.57897,-3.11423,8.72956
4.54335,-3.0199,8.72551
4.52649,-2.90681,8.69975
4.53175,-2.8053,8.69711
4.54008,-2.70403,8.66386
4.57102,-2.60251,8.58373
4.62573,-2.52621,8.5243
4.67816,-2.42615,8.42765
4.73115,-2.33517,8.30735
4.78071,-2.27537,8.25791
4.81764,-2.21387,8.1809
4.837,-2.23192,8.08295
4.85869,-2.23867,8.03675
4.86956,-2.24311,8.00393
4.89878,-2.2505,8.01549
4.91601,-2.24387,7.98362
4.93049,-2.27516,7.94953
4.9323,-2.30948,7.87773
4.95526,-2.32185,7.87242
