worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,feedback_count,frontload_count,frontload_missed,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
2112439,3098740,1,0,0,0,0,0,0,prodege,USA,CA,San Jose,209.73.136.240,,,0,,1.0,60,1.0
2647839,3338196,1,0,0,0,0,0,0,prodege,CAN,ON,Markham,99.247.25.133,,,0,,1.0,0,1.0
4792593,barbwire,0,0,0,0,0,0,0,zoombucks,,,,,,,0,,1.0,0,1.0
5055767,4110246,1,0,0,0,0,0,0,prodege,CAN,AB,Banff,75.158.204.206,,,0,,1.0,0,1.0
5728744,2254553,0,0,0,0,0,0,0,fusioncash,,,,,,,0,,1.0,0,1.0
5943344,2280694,0,0,0,0,0,0,0,fusioncash,,,,,,,0,,1.0,0,1.0
6010674,3104578,1,0,0,0,0,0,0,prodege,GBR,N5,Ashfield,81.106.169.209,,,0,,1.0,60,1.0
6011732,1322123,1,0,0,0,0,0,0,prodege,CAN,ON,Thornhill,173.206.171.1,,,0,,1.0,0,1.0
6329929,3101572,1,0,0,0,0,0,0,clixsense,USA,NY,Queensbury,72.231.162.134,,,0,,1.0,60,1.0
6330007,2492964,1,0,0,0,0,0,0,clixsense,AUS,06,Hobart,101.178.12.24,,,0,,1.0,0,1.0
6331127,2075828,0,0,0,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6339764,2092459,1,0,0,0,0,0,0,clixsense,CAN,NS,Dartmouth,208.103.241.37,,,0,,1.0,60,1.0
6350548,3759556,0,0,0,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6362702,3911127,1,0,0,0,0,0,0,clixsense,GBR,A9,Blackpool,90.222.154.77,,,0,,1.0,60,1.0
6363498,3893891,1,0,0,0,0,0,0,clixsense,USA,GA,Fort Valley,23.125.3.6,,,0,,1.0,0,1.0
6416686,2076259,1,0,0,0,0,0,0,clixsense,USA,WA,Puyallup,73.181.138.47,,,0,,1.0,60,1.0
6417754,2746174,1,0,0,0,0,0,0,clixsense,USA,FL,Miami,76.109.198.159,,,0,,1.0,0,1.0
6450352,2082682,0,0,0,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6995937,2205855,0,0,0,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
7012325,2282221,0,0,0,0,0,0,0,fusioncash,,,,,,,0,,1.0,0,1.0
8278118,5072005,1,0,0,0,0,0,0,prodege,CAN,ON,Ottawa,99.246.127.149,,,0,,1.0,60,1.0
11001780,3C9E44DB2222A173AADFB62A30C6BB71,1,0,0,0,0,0,0,neodev,AUS,07,Elwood,14.201.215.31,,,0,,1.0,60,1.0
11039750,7A65371AA242567FAADFB62A30C6BB71,1,0,0,0,0,0,0,neodev,CAN,BC,New Westminster,162.156.188.209,,,0,,1.0,60,1.0
11178231,137C5B8648817013DD6A67EA287D2489,1,0,0,0,0,0,0,neodev,CAN,QC,Verdun,184.161.206.169,,,0,,1.0,60,1.0
11202244,4E4C7726E84C05E3AADFB62A30C6BB71,1,0,0,0,0,0,0,neodev,USA,PA,Erie,108.11.159.151,,,0,,1.0,0,1.0
11314968,3079BE212F484D96AADFB62A30C6BB71,0,0,0,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11382239,DB17E3FEC2E016F62BFA95FAD8D0CB36,1,0,0,0,0,0,0,neodev,AUS,02,Strathfield,60.241.129.81,,,0,,1.0,0,1.0
11460728,DB089D69A58B30136964A2442E880D82,1,0,0,0,0,0,0,neodev,CAN,BC,Burnaby,70.79.16.165,,,0,,1.0,60,1.0
11563866,9F299813EE9E436BAADFB62A30C6BB71,1,0,0,0,0,0,0,neodev,USA,"","",73.9.115.133,,,0,,1.0,0,1.0
11658682,312A1D0475378E0559F2CAAFA4DBDBA2,1,0,0,0,0,0,0,neodev,CAN,BC,Terrace,172.218.75.39,,,0,,1.0,60,1.0
11659309,CF052115D172798FBD9CE4BD64DFB8C1,1,0,0,0,0,0,0,neodev,USA,KS,Derby,68.102.136.12,,,0,,1.0,0,1.0
12121931,6048474,1,0,0,0,0,0,0,prodege,USA,TX,Fort Worth,24.182.200.225,,,0,,1.0,60,1.0
12219174,F4628C66A7EB2FC32BFA95FAD8D0CB36,0,0,0,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
13869269,6462626,1,0,0,0,0,0,0,prodege,USA,CA,Saratoga,107.178.41.30,,,0,,1.0,60,1.0
14528761,6661766,0,0,0,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
14655697,3753520,1,0,0,0,0,0,0,clixsense,CAN,ON,Hamilton,184.151.63.152,,,0,,1.0,60,1.0
14890972,6754757,0,0,0,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
15021999,iwashere,0,0,0,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
15180586,6832498,1,0,0,0,0,0,0,prodege,USA,VA,Richmond,96.253.124.46,,,0,,1.0,60,1.0
15287417,6862774,0,0,0,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
15366051,157C8BD8A9762BAA93CA06397A287A80,1,0,0,0,0,0,0,neodev,CAN,QC,Montréal,65.94.14.81,,,0,,1.0,60,1.0
15820413,3B00C0FBE30EDCE40DD4E15F98F7C799,1,0,0,0,0,0,0,neodev,GBR,J4,Clevedon,77.99.3.167,,,0,,1.0,0,1.0
15823508,6952155,1,0,0,0,0,0,0,prodege,CAN,ON,Oshawa,70.50.115.93,,,0,,1.0,60,1.0
17009268,slb332013igc,1,0,0,0,0,0,0,instagc,USA,AZ,Phoenix,68.98.238.174,,,0,,1.0,0,1.0
17379068,7505613,0,0,0,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
17991051,DC5823DA3C60748793CA06397A287A80,1,0,0,0,0,0,0,neodev,GBR,H2,Burnley,79.64.19.42,,,0,,1.0,0,1.0
18208698,D271A8FB64A7D377BD9CE4BD64DFB8C1,1,0,0,0,0,0,0,neodev,USA,WA,Spokane,24.19.156.9,,,0,,1.0,60,1.0
18535574,C43953AB3833AEAD24750D543524A854,0,0,0,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
18634892,kasara92,1,0,0,0,0,0,0,instagc,USA,KS,Wichita,174.70.137.93,,,0,,1.0,0,1.0
19495345,5624871,1,0,0,0,0,0,0,clixsense,USA,AL,Decatur,74.237.180.157,,,0,,1.0,0,1.0
19602039,Italygirlseattle,1,0,0,0,0,0,0,instagc,USA,WA,Bellevue,50.135.214.140,,,0,,1.0,0,1.0
20019743,2171179,1,0,0,0,0,0,0,prodege,CAN,ON,Georgetown,108.170.175.73,,,0,,1.0,0,1.0
20306700,7001,1,0,0,0,0,0,0,points4rewards,USA,WA,Bothell,50.46.244.34,,,0,,1.0,0,1.0
20404755,5777915,1,0,0,0,0,0,0,clixsense,IRL,"","",86.46.196.116,,,0,,1.0,60,1.0
20416470,156852,0,0,0,0,0,0,0,tremorgames,,,,,,,0,,1.0,0,1.0
20483681,E912BA713A522A016964A2442E880D82,1,0,0,0,0,0,0,neodev,GBR,K6,Southsea,82.25.152.89,,,0,,1.0,0,1.0
20587495,5793739,1,0,0,0,0,0,0,clixsense,CAN,NL,St. John's,142.162.104.22,,,0,,1.0,60,1.0
20602057,unstoppable,1,0,0,0,0,0,0,instagc,USA,VA,Richmond,71.176.234.26,,,0,,1.0,60,1.0
21262235,crinton,0,0,0,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
21275875,2699,0,0,0,0,0,0,0,onestopgpt,,,,,,,0,,1.0,0,1.0
21317536,5918192,0,0,0,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
21550204,9205613,0,0,0,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
21614812,139703,1,0,0,0,0,0,0,bitcoinget,USA,MD,Baltimore,73.39.182.12,,,0,,1.0,0,1.0
21628806,9255629,1,0,0,0,0,0,0,prodege,CAN,NS,Halifax,142.134.58.105,,,0,,1.0,60,1.0
21678835,145218,1,0,0,0,0,0,0,bitcoinget,USA,OH,Ironton,76.177.160.209,,,0,,1.0,60,1.0
21682005,5977547,1,0,0,0,0,0,0,clixsense,CAN,ON,Trenton,67.193.66.21,,,0,,1.0,0,1.0
22083307,9479279,1,0,0,0,0,0,0,prodege,CAN,QC,Montréal,64.229.213.134,,,0,,1.0,0,1.0
22095664,aek190,1,0,0,0,0,0,0,instagc,USA,MO,Chesterfield,63.137.145.225,,,0,,1.0,60,1.0
23397964,268008,1,0,0,0,0,0,0,bitcoinget,CAN,MB,Winnipeg,50.71.132.101,,,0,,1.0,0,1.0
23711658,52013517,1,0,0,0,0,0,0,superrewards,USA,NM,Las Cruces,128.123.161.18,,,0,,1.0,60,1.0
23854732,joe9927,0,0,0,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
23962923,victoryIII,0,0,0,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
