frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,5.944670e-01,0,5.144660e-07,3.796839e-01,2.894069e-01,-2.480612e+00
1,0.008313,6.964386e-01,4.761905e+01,4.733681e-06,1.093497e+00,2.933129e-01,-2.453629e+00
2,0.016625,7.836480e-01,9.502738e+01,6.080438e-06,1.600257e+00,2.879146e-01,-2.492815e+00
3,0.024938,7.802158e-01,1.420180e+02,1.271417e-05,2.056704e+00,2.649849e-01,-2.665906e+00
4,0.033250,7.675061e-01,1.411826e+02,1.488583e-05,2.151396e+00,2.317697e-01,-2.940202e+00
5,0.041563,7.665368e-01,1.399581e+02,3.041005e-05,2.726462e+00,1.972287e-01,-3.266865e+00
6,0.049875,7.709599e-01,1.376174e+02,2.910184e-05,2.677266e+00,1.623586e-01,-3.666438e+00
7,0.058188,7.654023e-01,1.343719e+02,2.336761e-05,2.277280e+00,1.319442e-01,-4.084770e+00
8,0.066500,7.632998e-01,1.328568e+02,6.554745e-06,1.392837e+00,1.091105e-01,-4.445621e+00
9,0.074813,7.210342e-01,1.358867e+02,1.018390e-06,9.300326e-01,1.026670e-01,-4.555302e+00
10,0.083125,6.939146e-01,1.406387e+02,1.196408e-06,9.605158e-01,1.106137e-01,-4.418335e+00
11,0.091438,6.796539e-01,1.427572e+02,1.315848e-06,1.039075e+00,1.288138e-01,-4.116576e+00
12,0.099750,7.299240e-01,1.412543e+02,1.038407e-06,8.703520e-01,1.494316e-01,-3.814920e+00
13,0.108063,7.641614e-01,1.387447e+02,6.879143e-07,8.041806e-01,1.699454e-01,-3.553820e+00
14,0.116375,7.767685e-01,1.373483e+02,4.699813e-06,1.240538e+00,1.980963e-01,-3.256042e+00
15,0.124688,7.721648e-01,1.361792e+02,4.716666e-06,1.265513e+00,2.327838e-01,-2.937593e+00
16,0.133000,7.574306e-01,1.350299e+02,4.236526e-06,9.812706e-01,2.765999e-01,-2.586920e+00
17,0.141313,7.769805e-01,1.340835e+02,6.435547e-06,1.077386e+00,3.181143e-01,-2.302862e+00
18,0.149625,8.108752e-01,1.348967e+02,8.217421e-06,1.452125e+00,3.594345e-01,-2.054054e+00
19,0.157938,8.540330e-01,1.374631e+02,9.531537e-06,1.867041e+00,3.979744e-01,-1.849169e+00
20,0.166250,8.678980e-01,1.402163e+02,5.189187e-05,2.545946e+00,4.342702e-01,-1.672554e+00
21,0.174563,8.647733e-01,1.413859e+02,5.603184e-05,2.782771e+00,4.658283e-01,-1.530281e+00
22,0.182875,8.529079e-01,1.405686e+02,1.119618e-04,3.840053e+00,4.854859e-01,-1.445885e+00
23,0.191188,8.420498e-01,1.389583e+02,7.302278e-05,3.272150e+00,4.914345e-01,-1.420929e+00
24,0.199500,8.365335e-01,1.367888e+02,6.787209e-05,2.915951e+00,4.836673e-01,-1.453232e+00
25,0.207813,8.335722e-01,1.344886e+02,4.563895e-05,2.701928e+00,4.678336e-01,-1.520352e+00
26,0.216125,8.445905e-01,1.319232e+02,4.580539e-05,2.706580e+00,4.433672e-01,-1.629575e+00
27,0.224438,8.602185e-01,1.289379e+02,1.286906e-04,4.020003e+00,4.100483e-01,-1.789235e+00
28,0.232750,8.795590e-01,1.243090e+02,1.426336e-04,4.162471e+00,3.689582e-01,-2.003516e+00
29,0.241063,8.814647e-01,1.185849e+02,1.353884e-04,3.864888e+00,3.283031e-01,-2.237321e+00
30,0.249375,8.588796e-01,1.137861e+02,5.521141e-05,2.791904e+00,2.920693e-01,-2.469674e+00
31,0.257688,7.774825e-01,1.121771e+02,3.948942e-05,2.628533e+00,2.603201e-01,-2.700738e+00
32,0.266000,6.522197e-01,1.122209e+02,9.355825e-05,3.559156e+00,2.305375e-01,-2.945925e+00
33,0.274313,5.966480e-01,7.518388e+01,9.632963e-05,3.687771e+00,2.005868e-01,-3.227675e+00
34,0.282625,6.090466e-01,7.026350e+01,6.514393e-05,2.936770e+00,1.750257e-01,-3.498158e+00
35,0.290938,6.495860e-01,6.584362e+01,8.370768e-06,1.535929e+00,1.616291e-01,-3.646881e+00
36,0.299250,6.183844e-01,9.866445e+01,2.204953e-06,9.812341e-01,1.587581e-01,-3.681370e+00
37,0.307563,5.805771e-01,9.856345e+01,6.170337e-07,7.740986e-01,1.606788e-01,-3.656763e+00
38,0.315875,5.647272e-01,9.816681e+01,7.096305e-07,8.627262e-01,1.564332e-01,-3.711775e+00
39,0.324188,5.747463e-01,9.728326e+01,2.644010e-06,1.188488e+00,1.464081e-01,-3.848479e+00
40,0.332500,5.820636e-01,9.602173e+01,1.350836e-05,1.780709e+00,1.378403e-01,-3.966022e+00
41,0.340813,5.778441e-01,9.450851e+01,1.345285e-05,1.738764e+00,1.272666e-01,-4.126750e+00
42,0.349125,5.876369e-01,9.322257e+01,1.166817e-05,1.478442e+00,1.150159e-01,-4.344014e+00
43,0.357438,5.902321e-01,9.197022e+01,4.054849e-07,7.217414e-01,9.579807e-02,-4.721679e+00
44,0.365750,5.628443e-01,9.092083e+01,5.674970e-06,1.284586e+00,7.923002e-02,-5.093158e+00
45,0.374063,5.329230e-01,6.026949e+01,5.423853e-06,1.125042e+00,6.632491e-02,-5.440240e+00
46,0.382375,5.067009e-01,2.996255e+01,5.369130e-06,1.035893e+00,5.568497e-02,-5.805611e+00
47,0.390688,4.864486e-01,0,4.284646e-08,3.745523e-01,4.463865e-02,-6.264053e+00
48,0.399000,4.499700e-01,0,6.339442e-06,1.024475e+00,3.635319e-02,-6.648880e+00
49,0.407313,3.634780e-01,0,6.337129e-06,1.015150e+00,2.886507e-02,-7.129467e+00
50,0.415625,3.032707e-01,0,6.429212e-06,1.142313e+00,2.084596e-02,-7.973394e+00
51,0.423938,3.075788e-01,0,1.328129e-07,4.927365e-01,1.265480e-02,-8.959670e+00
52,0.432250,3.719032e-01,0,1.742122e-07,5.748481e-01,7.269359e-03,-9.910096e+00
53,0.440563,4.366680e-01,0,7.782798e-08,4.215282e-01,5.418447e-03,-1.050078e+01
54,0.448875,3.964487e-01,0,5.518073e-08,3.541339e-01,3.701434e-03,-1.132760e+01
55,0.457188,3.659169e-01,0,6.900225e-09,2.006788e-01,2.436155e-03,-1.223220e+01
56,0.465500,4.129315e-01,0,5.277774e-09,1.814699e-01,1.436628e-03,-1.321134e+01
57,0.473813,5.306321e-01,3.074664e+01,1.478479e-09,1.323104e-01,9.549709e-04,-1.399014e+01
58,0.482125,5.728810e-01,6.716315e+01,1.402666e-09,1.262693e-01,1.477104e-03,-1.346748e+01
59,0.490438,4.452935e-01,6.716315e+01,4.943159e-10,9.915507e-02,2.358061e-02,-1.058969e+01
60,0.498750,3.078732e-01,3.641652e+01,2.567633e-10,8.185822e-02,6.379756e-02,-7.105690e+00
61,0.507062,2.515502e-01,0,1.963208e-10,7.249332e-02,1.152651e-01,-4.439422e+00
62,0.515375,3.399073e-01,0,6.222011e-11,4.674275e-02,1.519016e-01,-3.793404e+00
63,0.523687,4.187234e-01,0,2.331220e-11,3.427050e-02,1.749927e-01,-3.492229e+00
64,0.532000,5.246705e-01,0,3.149008e-08,1.804799e-01,1.888406e-01,-3.335973e+00
65,0.540312,6.133994e-01,4.266667e+01,5.628217e-06,9.512102e-01,1.949630e-01,-3.270194e+00
66,0.548625,6.553524e-01,8.516402e+01,6.336578e-06,1.359103e+00,1.943413e-01,-3.276751e+00
67,0.556937,6.784151e-01,1.274921e+02,8.729277e-06,1.799357e+00,1.919180e-01,-3.301583e+00
68,0.565250,6.861818e-01,1.265022e+02,3.692850e-06,1.411933e+00,1.943589e-01,-3.277066e+00
69,0.573562,7.548520e-01,1.250305e+02,2.993730e-06,1.107720e+00,2.042845e-01,-3.179391e+00
70,0.581875,8.059728e-01,1.242127e+02,2.498934e-06,1.067706e+00,2.189765e-01,-3.041332e+00
71,0.590187,8.505025e-01,1.245306e+02,7.011480e-06,1.432557e+00,2.340006e-01,-2.907541e+00
72,0.598500,8.693668e-01,1.253357e+02,2.794133e-05,2.473108e+00,2.427408e-01,-2.831983e+00
73,0.606812,8.747391e-01,1.254921e+02,3.986430e-05,2.928337e+00,2.395658e-01,-2.859491e+00
74,0.615125,8.694901e-01,1.251640e+02,3.927771e-05,2.901033e+00,2.238656e-01,-2.999984e+00
75,0.623437,8.500946e-01,1.250000e+02,1.873047e-05,2.096684e+00,1.989018e-01,-3.243547e+00
76,0.631750,8.124492e-01,1.248385e+02,5.456208e-06,1.470186e+00,1.685103e-01,-3.587697e+00
77,0.640062,7.600809e-01,1.245155e+02,3.012264e-06,1.317294e+00,1.350695e-01,-4.049353e+00
