frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,7.173097e-01,0,4.387417e-10,4.556987e-02,2.196554e-02,-9.078141e+00
1,0.008345,6.986123e-01,0,4.965013e-10,7.037276e-02,6.324296e-02,-6.864255e+00
2,0.016689,7.081746e-01,1.564539e+02,7.530801e-10,1.091683e-01,1.254708e-01,-4.384869e+00
3,0.025034,8.250218e-01,3.092162e+02,9.255192e-10,1.139329e-01,1.887038e-01,-3.404646e+00
4,0.033379,8.861392e-01,4.550114e+02,1.877786e-09,1.476515e-01,2.420207e-01,-2.865505e+00
5,0.041723,9.227613e-01,4.378625e+02,7.854146e-09,2.098796e-01,2.851880e-01,-2.520885e+00
6,0.050068,9.378714e-01,3.926794e+02,9.080565e-06,1.057687e+00,3.159495e-01,-2.308747e+00
7,0.058413,9.399897e-01,3.263821e+02,3.073269e-05,2.165093e+00,3.322981e-01,-2.204051e+00
8,0.066757,9.377090e-01,2.670046e+02,4.731250e-05,3.140380e+00,3.344865e-01,-2.190546e+00
9,0.075102,9.390543e-01,2.393529e+02,4.405519e-05,3.028203e+00,3.275870e-01,-2.232598e+00
10,0.083447,9.396221e-01,2.397826e+02,2.361011e-05,2.352778e+00,3.172788e-01,-2.296672e+00
11,0.091791,9.373683e-01,2.397826e+02,7.131641e-06,1.513890e+00,3.079599e-01,-2.356178e+00
12,0.100136,9.355287e-01,2.397826e+02,1.502059e-06,1.007936e+00,3.017242e-01,-2.396611e+00
13,0.108481,9.366654e-01,2.397826e+02,4.621139e-07,7.888846e-01,3.003248e-01,-2.405804e+00
14,0.116825,9.413054e-01,2.402218e+02,4.438833e-06,1.258348e+00,3.020946e-01,-2.394087e+00
15,0.125170,9.429582e-01,2.415490e+02,9.046878e-06,1.720053e+00,3.016063e-01,-2.397359e+00
16,0.133515,9.448624e-01,2.433252e+02,1.106364e-05,2.034529e+00,2.984082e-01,-2.418857e+00
17,0.141859,9.462922e-01,2.451212e+02,1.293477e-05,2.119211e+00,2.922875e-01,-2.460288e+00
18,0.150204,9.477183e-01,2.469576e+02,1.970341e-05,2.343407e+00,2.863992e-01,-2.501064e+00
19,0.158549,9.461591e-01,2.488145e+02,3.029957e-05,2.752852e+00,2.770298e-01,-2.568358e+00
20,0.166893,9.396994e-01,2.506926e+02,2.481661e-05,2.331389e+00,2.629101e-01,-2.675068e+00
21,0.175238,9.235723e-01,2.526139e+02,1.529889e-05,1.939921e+00,2.412063e-01,-2.851469e+00
22,0.183583,8.988016e-01,2.545572e+02,3.179142e-06,1.353936e+00,2.143833e-01,-3.093135e+00
23,0.191927,8.635879e-01,2.555288e+02,8.759233e-06,1.779250e+00,1.827918e-01,-3.420902e+00
24,0.200272,8.257633e-01,2.550374e+02,6.811500e-06,1.435439e+00,1.459874e-01,-3.901473e+00
25,0.208617,8.016024e-01,2.540546e+02,6.228202e-06,1.241644e+00,1.074590e-01,-4.559965e+00
26,0.216961,8.219449e-01,2.535632e+02,2.142513e-07,6.208109e-01,6.430236e-02,-5.907324e+00
27,0.225306,8.701217e-01,2.535632e+02,1.313621e-07,5.210288e-01,3.274488e-02,-7.480940e+00
28,0.233651,9.139774e-01,2.540546e+02,6.936201e-08,4.394618e-01,1.197141e-02,-9.075874e+00
29,0.241995,8.218936e-01,2.550374e+02,3.373804e-08,3.458587e-01,9.711715e-03,-9.355678e+00
30,0.250340,5.821363e-01,2.557768e+02,2.279952e-08,3.022688e-01,1.227154e-02,-8.971887e+00
31,0.258685,3.579479e-01,1.707643e+02,9.310406e-09,2.450718e-01,1.727968e-02,-8.156762e+00
32,0.267029,2.503000e-01,8.526043e+01,7.848830e-09,2.302592e-01,2.484313e-02,-7.483440e+00
33,0.275374,3.431547e-01,0,4.220261e-09,1.788294e-01,6.201056e-02,-6.153196e+00
34,0.283719,5.197123e-01,0,3.515598e-09,1.715721e-01,1.162255e-01,-4.715750e+00
35,0.292063,7.165947e-01,9.308017e+01,2.730424e-07,4.186772e-01,1.761006e-01,-3.517584e+00
36,0.300408,8.617803e-01,1.850112e+02,2.858218e-07,5.087270e-01,2.168488e-01,-3.073295e+00
37,0.308753,9.155126e-01,2.757931e+02,4.172689e-07,6.923268e-01,2.481455e-01,-2.798361e+00
38,0.317098,9.428414e-01,2.746440e+02,2.714079e-06,9.940655e-01,2.744031e-01,-2.590509e+00
39,0.325442,9.531787e-01,2.757931e+02,2.993441e-06,1.188650e+00,2.870528e-01,-2.496746e+00
40,0.333787,9.554007e-01,2.780913e+02,4.715229e-06,1.493335e+00,2.859585e-01,-2.504670e+00
41,0.342132,9.514043e-01,2.792405e+02,3.369086e-06,1.370479e+00,2.774725e-01,-2.565034e+00
42,0.350476,9.414247e-01,2.792405e+02,3.491809e-06,1.406013e+00,2.668474e-01,-2.642875e+00
43,0.358821,9.322176e-01,2.792405e+02,1.861510e-06,1.144312e+00,2.578315e-01,-2.712018e+00
44,0.367166,9.248096e-01,2.792405e+02,6.406181e-07,7.071803e-01,2.501999e-01,-2.771405e+00
45,0.375510,9.269337e-01,2.792405e+02,1.704150e-06,8.723398e-01,2.463997e-01,-2.801611e+00
46,0.383855,9.324020e-01,2.798372e+02,6.865587e-06,1.344254e+00,2.472008e-01,-2.795168e+00
47,0.392200,9.377398e-01,2.816427e+02,8.743044e-06,1.849168e+00,2.504978e-01,-2.768860e+00
48,0.400544,9.414775e-01,2.846886e+02,8.751303e-06,1.850039e+00,2.539217e-01,-2.741586e+00
49,0.408889,9.427705e-01,2.884112e+02,3.410096e-06,1.264731e+00,2.606235e-01,-2.689999e+00
