frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,4.416367e-01,0,4.387417e-10,4.556987e-02,2.754732e-02,-7.763205e+00
1,0.008345,5.510358e-01,7.280528e+01,4.408283e-10,5.472893e-02,5.757950e-02,-6.349660e+00
2,0.016689,6.939616e-01,1.435693e+02,4.409953e-10,5.902215e-02,1.044373e-01,-4.668911e+00
3,0.025034,7.928527e-01,2.129465e+02,3.501365e-11,3.437502e-02,1.497894e-01,-3.864352e+00
4,0.033379,8.645613e-01,2.076940e+02,1.379628e-09,8.901241e-02,1.922110e-01,-3.325796e+00
5,0.041723,9.054765e-01,2.022943e+02,1.095421e-06,5.608488e-01,2.276630e-01,-2.973701e+00
6,0.050068,9.206882e-01,1.985718e+02,2.546298e-06,1.058138e+00,2.542294e-01,-2.744381e+00
7,0.058413,9.231267e-01,1.966738e+02,1.058689e-05,1.860552e+00,2.705156e-01,-2.615784e+00
8,0.066757,9.207796e-01,1.972600e+02,9.691498e-06,1.669813e+00,2.758143e-01,-2.576106e+00
9,0.075102,9.192829e-01,1.978515e+02,9.695953e-06,1.670290e+00,2.740533e-01,-2.589094e+00
10,0.083447,9.185464e-01,1.984430e+02,9.702911e-06,1.670515e+00,2.681708e-01,-2.632735e+00
11,0.091791,9.174733e-01,1.987387e+02,1.072029e-05,1.876595e+00,2.613855e-01,-2.683983e+00
12,0.100136,9.194800e-01,1.990399e+02,9.730351e-06,1.726350e+00,2.570111e-01,-2.717385e+00
13,0.108481,9.231817e-01,1.996421e+02,4.222093e-06,1.472968e+00,2.560719e-01,-2.724625e+00
14,0.116825,9.283829e-01,2.005510e+02,5.518959e-06,1.592534e+00,2.580377e-01,-2.709368e+00
15,0.125170,9.296682e-01,2.017777e+02,5.375040e-06,1.553831e+00,2.602853e-01,-2.691997e+00
16,0.133515,9.298231e-01,2.033338e+02,3.967306e-06,1.421920e+00,2.602350e-01,-2.692387e+00
17,0.141859,9.305210e-01,2.049014e+02,3.353451e-06,1.372675e+00,2.575214e-01,-2.713541e+00
