frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,3.987592e-01,0,4.387417e-10,4.556987e-02,1.165940e-01,-4.472748e+00
1,0.008345,5.049843e-01,0,4.422890e-10,5.630938e-02,1.797772e-01,-3.664642e+00
2,0.016689,6.491268e-01,1.131282e+02,4.426646e-10,6.178506e-02,2.692272e-01,-2.685729e+00
3,0.025034,7.653652e-01,2.047082e+02,6.168088e-11,4.101788e-02,3.431204e-01,-2.168726e+00
4,0.033379,8.515344e-01,2.722609e+02,3.101328e-07,3.564566e-01,4.092770e-01,-1.801194e+00
5,0.041723,9.036644e-01,2.242065e+02,1.852181e-05,1.457911e+00,4.639188e-01,-1.544270e+00
6,0.050068,9.242933e-01,1.979907e+02,2.802304e-05,2.343755e+00,5.013049e-01,-1.383367e+00
7,0.058413,9.263341e-01,1.960928e+02,6.355406e-05,3.373794e+00,5.199166e-01,-1.308275e+00
8,0.066757,9.226229e-01,1.969695e+02,4.601123e-05,2.677648e+00,5.213748e-01,-1.302609e+00
9,0.075102,9.201117e-01,1.978515e+02,4.139127e-05,2.512723e+00,5.171534e-01,-1.318950e+00
10,0.083447,9.190631e-01,1.984430e+02,3.277044e-05,2.405276e+00,5.109381e-01,-1.343098e+00
11,0.091791,9.188560e-01,1.987387e+02,3.631864e-05,2.708196e+00,5.068013e-01,-1.359298e+00
12,0.100136,9.212582e-01,1.990399e+02,3.316444e-05,2.508499e+00,5.065395e-01,-1.360325e+00
13,0.108481,9.240616e-01,1.996421e+02,1.640937e-05,2.197159e+00,5.099743e-01,-1.346871e+00
14,0.116825,9.278135e-01,2.005510e+02,2.126755e-05,2.381654e+00,5.164441e-01,-1.321706e+00
15,0.125170,9.289772e-01,2.017777e+02,2.081354e-05,2.333912e+00,5.235783e-01,-1.294278e+00
16,0.133515,9.301267e-01,2.033338e+02,1.525340e-05,2.143288e+00,5.267262e-01,-1.282183e+00
17,0.141859,9.313577e-01,2.049014e+02,1.384549e-05,2.098991e+00,5.252278e-01,-1.287927e+00
18,0.150204,9.314538e-01,2.061742e+02,8.355678e-05,3.265517e+00,5.189977e-01,-1.311816e+00
19,0.158549,9.300904e-01,2.074711e+02,8.832438e-05,3.434253e+00,5.075282e-01,-1.356985e+00
20,0.166893,9.225605e-01,2.091167e+02,1.333438e-04,4.102739e+00,4.868143e-01,-1.441927e+00
21,0.175238,8.988191e-01,2.111182e+02,6.284199e-05,2.810410e+00,4.572439e-01,-1.568693e+00
22,0.183583,8.442559e-01,2.124652e+02,7.152293e-05,3.004377e+00,4.224356e-01,-1.728163e+00
23,0.191927,7.655997e-01,2.128019e+02,2.108436e-05,2.072954e+00,3.794093e-01,-1.949262e+00
24,0.200272,7.010857e-01,2.124586e+02,4.041456e-05,2.835745e+00,3.258456e-01,-2.267263e+00
25,0.208617,6.700737e-01,2.121154e+02,3.806401e-05,2.791054e+00,2.688016e-01,-2.657234e+00
26,0.216961,6.595536e-01,2.121154e+02,3.898653e-05,2.855268e+00,2.156287e-01,-3.100925e+00
27,0.225306,6.231625e-01,2.121154e+02,1.958938e-05,2.076157e+00,1.625839e-01,-3.720705e+00
28,0.233651,5.723295e-01,2.121154e+02,5.582637e-06,1.581611e+00,9.934354e-02,-5.141250e+00
29,0.241995,3.826727e-01,1.414103e+02,2.447554e-06,1.096774e+00,7.471605e-02,-5.525340e+00
30,0.250340,1.996170e-01,7.070513e+01,2.031987e-06,7.713115e-01,1.061403e-01,-5.094441e+00
31,0.258685,1.181220e-01,0,3.606310e-08,2.447300e-01,1.793466e-01,-3.587201e+00
32,0.267029,3.558731e-01,0,5.384855e-10,9.653714e-02,2.316678e-01,-2.936162e+00
33,0.275374,5.704429e-01,7.065295e+01,4.317735e-10,8.085958e-02,2.593262e-01,-2.702862e+00
34,0.283719,5.920240e-01,1.455959e+02,5.563412e-09,1.345388e-01,2.940697e-01,-2.466693e+00
35,0.292063,5.452800e-01,1.455959e+02,1.125163e-05,1.070281e+00,3.432572e-01,-2.159192e+00
36,0.300408,6.180906e-01,1.954894e+02,2.646003e-05,2.103935e+00,3.900735e-01,-1.888969e+00
37,0.308753,8.136371e-01,2.187234e+02,3.031909e-05,2.701821e+00,4.256786e-01,-1.711143e+00
38,0.317098,9.121982e-01,2.941443e+02,1.945068e-05,2.089997e+00,4.587139e-01,-1.563359e+00
39,0.325442,9.354696e-01,2.490186e+02,1.699570e-05,2.036049e+00,4.910408e-01,-1.425291e+00
40,0.333787,9.402407e-01,2.270440e+02,2.592464e-05,2.336454e+00,5.057562e-01,-1.363715e+00
41,0.342132,9.400561e-01,2.282204e+02,6.234507e-05,3.357370e+00,4.999087e-01,-1.387601e+00
42,0.350476,9.382894e-01,2.293969e+02,5.641143e-05,3.187061e+00,4.857644e-01,-1.444529e+00
43,0.358821,9.329502e-01,2.297917e+02,5.967973e-05,3.257389e+00,4.735527e-01,-1.495218e+00
44,0.367166,9.242122e-01,2.297917e+02,3.367091e-05,2.836455e+00,4.710717e-01,-1.505616e+00
45,0.375510,9.211082e-01,2.297917e+02,3.661623e-05,2.930199e+00,4.754528e-01,-1.487458e+00
46,0.383855,9.242334e-01,2.301948e+02,9.196351e-05,3.531997e+00,4.891971e-01,-1.430671e+00
47,0.392200,9.295673e-01,2.314128e+02,9.568306e-05,3.619912e+00,5.031152e-01,-1.374328e+00
48,0.400544,9.303663e-01,2.334631e+02,9.290646e-05,3.532235e+00,5.084571e-01,-1.352837e+00
49,0.408889,9.306324e-01,2.359606e+02,6.227504e-05,3.274195e+00,5.076355e-01,-1.356099e+00
50,0.417234,9.326800e-01,2.389610e+02,5.735738e-05,3.153455e+00,4.982176e-01,-1.393698e+00
51,0.425578,9.359908e-01,2.424762e+02,5.693630e-05,3.138115e+00,4.880205e-01,-1.435343e+00
52,0.433923,9.392907e-01,2.460695e+02,6.273012e-05,3.195437e+00,4.750496e-01,-1.489076e+00
53,0.442268,9.430275e-01,2.497861e+02,8.201403e-05,3.553292e+00,4.711806e-01,-1.505158e+00
54,0.450612,9.448836e-01,2.531273e+02,9.616427e-05,3.888731e+00,4.789720e-01,-1.473107e+00
55,0.458957,9.424372e-01,2.560429e+02,5.343535e-05,3.115727e+00,4.972754e-01,-1.398481e+00
56,0.467302,9.423169e-01,2.580205e+02,7.746730e-05,3.368944e+00,5.154950e-01,-1.325921e+00
57,0.475646,9.468483e-01,2.590265e+02,7.757413e-05,3.370721e+00,5.300238e-01,-1.269982e+00
58,0.483991,9.547673e-01,2.605717e+02,8.427614e-05,3.616212e+00,5.445475e-01,-1.216190e+00
59,0.492336,9.594594e-01,2.626563e+02,3.880418e-05,2.937977e+00,5.572561e-01,-1.169881e+00
60,0.500680,9.601094e-01,2.647409e+02,7.155706e-05,3.315683e+00,5.623500e-01,-1.151330e+00
61,0.509025,9.593444e-01,2.657831e+02,6.642695e-05,3.145400e+00,5.505923e-01,-1.194537e+00
62,0.517370,9.560018e-01,2.657831e+02,1.188379e-04,3.881046e+00,5.282655e-01,-1.278164e+00
63,0.525714,9.481829e-01,2.652558e+02,6.540392e-05,2.609760e+00,4.923422e-01,-1.421567e+00
64,0.534059,9.275928e-01,2.626918e+02,1.094858e-04,3.334610e+00,4.474189e-01,-1.618554e+00
65,0.542404,8.841929e-01,2.586185e+02,8.682513e-05,3.124186e+00,3.947574e-01,-1.871005e+00
66,0.550748,7.669681e-01,2.550725e+02,8.721213e-05,3.248571e+00,3.441547e-01,-2.146059e+00
67,0.559093,6.713846e-01,2.566936e+02,5.880600e-05,2.911195e+00,3.051628e-01,-2.382303e+00
68,0.567438,5.473183e-01,2.611701e+02,2.676700e-05,2.297560e+00,2.749408e-01,-2.586827e+00
69,0.575782,4.697994e-01,1.766490e+02,2.720668e-05,2.373649e+00,2.655274e-01,-2.653378e+00
70,0.584127,3.931493e-01,8.899756e+01,1.550814e-05,2.124381e+00,2.676194e-01,-2.638337e+00
71,0.592472,3.497284e-01,0,2.502720e-05,2.404033e+00,2.716677e-01,-2.607021e+00
72,0.600816,3.230902e-01,0,2.430357e-05,2.249227e+00,2.640171e-01,-2.666475e+00
73,0.609161,2.695803e-01,0,1.502918e-05,1.585416e+00,2.606604e-01,-2.690776e+00
74,0.617506,2.771871e-01,0,1.428187e-05,1.569267e+00,2.836186e-01,-2.536577e+00
75,0.625850,4.222498e-01,0,1.861457e-05,1.996381e+00,3.297807e-01,-2.238913e+00
76,0.634195,6.377949e-01,7.353333e+01,2.018623e-05,2.295086e+00,3.828279e-01,-1.931155e+00
77,0.642540,8.310115e-01,1.470667e+02,9.865940e-06,1.954437e+00,4.244790e-01,-1.719032e+00
78,0.650884,9.058385e-01,2.188492e+02,1.205502e-05,2.045417e+00,4.607008e-01,-1.553114e+00
79,0.659229,9.235220e-01,2.153476e+02,3.196568e-05,2.668102e+00,4.851808e-01,-1.448086e+00
