frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,4.303613e-01,0,4.387417e-10,4.556987e-02,1.837986e-02,-8.570652e+00
1,0.008345,5.453939e-01,7.139159e+01,4.394929e-10,5.231113e-02,3.839437e-02,-7.158823e+00
2,0.016689,6.939536e-01,1.414487e+02,4.395346e-10,5.514361e-02,6.962588e-02,-5.479792e+00
3,0.025034,7.928509e-01,2.108260e+02,1.523242e-11,2.593741e-02,9.985963e-02,-4.675280e+00
4,0.033379,8.645604e-01,2.091358e+02,6.151524e-10,6.926944e-02,1.281405e-01,-4.136729e+00
5,0.041723,9.054766e-01,2.065916e+02,4.869237e-07,4.397634e-01,1.517751e-01,-3.784634e+00
6,0.050068,9.206884e-01,2.028691e+02,1.131844e-06,8.297213e-01,1.694860e-01,-3.555314e+00
7,0.058413,9.231269e-01,1.988224e+02,4.705803e-06,1.458823e+00,1.803435e-01,-3.426717e+00
8,0.066757,9.207799e-01,1.972600e+02,4.307708e-06,1.309201e+00,1.838760e-01,-3.387038e+00
9,0.075102,9.192834e-01,1.978515e+02,4.309729e-06,1.309583e+00,1.827022e-01,-3.400024e+00
10,0.083447,9.185470e-01,1.984430e+02,4.312265e-06,1.309727e+00,1.787807e-01,-3.443664e+00
11,0.091791,9.174740e-01,1.987387e+02,4.764448e-06,1.471350e+00,1.742573e-01,-3.494910e+00
12,0.100136,9.194806e-01,1.990399e+02,4.324266e-06,1.353491e+00,1.713412e-01,-3.528310e+00
13,0.108481,9.231822e-01,1.996421e+02,1.876652e-06,1.154876e+00,1.707152e-01,-3.535548e+00
14,0.116825,9.283831e-01,2.005510e+02,2.452911e-06,1.248611e+00,1.720257e-01,-3.520291e+00
15,0.125170,9.296684e-01,2.017777e+02,2.389032e-06,1.218302e+00,1.735241e-01,-3.502920e+00
16,0.133515,9.298233e-01,2.033338e+02,1.763336e-06,1.114899e+00,1.734905e-01,-3.503311e+00
17,0.141859,9.305212e-01,2.049014e+02,1.490675e-06,1.076308e+00,1.716813e-01,-3.524467e+00
18,0.150204,9.305577e-01,2.061742e+02,9.145395e-06,1.676003e+00,1.676635e-01,-3.572105e+00
19,0.158549,9.293387e-01,2.074711e+02,9.703310e-06,1.770563e+00,1.606032e-01,-3.659755e+00
20,0.166893,9.219113e-01,2.091167e+02,1.470618e-05,2.117306e+00,1.484108e-01,-3.823075e+00
21,0.175238,8.998287e-01,2.111182e+02,6.958444e-06,1.447608e+00,1.311662e-01,-4.078152e+00
22,0.183583,8.642387e-01,2.124652e+02,7.622245e-06,1.521616e+00,1.114770e-01,-4.409693e+00
23,0.191927,8.126554e-01,2.128019e+02,1.963949e-06,1.015371e+00,9.011032e-02,-4.854000e+00
24,0.200272,7.481555e-01,2.124586e+02,3.540141e-06,1.363076e+00,6.517629e-02,-5.601154e+00
25,0.208617,7.025194e-01,2.121154e+02,2.090938e-06,1.132291e+00,3.928944e-02,-6.853138e+00
26,0.216961,6.712454e-01,2.121154e+02,1.912979e-06,9.698277e-01,1.906841e-02,-8.365499e+00
27,0.225306,6.651984e-01,2.121154e+02,2.875175e-07,4.838561e-01,8.405066e-03,-9.801721e+00
28,0.233651,6.594071e-01,2.121154e+02,1.369632e-08,2.453679e-01,4.257288e-03,-1.125944e+01
29,0.241995,5.627474e-01,2.121154e+02,3.230086e-09,1.595045e-01,3.489521e-03,-1.152544e+01
30,0.250340,3.647796e-01,1.414103e+02,2.651909e-09,1.296602e-01,7.081940e-03,-1.067746e+01
31,0.258685,4.023972e-01,7.070513e+01,2.683443e-10,8.175439e-02,1.207819e-02,-9.108505e+00
32,0.267029,5.353155e-01,7.066602e+01,1.345066e-10,6.395660e-02,1.612674e-02,-8.257219e+00
33,0.275374,7.496416e-01,1.456214e+02,1.070043e-10,5.344452e-02,2.520523e-02,-7.566340e+00
34,0.283719,7.058612e-01,2.287267e+02,1.391385e-09,8.899381e-02,4.694350e-02,-6.501781e+00
35,0.292063,7.128453e-01,2.406570e+02,5.360440e-08,2.653004e-01,7.666031e-02,-5.275489e+00
36,0.300408,7.683108e-01,2.419531e+02,1.175755e-07,4.585408e-01,1.042815e-01,-4.551322e+00
37,0.308753,8.594854e-01,2.331240e+02,1.208129e-07,4.866175e-01,1.251098e-01,-4.172902e+00
38,0.317098,9.106019e-01,2.251827e+02,8.151937e-08,4.212131e-01,1.428306e-01,-3.901897e+00
39,0.325442,9.347027e-01,2.243519e+02,1.479261e-06,7.374301e-01,1.564499e-01,-3.713449e+00
40,0.333787,9.403232e-01,2.262782e+02,2.841868e-06,1.154170e+00,1.620598e-01,-3.639887e+00
41,0.342132,9.406546e-01,2.282204e+02,6.407090e-06,1.707804e+00,1.614085e-01,-3.648123e+00
