frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,8.142163e-01,1.598551e+02,4.387417e-10,4.556987e-02,3.288900e-03,-1.157037e+01
1,0.008345,7.173064e-01,2.901479e+02,5.139447e-10,7.241625e-02,1.592916e-02,-9.685931e+00
2,0.016689,6.823642e-01,2.901479e+02,5.320149e-10,8.991890e-02,5.476622e-02,-7.080335e+00
3,0.025034,6.681111e-01,2.724106e+02,5.366845e-10,9.006387e-02,1.126805e-01,-4.707997e+00
4,0.033379,7.814738e-01,2.805339e+02,9.555957e-10,1.104415e-01,1.729040e-01,-3.573645e+00
5,0.041723,8.478534e-01,4.120143e+02,2.243771e-09,1.561542e-01,2.234559e-01,-3.025509e+00
6,0.050068,8.941021e-01,3.949843e+02,3.104464e-08,2.710697e-01,2.685120e-01,-2.650217e+00
7,0.058413,9.193351e-01,3.756544e+02,1.065403e-06,6.920967e-01,3.094328e-01,-2.355668e+00
8,0.066757,9.273537e-01,3.578880e+02,1.378184e-06,9.563200e-01,3.379009e-01,-2.172773e+00
9,0.075102,9.274992e-01,3.212201e+02,1.387093e-05,1.784965e+00,3.509623e-01,-2.094376e+00
10,0.083447,9.221606e-01,2.680843e+02,2.124360e-05,2.194554e+00,3.511679e-01,-2.093181e+00
11,0.091791,9.201512e-01,2.206165e+02,2.573344e-05,2.609269e+00,3.439060e-01,-2.135285e+00
12,0.100136,9.216819e-01,1.984430e+02,1.343756e-05,1.916692e+00,3.335644e-01,-2.196580e+00
13,0.108481,9.227760e-01,1.990399e+02,5.178541e-06,1.300385e+00,3.219055e-01,-2.267985e+00
14,0.116825,9.185884e-01,1.996421e+02,1.673175e-06,1.059481e+00,3.114825e-01,-2.333480e+00
15,0.125170,9.168339e-01,2.002443e+02,2.445871e-06,1.226081e+00,3.051361e-01,-2.374091e+00
16,0.133515,9.196503e-01,2.005455e+02,2.434865e-06,1.220108e+00,3.035466e-01,-2.384446e+00
17,0.141859,9.264278e-01,2.008521e+02,5.984926e-06,1.463077e+00,3.034641e-01,-2.384992e+00
18,0.150204,9.286978e-01,2.017777e+02,6.184987e-06,1.489160e+00,3.028350e-01,-2.389155e+00
19,0.158549,9.311302e-01,2.033338e+02,6.060180e-06,1.358609e+00,3.027064e-01,-2.390000e+00
20,0.166893,9.326198e-01,2.049014e+02,1.815612e-06,1.012808e+00,2.997179e-01,-2.410047e+00
21,0.175238,9.336739e-01,2.061742e+02,1.430325e-05,1.539449e+00,2.960922e-01,-2.434565e+00
22,0.183583,9.333674e-01,2.071407e+02,1.442312e-05,1.667212e+00,2.922655e-01,-2.460208e+00
23,0.191927,9.328473e-01,2.081194e+02,1.746825e-05,1.952193e+00,2.885539e-01,-2.485975e+00
24,0.200272,9.295204e-01,2.094409e+02,1.364700e-05,1.857146e+00,2.784016e-01,-2.559850e+00
25,0.208617,9.174886e-01,2.107750e+02,1.373384e-05,1.898394e+00,2.609223e-01,-2.691440e+00
26,0.216961,9.007400e-01,2.121219e+02,1.011553e-05,1.378273e+00,2.392413e-01,-2.865852e+00
27,0.225306,8.760262e-01,2.131451e+02,7.921580e-06,1.311333e+00,2.135055e-01,-3.100844e+00
28,0.233651,8.394062e-01,2.138315e+02,7.712946e-06,1.136294e+00,1.816549e-01,-3.438755e+00
29,0.241995,7.765879e-01,2.138315e+02,8.266918e-06,1.367592e+00,1.433214e-01,-3.940274e+00
30,0.250340,7.022481e-01,2.131451e+02,4.507800e-06,1.211373e+00,1.086323e-01,-4.502336e+00
31,0.258685,6.643412e-01,2.124586e+02,4.791884e-06,1.413676e+00,7.188239e-02,-5.458256e+00
32,0.267029,6.965882e-01,2.121154e+02,4.214397e-06,1.125314e+00,4.738420e-02,-6.299653e+00
33,0.275374,7.826980e-01,2.121154e+02,1.509371e-06,9.178922e-01,2.711604e-02,-7.289122e+00
34,0.283719,8.609301e-01,2.124586e+02,1.215870e-06,6.602610e-01,1.860283e-02,-8.187474e+00
35,0.292063,9.047685e-01,2.131451e+02,1.210666e-06,6.275823e-01,1.112429e-02,-9.176570e+00
36,0.300408,9.043387e-01,2.134883e+02,8.432957e-09,2.313714e-01,6.862348e-03,-1.001893e+01
37,0.308753,7.950569e-01,2.131451e+02,1.124831e-08,2.571498e-01,7.813171e-03,-9.834819e+00
38,0.317098,5.826375e-01,2.102292e+02,1.154196e-08,2.600133e-01,1.228186e-02,-9.094243e+00
39,0.325442,3.720476e-01,1.391808e+02,7.703947e-09,2.258026e-01,1.780372e-02,-8.123661e+00
40,0.333787,2.717697e-01,6.847569e+01,3.973422e-09,1.813958e-01,2.225712e-02,-7.619494e+00
41,0.342132,3.116234e-01,0,3.668094e-09,1.784129e-01,2.572387e-02,-7.340205e+00
42,0.350476,3.263260e-01,0,3.035970e-09,1.647767e-01,4.754642e-02,-6.410956e+00
43,0.358821,4.580599e-01,0,6.954536e-08,3.256736e-01,9.138837e-02,-5.192087e+00
44,0.367166,5.953217e-01,7.822695e+01,1.269883e-07,4.511311e-01,1.489282e-01,-3.925950e+00
45,0.375510,7.898026e-01,1.564539e+02,1.360607e-07,5.195648e-01,2.006531e-01,-3.243799e+00
46,0.383855,8.730909e-01,2.327054e+02,9.154312e-08,4.619515e-01,2.385954e-01,-2.879784e+00
47,0.392200,9.149215e-01,2.287546e+02,3.609142e-08,3.524450e-01,2.705401e-01,-2.622004e+00
48,0.400544,9.341407e-01,2.255695e+02,2.049300e-05,1.384053e+00,2.928837e-01,-2.459148e+00
49,0.408889,9.390425e-01,2.251255e+02,2.111933e-05,1.642784e+00,3.023423e-01,-2.392652e+00
50,0.417234,9.387695e-01,2.270518e+02,2.563411e-05,2.282079e+00,2.991375e-01,-2.414453e+00
51,0.425578,9.389074e-01,2.286072e+02,5.433572e-06,1.447184e+00,2.879337e-01,-2.491153e+00
52,0.433923,9.363311e-01,2.293969e+02,5.230811e-06,1.403900e+00,2.761065e-01,-2.575393e+00
53,0.442268,9.293942e-01,2.297917e+02,8.122747e-07,9.077887e-01,2.634178e-01,-2.669472e+00
54,0.450612,9.211497e-01,2.297917e+02,5.943108e-07,7.826143e-01,2.530662e-01,-2.749152e+00
55,0.458957,9.184687e-01,2.297917e+02,1.979829e-05,1.551320e+00,2.462585e-01,-2.802951e+00
56,0.467302,9.221189e-01,2.301948e+02,2.369798e-05,2.021253e+00,2.436939e-01,-2.823692e+00
57,0.475646,9.270075e-01,2.310011e+02,2.387299e-05,2.130393e+00,2.434926e-01,-2.825340e+00
58,0.483991,9.304242e-01,2.322191e+02,3.715400e-05,2.320129e+00,2.460114e-01,-2.804926e+00
59,0.492336,9.308006e-01,2.338663e+02,3.984075e-05,2.437207e+00,2.495128e-01,-2.776766e+00
60,0.500680,9.323016e-01,2.359606e+02,4.097994e-05,2.650247e+00,2.541482e-01,-2.739815e+00
61,0.509025,9.331525e-01,2.385120e+02,8.236026e-06,1.608341e+00,2.595496e-01,-2.698037e+00
62,0.517370,9.357743e-01,2.411193e+02,2.406199e-06,1.231277e+00,2.674218e-01,-2.638760e+00
63,0.525714,9.363955e-01,2.433252e+02,4.098957e-06,1.370697e+00,2.780788e-01,-2.560854e+00
64,0.534059,9.366510e-01,2.455906e+02,3.953514e-06,1.268973e+00,2.896388e-01,-2.479374e+00
65,0.542404,9.402332e-01,2.483767e+02,4.557587e-06,1.345775e+00,2.993067e-01,-2.413122e+00
66,0.550748,9.461250e-01,2.516855e+02,1.519037e-05,1.713913e+00,3.045285e-01,-2.378034e+00
67,0.559093,9.492424e-01,2.550601e+02,3.017862e-05,2.580311e+00,3.041366e-01,-2.380639e+00
68,0.567438,9.471459e-01,2.575291e+02,3.082246e-05,2.640422e+00,2.993239e-01,-2.412798e+00
69,0.575782,9.443298e-01,2.590265e+02,2.970806e-05,2.614863e+00,2.916935e-01,-2.464713e+00
70,0.584127,9.468202e-01,2.595294e+02,3.118895e-05,2.644742e+00,2.822220e-01,-2.530988e+00
71,0.592472,9.529781e-01,2.600443e+02,3.091596e-05,2.621093e+00,2.726436e-01,-2.600012e+00
72,0.600816,9.584227e-01,2.610742e+02,1.858089e-05,1.931976e+00,2.643543e-01,-2.661407e+00
73,0.609161,9.587290e-01,2.626314e+02,1.158064e-05,1.768044e+00,2.568468e-01,-2.719061e+00
74,0.617506,9.577692e-01,2.642011e+02,1.699524e-05,2.051848e+00,2.479821e-01,-2.790011e+00
75,0.625850,9.582753e-01,2.652558e+02,2.091284e-05,2.461054e+00,2.350959e-01,-2.898327e+00
76,0.634195,9.586859e-01,2.657831e+02,2.325253e-05,2.523187e+00,2.173620e-01,-3.058331e+00
77,0.642540,9.578587e-01,2.657831e+02,1.726004e-05,2.179653e+00,1.963238e-01,-3.264954e+00
78,0.650884,9.557926e-01,2.652558e+02,1.878738e-05,2.249609e+00,1.728789e-01,-3.523013e+00
79,0.659229,9.482746e-01,2.636862e+02,7.171160e-06,1.576320e+00,1.480344e-01,-3.841724e+00
80,0.667574,9.375547e-01,2.610986e+02,1.128293e-05,1.847484e+00,1.212833e-01,-4.254987e+00
81,0.675918,9.282541e-01,2.585354e+02,7.063946e-06,1.586577e+00,9.595782e-02,-4.731379e+00
82,0.684263,9.293365e-01,2.570146e+02,7.347753e-06,1.667239e+00,7.320173e-02,-5.280865e+00
83,0.692608,9.113843e-01,2.565116e+02,2.650655e-06,1.310803e+00,5.681942e-02,-5.778403e+00
84,0.700952,8.285677e-01,2.655437e+02,1.331515e-06,1.050858e+00,4.858696e-02,-6.054561e+00
