frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,4.056652e-01,0,4.990758e-09,1.001717e-01,1.017442e-01,-4.583395e+00
1,0.008345,3.907169e-01,0,1.481690e-08,2.131451e-01,1.159408e-01,-4.332959e+00
2,0.016689,4.159003e-01,0,1.644725e-07,4.724585e-01,1.373250e-01,-3.984409e+00
3,0.025034,4.118447e-01,0,1.991856e-07,5.540134e-01,1.541274e-01,-3.747972e+00
4,0.033379,4.201748e-01,0,1.895880e-07,4.756804e-01,1.690120e-01,-3.558686e+00
5,0.041723,4.884710e-01,0,4.388291e-07,5.653162e-01,1.733682e-01,-3.505566e+00
6,0.050068,6.370322e-01,5.656410e+01,5.123586e-06,1.127704e+00,1.705465e-01,-3.539861e+00
7,0.058413,7.943645e-01,1.131282e+02,5.259226e-06,1.344886e+00,1.615155e-01,-3.648185e+00
8,0.066757,8.462277e-01,1.696923e+02,5.505028e-06,1.399381e+00,1.503197e-01,-3.794322e+00
9,0.075102,8.457671e-01,1.696923e+02,2.168334e-06,1.172272e+00,1.399707e-01,-3.937784e+00
10,0.083447,8.560412e-01,1.696923e+02,2.841390e-06,1.352515e+00,1.261709e-01,-4.147223e+00
11,0.091791,8.761492e-01,1.701342e+02,3.409044e-06,1.437264e+00,1.163914e-01,-4.307823e+00
12,0.100136,8.898066e-01,1.717074e+02,2.328813e-06,1.251298e+00,1.075254e-01,-4.461349e+00
13,0.108481,8.949475e-01,1.744482e+02,2.245930e-06,1.237421e+00,1.012256e-01,-4.584368e+00
14,0.116825,8.972186e-01,1.774704e+02,1.189468e-06,1.011771e+00,9.364075e-02,-4.742584e+00
15,0.125170,8.962204e-01,1.793613e+02,2.590764e-06,1.230680e+00,8.289504e-02,-4.993707e+00
16,0.133515,8.860715e-01,1.813725e+02,1.984056e-06,1.054590e+00,7.013461e-02,-5.345995e+00
17,0.141859,8.696187e-01,1.841933e+02,2.511937e-06,1.202726e+00,5.452007e-02,-5.880439e+00
18,0.150204,8.563699e-01,1.878411e+02,8.216750e-07,7.986153e-01,3.908877e-02,-6.593612e+00
