roll,pitch,yaw
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.491893,-4.424827,-8.100022
-3.456141,-4.182311,-8.141436
-3.361926,-3.557395,-8.249569
-3.23213,-2.726856,-8.40029
-3.120814,-2.026588,-8.531857
-3.072984,-1.730582,-8.595778
-3.090594,-1.84998,-8.590329
-3.127341,-2.074317,-8.560312
-3.146855,-2.185722,-8.543088
-3.151417,-2.18267,-8.534229
-3.154384,-2.068674,-8.509864
-3.153922,-1.813604,-8.457713
-3.119333,-1.358238,-8.338421
-3.016016,-0.712731,-8.11583
-2.821949,-0.071665,-7.850442
-2.544731,0.387249,-7.616726
-2.21612,0.573801,-7.429145
-1.762347,0.408447,-7.230548
-1.244911,-0.183509,-7.044517
-1.058986,-1.223765,-7.057692
-1.438441,-2.469444,-7.31908
-2.228491,-3.539235,-7.690804
-2.995808,-4.078134,-8.00432
-3.342383,-3.945203,-8.18164
-3.336439,-3.414628,-8.300356
-3.24144,-2.797285,-8.422782
-3.145766,-2.223283,-8.475228
-2.878267,-1.732105,-8.275221
-2.300845,-1.40769,-7.831556
-1.774359,-1.461166,-7.434756
-1.727994,-2.106844,-7.300273
-2.262783,-3.209671,-7.528975
-3.024567,-4.110044,-7.915615
-3.434898,-4.427056,-8.088951
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.496211,-4.452888,-8.094457
-3.483257,-4.368704,-8.111152
-3.423159,-3.945312,-8.145628
-3.265152,-2.878508,-8.213885
-2.988224,-1.188057,-8.259767
-2.65355,0.542188,-8.146318
-2.35639,1.666545,-7.961815
-2.174448,2.094699,-7.780524
-2.116997,2.157207,-7.590007
-2.110175,2.1732,-7.506623
-1.997449,2.202953,-7.551426
-1.577474,2.093935,-7.704426
-0.807428,1.870232,-7.752905
0.131033,1.861656,-7.193399
0.91634,2.339282,-5.829997
1.32311,3.305433,-3.929755
1.439245,4.425243,-2.075415
1.496859,5.09885,-1.236501
1.624758,5.114951,-1.789292
1.797817,4.860454,-2.934299
1.939412,4.65223,-3.871123
2.010209,4.548118,-4.339535
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.010209,4.548118,-4.339535
1.939412,4.65223,-3.871123
1.790957,4.877581,-2.904406
1.587027,5.209151,-1.624879
1.400842,5.528702,-0.493749
1.309464,5.684196,0.064342
1.307452,5.673078,0.108647
1.345182,5.578878,-0.055766
1.372623,5.510369,-0.175339
1.348612,5.570314,-0.070712
1.293731,5.707332,0.168434
1.287466,5.75526,0.124664
1.400019,5.579185,-0.596771
1.615657,5.202243,-1.891779
1.843598,4.810728,-3.275932
1.98661,4.582822,-4.183398
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.02332,4.528838,-4.426278
2.008326,4.551473,-4.32837
1.96311,4.622659,-4.039538
1.869583,4.775448,-3.454311
1.72465,5.020257,-2.565128
1.549289,5.326238,-1.510776
1.385087,5.620501,-0.540587
1.279753,5.813529,0.072398
1.27131,5.835431,0.12812
1.37341,5.635836,-0.47284
1.569158,5.188195,-1.717559
1.817238,4.505779,-3.457399
2.061953,3.654832,-5.422218
2.256743,2.773674,-7.264771
2.380782,2.016939,-8.699719
2.441246,1.489703,-9.611979
2.462212,1.206249,-10.063304
2.465359,1.094552,-10.225941
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.464674,1.069644,-10.259185
2.324644,0.976385,-10.123058
2.044585,0.789868,-9.850804
1.83454,0.64998,-9.646613
1.624496,0.510092,-9.442422
