roll,pitch,yaw
1.490545,3.912197,-2.913329
1.47685,4.136521,-2.529297
1.445872,4.643923,-1.660652
1.401174,5.185578,-0.732222
1.340605,5.558618,-0.089878
1.269721,5.767277,0.27306
1.194259,5.955677,0.601886
1.149669,6.067004,0.796193
1.209581,5.957782,0.446284
1.400614,5.609985,-0.670434
1.649135,5.167089,-2.144267
1.864773,4.790147,-3.439275
1.991046,4.579817,-4.220497
2.025942,4.524982,-4.443627
2.025942,4.524982,-4.443627
2.010209,4.548118,-4.339535
1.935982,4.660793,-3.856176
1.770377,4.928963,-2.814726
1.539006,5.329041,-1.415627
1.3391,5.682847,-0.22471
1.261443,5.804087,0.273595
1.3139,5.681192,0.027243
1.48494,5.406033,-0.850641
1.746314,4.893628,-2.437301
2.030487,3.980779,-4.757479
2.277381,2.872437,-7.190139
2.423799,1.824477,-8.941979
2.506858,0.959218,-9.729767
2.64865,0.395308,-9.758484
2.848191,0.011321,-9.528788
3.022708,-0.258297,-9.361877
3.126118,-0.377477,-9.242328
3.243242,-0.138561,-9.0673
3.525436,0.767302,-8.895703
3.952209,2.044513,-8.864681
4.401617,3.252034,-9.025493
4.649428,4.049585,-9.237434
4.483169,4.229013,-9.255126
4.049832,4.137156,-9.116372
3.551052,3.9043,-9.033032
3.081935,3.327243,-9.127763
2.786031,2.444418,-9.35781
2.6717,1.393773,-9.560514
2.706174,0.481315,-9.603033
2.887454,-0.072757,-9.421662
3.146,-0.076223,-9.096729
3.478566,0.736561,-8.840563
3.903752,2.001365,-8.788324
4.35316,3.208886,-8.949135
4.710988,4.044625,-9.213374
4.887571,4.321071,-9.378332
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.924835,4.327578,-9.411127
4.841129,4.271754,-9.386428
4.51213,3.955194,-9.364819
3.933692,3.167582,-9.39199
3.31081,1.952258,-9.414174
2.937959,0.727313,-9.415081
2.945449,-0.031252,-9.38673
3.16311,-0.267102,-9.184277
3.253896,-0.006352,-9.106044
3.368779,0.31629,-9.051241
3.634011,1.058734,-8.977048
3.97075,2.012097,-8.985905
4.309411,2.95417,-9.071836
4.545759,3.677179,-9.184652
4.593041,4.073141,-9.25257
4.416608,4.152608,-9.257998
4.053887,3.948399,-9.244354
3.599843,3.488119,-9.277018
3.173337,2.812162,-9.384369
2.874116,2.010006,-9.518179
2.74674,1.21692,-9.599332
2.777614,0.575865,-9.565127
2.910726,0.197545,-9.39863
3.090421,0.157678,-9.12978
3.282728,0.486056,-8.803841
3.476995,1.127177,-8.490479
3.677151,1.939093,-8.274163
3.89059,2.736879,-8.224617
4.122921,3.378846,-8.365005
4.34977,3.814992,-8.633447
4.517089,4.069891,-8.920561
4.546763,4.173925,-9.121481
4.371504,4.130135,-9.184096
4.00357,3.938522,-9.131387
3.489911,3.743922,-8.700152
2.962884,3.631145,-7.951564
2.687463,3.624964,-7.421392
2.422716,3.605284,-6.896623
